station_observations
TempC, SolarRadiationWm, RH, Wetness, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-2.102, 0.6, 94.1, 12.35, 1.26, 920.95, 0.0, 4.53, 2021-01-01 00:00:00, 162.9, -2.9
-2.334, 0.6, 94.7, 12.35, 0.0, 920.55, 0.0, 2.52, 2021-01-01 01:00:00, 148.8, -3.1
-5.049, 0.6, 95.4, 10.59, 0.0, 919.65, 0.0, 0.76, 2021-01-01 02:00:00, 153.0, -5.7
-4.895, 0.6, 96.4, 11.18, 0.0, 918.85, 0.0, 0.0, 2021-01-01 03:00:00, 154.4, -5.4
-4.137, 0.6, 96.2, 11.18, 0.0, 917.35, 0.0, 0.0, 2021-01-01 04:00:00, 49.1, -4.7
-3.747, 0.6, 96.2, 11.76, 0.0, 915.75, 0.0, 0.25, 2021-01-01 05:00:00, 345.4, -4.3
-1.128, 0.6, 93.0, 12.35, 0.0, 914.35, 0.0, 3.02, 2021-01-01 06:00:00, 162.9, -2.1
-1.015, 0.6, 91.4, 12.94, 0.25, 913.45, 0.0, 4.78, 2021-01-01 07:00:00, 160.0, -2.2
-1.015, 0.6, 95.4, 13.53, 0.25, 912.45, 0.0, 2.52, 2021-01-01 08:00:00, 144.6, -1.7
-0.255, 0.6, 96.9, 18.82, 0.76, 911.65, 0.0, 4.53, 2021-01-01 09:00:00, 139.0, -0.7
-0.004, 4.4, 97.2, 72.94, 1.26, 910.75, 0.0, 4.78, 2021-01-01 10:00:00, 143.2, -0.4
0.273, 8.1, 97.3, 82.35, 0.5, 909.95, 0.0, 4.28, 2021-01-01 11:00:00, 151.6, -0.1
0.687, 31.9, 97.0, 62.35, 0.25, 908.85, 0.0, 3.78, 2021-01-01 12:00:00, 153.0, 0.3
1.071, 28.1, 94.8, 17.65, 1.26, 907.85, 0.0, 6.04, 2021-01-01 13:00:00, 154.4, 0.3
1.425, 26.9, 94.2, 16.47, 1.26, 906.75, 0.6, 4.28, 2021-01-01 14:00:00, 143.2, 0.6
1.48, 11.9, 93.4, 17.65, 1.01, 905.65, 1.2, 4.03, 2021-01-01 15:00:00, 161.5, 0.5
0.135, 0.6, 95.5, 25.88, 0.0, 904.65, 1.0, 1.76, 2021-01-01 16:00:00, 224.6, -0.5
1.071, 0.6, 96.8, 34.12, 0.0, 903.75, 0.4, 2.01, 2021-01-01 17:00:00, 220.4, 0.6
0.825, 0.6, 94.7, 60.0, 0.0, 903.05, 0.2, 2.77, 2021-01-01 18:00:00, 195.1, 0.1
1.317, 0.6, 95.8, 82.94, 0.0, 902.55, 0.6, 2.27, 2021-01-01 19:00:00, 195.1, 0.7
1.805, 0.6, 95.0, 87.65, 1.01, 902.75, 3.4, 5.29, 2021-01-01 20:00:00, 174.1, 1.1
2.021, 0.6, 95.6, 58.82, 1.01, 902.95, 3.8, 5.54, 2021-01-01 21:00:00, 186.7, 1.4
1.886, 0.6, 95.9, 78.24, 1.26, 903.05, 2.6, 4.03, 2021-01-01 22:00:00, 151.6, 1.3
1.778, 0.6, 96.0, 87.06, 1.26, 903.35, 2.2, 4.03, 2021-01-01 23:00:00, 143.2, 1.2
2.343, 0.6, 95.5, 30.59, 1.01, 902.95, 1.8, 4.53, 2021-01-02 00:00:00, 155.8, 1.7
2.557, 0.6, 93.3, 22.35, 1.76, 902.55, 1.8, 5.29, 2021-01-02 01:00:00, 165.7, 1.6
2.343, 0.6, 92.6, 15.29, 2.27, 902.65, 1.4, 6.55, 2021-01-02 02:00:00, 176.9, 1.3
1.697, 0.6, 93.1, 21.18, 1.01, 902.95, 0.6, 4.28, 2021-01-02 03:00:00, 155.8, 0.7
1.67, 0.6, 93.5, 17.06, 0.76, 902.85, 0.4, 3.78, 2021-01-02 04:00:00, 140.4, 0.7
1.588, 0.6, 92.6, 15.88, 1.26, 902.65, 0.4, 4.03, 2021-01-02 05:00:00, 140.4, 0.5
1.507, 0.6, 92.1, 15.29, 1.26, 902.25, 0.4, 3.78, 2021-01-02 06:00:00, 140.4, 0.4
1.534, 0.6, 90.4, 15.88, 1.26, 901.15, 0.2, 4.53, 2021-01-02 07:00:00, 148.8, 0.1
2.717, 0.6, 90.5, 23.53, 1.01, 900.45, 0.4, 5.54, 2021-01-02 08:00:00, 160.0, 1.3
3.142, 9.4, 87.1, 8.24, 1.01, 899.55, 0.0, 5.79, 2021-01-02 09:00:00, 175.5, 1.2
3.036, 30.6, 82.1, 7.06, 2.52, 898.75, 0.0, 6.55, 2021-01-02 10:00:00, 174.1, 0.3
3.512, 61.9, 80.5, 6.47, 2.27, 898.35, 0.0, 8.06, 2021-01-02 11:00:00, 168.5, 0.5
4.011, 68.1, 78.8, 6.47, 1.76, 898.25, 0.0, 5.54, 2021-01-02 12:00:00, 168.5, 0.7
4.115, 41.9, 77.4, 6.47, 1.76, 897.05, 0.0, 6.55, 2021-01-02 13:00:00, 161.5, 0.5
4.324, 29.4, 76.5, 5.88, 1.26, 896.65, 0.0, 6.3, 2021-01-02 14:00:00, 176.9, 0.6
2.316, 3.1, 80.6, 83.53, 2.27, 897.15, 0.6, 8.31, 2021-01-02 15:00:00, 195.1, -0.7
1.778, 13.1, 92.9, 18.82, 2.01, 897.55, 0.4, 6.55, 2021-01-02 16:00:00, 185.3, 0.8
0.797, 0.6, 94.8, 79.41, 0.76, 897.85, 0.0, 4.03, 2021-01-02 17:00:00, 162.9, 0.1
-1.242, 0.6, 95.8, 37.65, 0.25, 898.35, 0.0, 3.53, 2021-01-02 18:00:00, 136.2, -1.8
0.439, 0.6, 96.2, 57.06, 0.25, 898.35, 0.0, 3.02, 2021-01-02 19:00:00, 153.0, -0.1
0.19, 0.6, 96.1, 59.41, 0.0, 898.95, 0.0, 2.27, 2021-01-02 20:00:00, 137.6, -0.4
0.218, 0.6, 95.2, 62.94, 0.76, 899.35, 0.0, 4.53, 2021-01-02 21:00:00, 157.2, -0.5
-0.088, 0.6, 93.8, 57.06, 0.76, 899.95, 0.0, 3.53, 2021-01-02 22:00:00, 154.4, -1.0
