wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,relative_humidity,time,snw_dpth,week_of_year
75.0, None, None,2.8, None,2.7, None,9.3, None, None,99.0,2016-10-14 00:00:00, None,42
347.0, None, None,0.2, None,2.5, None,9.2, None, None,100.0,2016-10-14 01:00:00, None,42
15.0, None, None,0.0, None,1.7, None,9.2, None, None,100.0,2016-10-14 02:00:00, None,42
326.0, None, None,0.0, None,1.8, None,9.1, None, None,100.0,2016-10-14 03:00:00, None,42
248.0, None, None,0.2, None,2.2, None,9.1, None, None,100.0,2016-10-14 04:00:00, None,42
226.0, None, None,1.0, None,1.6, None,9.0, None, None,100.0,2016-10-14 05:00:00, None,42
332.0, None, None,7.8, None,1.8, None,9.1, None, None,100.0,2016-10-14 06:00:00, None,42
316.0, None, None,5.8, None,2.8, None,8.9, None, None,100.0,2016-10-14 07:00:00, None,42
326.0, None, None,5.6, None,2.4, None,7.8, None, None,100.0,2016-10-14 08:00:00, None,42
339.0, None, None,2.0, None,2.3, None,7.6, None, None,100.0,2016-10-14 09:00:00, None,42
318.0, None, None,0.8, None,1.8, None,7.8, None, None,99.0,2016-10-14 10:00:00, None,42
316.0, None, None,1.2, None,2.9, None,8.3, None, None,99.0,2016-10-14 11:00:00, None,42
4.0, None, None,1.6, None,2.9, None,8.2, None, None,99.0,2016-10-14 12:00:00, None,42
348.0, None, None,4.4, None,2.8, None,8.0, None, None,99.0,2016-10-14 13:00:00, None,42
311.0, None, None,2.6, None,2.3, None,8.1, None, None,100.0,2016-10-14 14:00:00, None,42
237.0, None, None,3.6, None,2.1, None,7.9, None, None,100.0,2016-10-14 15:00:00, None,42
341.0, None, None,6.8, None,0.0, None,8.0, None, None,100.0,2016-10-14 16:00:00, None,42
43.0, None, None,4.6, None,2.1, None,8.0, None, None,100.0,2016-10-14 17:00:00, None,42
289.0, None, None,1.6, None,1.9, None,8.0, None, None,100.0,2016-10-14 18:00:00, None,42
295.0, None, None,4.6, None,2.0, None,8.1, None, None,100.0,2016-10-14 19:00:00, None,42
31.0, None, None,2.8, None,2.3, None,8.2, None, None,100.0,2016-10-14 20:00:00, None,42
47.0, None, None,3.0, None,0.0, None,8.2, None, None,100.0,2016-10-14 21:00:00, None,42
319.0, None, None,0.4, None,0.0, None,8.2, None, None,100.0,2016-10-14 22:00:00, None,42
46.0, None, None,0.0, None,1.8, None,8.2, None, None,100.0,2016-10-14 23:00:00, None,42
8.0, None, None,0.0, None,0.0, None,8.1, None, None,100.0,2016-10-15 00:00:00, None,42
20.0, None, None,0.2, None,0.0, None,8.1, None, None,100.0,2016-10-15 01:00:00, None,42
43.0, None, None,1.0, None,0.0, None,8.1, None, None,100.0,2016-10-15 02:00:00, None,42
99.0, None, None,0.0, None,0.0, None,8.0, None, None,100.0,2016-10-15 03:00:00, None,42
341.0, None, None,0.4, None,0.0, None,8.0, None, None,100.0,2016-10-15 04:00:00, None,42
