station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, 0.982, 94.9, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 00:00:00, None, -0.667, None
None, 0.982, 95.8, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 01:00:00, None, -0.626, None
None, 1.175, 96.0, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 02:00:00, None, -0.609, None
None, 0.934, 96.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 03:00:00, None, -0.55, None
None, 0.548, 97.0, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 04:00:00, None, -0.491, None
None, 0.452, 97.1, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 05:00:00, None, -0.411, None
None, 0.5, 97.2, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 06:00:00, None, -0.261, None
None, 0.355, 97.0, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 07:00:00, None, -0.221, None
None, 0.403, 96.9, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 08:00:00, None, -0.339, None
None, 0.307, 97.3, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 09:00:00, None, -0.318, None
None, 0.596, 97.3, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 10:00:00, None, -0.382, None
None, 0.789, 97.4, None, None, None, None, None, None, None, 0.0, None, None, None, 2019-01-01 11:00:00, None, -0.224, None
None, 0.982, 97.5, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 12:00:00, None, -0.467, None
None, 1.127, 97.2, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 13:00:00, None, -0.499, None
None, 1.272, 97.0, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 14:00:00, None, -0.523, None
None, 1.272, 96.7, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 15:00:00, None, -0.532, None
None, 1.561, 97.0, None, None, None, None, None, None, None, 1.0, None, None, None, 2019-01-01 16:00:00, None, -0.593, None
None, 1.899, 97.3, None, None, None, None, None, None, None, 2.0, None, None, None, 2019-01-01 17:00:00, None, -0.556, None
None, 3.347, 97.1, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-01 18:00:00, None, -0.557, None
None, 3.717, 96.8, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-01 19:00:00, None, -0.602, None
None, 3.671, 96.9, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-01 20:00:00, None, -0.522, None
None, 4.391, 97.4, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-01 21:00:00, None, -0.613, None
None, 4.382, 97.1, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-01 22:00:00, None, -0.531, None
None, 5.106, 96.9, None, None, None, None, None, None, None, 5.0, None, None, None, 2019-01-01 23:00:00, None, -0.684, None
None, 4.623, 97.0, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 00:00:00, None, -0.448, None
None, 5.009, 96.9, None, None, None, None, None, None, None, 5.0, None, None, None, 2019-01-02 01:00:00, None, -0.597, None
None, 4.623, 96.6, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 02:00:00, None, -0.4, None
None, 4.43, 96.9, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 03:00:00, None, -0.408, None
None, 5.009, 97.2, None, None, None, None, None, None, None, 5.0, None, None, None, 2019-01-02 04:00:00, None, -0.4, None
None, 4.382, 97.2, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 05:00:00, None, -0.297, None
None, 4.961, 97.5, None, None, None, None, None, None, None, 5.0, None, None, None, 2019-01-02 06:00:00, None, -0.306, None
None, 5.009, 97.2, None, None, None, None, None, None, None, 5.0, None, None, None, 2019-01-02 07:00:00, None, -0.431, None
None, 4.479, 96.9, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 08:00:00, None, -0.629, None
None, 4.72, 97.5, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 09:00:00, None, -0.575, None
None, 4.479, 97.0, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 10:00:00, None, -0.538, None
None, 4.479, 97.5, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 11:00:00, None, -0.406, None
None, 4.527, 97.3, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 12:00:00, None, -0.44, None
None, 4.141, 97.0, None, None, None, None, None, None, None, 4.0, None, None, None, 2019-01-02 13:00:00, None, -0.366, None
None, 3.562, 96.9, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-02 14:00:00, None, -0.328, None
None, 3.033, 97.1, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-02 15:00:00, None, -0.344, None
None, 2.898, 97.3, None, None, None, None, None, None, None, 3.0, None, None, None, 2019-01-02 16:00:00, None, -0.513, None
