station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, snwfl_amt_pst1hr, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -13.89, 87.9, None, None, None, None, None, None, None, None, None, -15.0, 889.0, None, None, None, 2019-01-01 00:00:00, None, 56.64, None
None, -13.83, 87.7, None, None, None, None, None, None, None, None, None, -15.0, 888.0, None, None, None, 2019-01-01 01:00:00, None, 56.23, None
None, -13.59, 87.8, None, None, None, None, None, None, None, None, None, -15.0, 888.0, None, None, None, 2019-01-01 02:00:00, None, 55.22, None
None, -13.25, 88.1, None, None, None, None, None, None, None, None, None, -15.0, 888.0, None, None, None, 2019-01-01 03:00:00, None, 54.97, None
None, -13.01, 88.0, None, None, None, None, None, None, None, None, None, -14.0, 887.0, None, None, None, 2019-01-01 04:00:00, None, 55.11, None
None, -13.54, 87.9, None, None, None, None, None, None, None, None, None, -15.0, 887.0, None, None, None, 2019-01-01 05:00:00, None, 55.72, None
None, -14.5, 86.7, None, None, None, None, None, None, None, None, None, -16.0, 887.0, None, None, None, 2019-01-01 06:00:00, None, 55.62, None
None, -15.28, 86.5, None, None, None, None, None, None, None, None, None, -17.0, 888.0, None, None, None, 2019-01-01 07:00:00, None, 55.58, None
None, -15.42, 86.6, None, None, None, None, None, None, None, None, None, -17.0, 888.0, None, None, None, 2019-01-01 08:00:00, None, 55.48, None
None, -13.58, 87.6, None, None, None, None, None, None, None, None, None, -15.0, 888.0, None, None, None, 2019-01-01 09:00:00, None, 55.31, None
None, -10.03, 88.7, None, None, None, None, None, None, None, None, None, -11.0, 889.0, None, None, None, 2019-01-01 10:00:00, None, 54.63, None
None, -7.129, 68.81, None, None, None, None, None, None, None, None, None, -11.0, 888.0, None, None, None, 2019-01-01 11:00:00, None, 54.55, None
None, -6.937, 67.21, None, None, None, None, None, None, None, None, None, -11.0, 887.0, None, None, None, 2019-01-01 12:00:00, None, 54.83, None
None, -6.015, 66.92, None, None, None, None, None, None, None, None, None, -11.0, 886.0, None, None, None, 2019-01-01 13:00:00, None, 55.08, None
None, -6.285, 69.52, None, None, None, None, None, None, None, None, None, -10.0, 887.0, None, None, None, 2019-01-01 14:00:00, None, 55.31, None
None, -8.39, 80.6, None, None, None, None, None, None, None, None, None, -11.0, 887.0, None, None, None, 2019-01-01 15:00:00, None, 55.61, None
None, -9.85, 86.8, None, None, None, None, None, None, None, None, None, -11.0, 887.0, None, None, None, 2019-01-01 16:00:00, None, 55.36, None
None, -10.88, 89.3, None, None, None, None, None, None, None, None, None, -12.0, 887.0, None, None, None, 2019-01-01 17:00:00, None, 55.81, None
None, -10.77, 88.9, None, None, None, None, None, None, None, None, None, -12.0, 887.0, None, None, None, 2019-01-01 18:00:00, None, 55.76, None
None, -11.88, 89.0, None, None, None, None, None, None, None, None, None, -13.0, 887.0, None, None, None, 2019-01-01 19:00:00, None, 55.61, None
None, -12.24, 89.4, None, None, None, None, None, None, None, None, None, -13.0, 888.0, None, None, None, 2019-01-01 20:00:00, None, 56.1, None
None, -11.43, 89.4, None, None, None, None, None, None, None, None, None, -13.0, 886.0, None, None, None, 2019-01-01 21:00:00, None, 56.15, None
None, -10.81, 89.7, None, None, None, None, None, None, None, None, None, -12.0, 886.0, None, None, None, 2019-01-01 22:00:00, None, 56.3, None
