station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -9.25, 83.7, None, None, None, None, 20.59, None, 3.388, 271.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 00:00:00, None, None
None, -9.25, 83.7, None, None, None, None, 22.5, None, 3.089, 278.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 01:00:00, None, None
None, -9.18, 81.0, None, None, None, None, 23.43, None, 3.768, 276.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 02:00:00, None, None
None, -9.06, 75.62, None, None, None, None, 19.85, None, 3.76, 299.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 03:00:00, None, None
None, -9.12, 74.26, None, None, None, None, 25.05, None, 3.734, 297.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 04:00:00, None, None
None, -8.84, 73.4, None, None, None, None, 19.86, None, 4.182, 285.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 05:00:00, None, None
None, -8.74, 72.66, None, None, None, None, 14.23, None, 4.206, 278.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 06:00:00, None, None
None, -8.18, 67.27, None, None, None, None, 14.46, None, 4.213, 304.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 07:00:00, None, None
None, -9.2, 79.62, None, None, None, None, 19.3, None, 4.527, 272.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 08:00:00, None, None
None, -8.27, 87.3, None, None, None, None, 27.76, None, 4.647, 293.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 09:00:00, None, None
None, -7.548, 90.5, None, None, None, None, 22.47, None, 3.268, 315.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 10:00:00, None, None
None, -7.447, 91.0, None, None, None, None, 25.04, None, 2.908, 312.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 11:00:00, None, None
None, -7.375, 91.4, None, None, None, None, 21.08, None, 2.895, 274.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 12:00:00, None, None
None, -7.003, 91.3, None, None, None, None, 23.29, None, 3.01, 306.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 13:00:00, None, None
None, -6.512, 91.5, None, None, None, None, 17.32, None, 2.591, 316.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 14:00:00, None, None
None, -6.098, 91.8, None, None, None, None, 20.53, None, 2.767, 302.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 15:00:00, None, None
None, -5.952, 91.8, None, None, None, None, 23.8, None, 2.328, 316.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 16:00:00, None, None
None, -5.498, 92.3, None, None, None, None, 17.48, None, 3.938, 279.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 17:00:00, None, None
None, -5.582, 92.2, None, None, None, None, 25.86, None, 3.821, 303.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 18:00:00, None, None
None, -5.691, 91.8, None, None, None, None, 22.29, None, 5.137, 288.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 19:00:00, None, None
None, -5.395, 92.1, None, None, None, None, 24.61, None, 4.745, 295.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 20:00:00, None, None
None, -5.188, 92.2, None, None, None, None, 29.77, None, 3.502, 300.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 21:00:00, None, None
None, -4.939, 92.4, None, None, None, None, 32.13, None, 4.731, 297.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 22:00:00, None, None
None, -3.903, 93.3, None, None, None, None, 27.01, None, 3.329, 319.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 23:00:00, None, None
None, -3.069, 93.9, None, None, None, None, 24.58, None, 13.91, 317.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 00:00:00, None, None
None, -3.327, 93.8, None, None, None, None, 16.34, None, 22.75, 315.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 01:00:00, None, None
None, -3.013, 93.9, None, None, None, None, 26.61, None, 13.51, 316.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 02:00:00, None, None
None, -2.88, 94.0, None, None, None, None, 29.5, None, 12.2, 292.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 03:00:00, None, None
None, -3.033, 94.0, None, None, None, None, 23.84, None, 16.75, 284.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 04:00:00, None, None
None, -2.415, 94.4, None, None, None, None, 28.01, None, 17.92, 308.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 05:00:00, None, None
None, -3.389, 93.7, None, None, None, None, 31.11, None, 13.45, 302.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 06:00:00, None, None
None, -3.519, 93.6, None, None, None, None, 23.8, None, 20.86, 274.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 07:00:00, None, None
None, -3.36, 93.7, None, None, None, None, 25.15, None, 21.83, 281.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 08:00:00, None, None
None, -3.931, 93.2, None, None, None, None, 23.11, None, 21.66, 285.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 09:00:00, None, None
None, -4.25, 92.9, None, None, None, None, 29.29, None, 17.22, 279.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 10:00:00, None, None
None, -4.357, 92.7, None, None, None, None, 23.26, None, 20.07, 288.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 11:00:00, None, None
None, -4.526, 92.5, None, None, None, None, 24.47, None, 23.47, 296.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 12:00:00, None, None
None, -4.56, 92.5, None, None, None, None, 26.42, None, 20.97, 293.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 13:00:00, None, None
None, -5.368, 91.9, None, None, None, None, 25.26, None, 19.31, 287.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 14:00:00, None, None
None, -4.614, 92.8, None, None, None, None, 18.96, None, 21.32, 297.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 15:00:00, None, None
None, -3.773, 93.4, None, None, None, None, 19.01, None, 18.5, 292.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 16:00:00, None, None
None, -3.437, 93.6, None, None, None, None, 22.1, None, 17.11, 296.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 17:00:00, None, None
None, -2.364, 94.4, None, None, None, None, 21.1, None, 22.49, 282.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 18:00:00, None, None
None, -2.002, 94.7, None, None, None, None, 20.02, None, 27.15, 284.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 19:00:00, None, None
None, -1.426, 95.1, None, None, None, None, 18.46, None, 27.98, 290.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 20:00:00, None, None
None, -1.232, 95.3, None, None, None, None, 21.57, None, 26.14, 296.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 21:00:00, None, None
None, -1.212, 95.4, None, None, None, None, 19.09, None, 23.16, 291.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 22:00:00, None, None
None, -1.094, 95.5, None, None, None, None, 20.34, None, 25.01, 280.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 23:00:00, None, None
None, -0.915, 95.5, None, None, None, None, 21.04, None, 24.31, 281.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 00:00:00, None, None
None, -0.89, 95.6, None, None, None, None, 18.8, None, 25.27, 284.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 01:00:00, None, None
None, -0.641, 95.7, None, None, None, None, 17.04, None, 26.97, 273.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 02:00:00, None, None
None, -0.85, 95.8, None, None, None, None, 21.07, None, 25.49, 271.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 03:00:00, None, None
None, -0.981, 95.7, None, None, None, None, 16.47, None, 27.69, 270.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 04:00:00, None, None
None, -0.969, 95.6, None, None, None, None, 21.54, None, 28.77, 263.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 05:00:00, None, None
None, -1.068, 95.6, None, None, None, None, 22.65, None, 30.06, 263.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 06:00:00, None, None
None, -0.972, 95.6, None, None, None, None, 15.86, None, 29.33, 251.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 07:00:00, None, None
None, -0.882, 95.6, None, None, None, None, 12.06, None, 31.42, 247.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 08:00:00, None, None
None, -0.763, 95.7, None, None, None, None, 17.54, None, 28.5, 244.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 09:00:00, None, None
None, -0.774, 95.7, None, None, None, None, 17.07, None, 27.9, 245.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 10:00:00, None, None
