station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, stn_pres
None, None, -10.96, 82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 00:00:00, None, None, None, None
None, None, -11.01, 83.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 01:00:00, None, None, None, None
None, None, -10.74, 85.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None, 2019-01-01 02:00:00, None, None, None, None
None, None, -10.82, 84.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 03:00:00, None, None, None, None
None, None, -10.85, 82.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 04:00:00, None, None, None, None
None, None, -10.92, 83.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 05:00:00, None, None, None, None
None, None, -11.1, 82.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 06:00:00, None, None, None, None
None, None, -11.21, 82.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None, 2019-01-01 07:00:00, None, None, None, None
None, None, -10.85, 88.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None, 2019-01-01 08:00:00, None, None, None, None
None, None, -10.14, 89.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None, 2019-01-01 09:00:00, None, None, None, None
None, None, -9.21, 81.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None, 2019-01-01 10:00:00, None, None, None, None
None, None, -8.1, 73.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None, 2019-01-01 11:00:00, None, None, None, None
None, None, -8.23, 73.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None, 2019-01-01 12:00:00, None, None, None, None
None, None, -7.79, 77.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None, 2019-01-01 13:00:00, None, None, None, None
None, None, -7.96, 78.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None, 2019-01-01 14:00:00, None, None, None, None
None, None, -8.28, 84.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None, 2019-01-01 15:00:00, None, None, None, None
None, None, -8.53, 90.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None, 2019-01-01 16:00:00, None, None, None, None
None, None, -8.65, 92.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-01 17:00:00, None, None, None, None
None, None, -8.75, 92.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None, 2019-01-01 18:00:00, None, None, None, None
None, None, -8.74, 94.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-01 19:00:00, None, None, None, None
None, None, -8.77, 93.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None, 2019-01-01 20:00:00, None, None, None, None
None, None, -8.7, 92.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None, 2019-01-01 21:00:00, None, None, None, None
None, None, -8.52, 94.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-01 22:00:00, None, None, None, None
None, None, -8.45, 93.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-01 23:00:00, None, None, None, None
None, None, -8.38, 92.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 00:00:00, None, None, None, None
None, None, -8.27, 91.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 01:00:00, None, None, None, None
None, None, -8.2, 91.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 02:00:00, None, None, None, None
None, None, -8.1, 92.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 03:00:00, None, None, None, None
None, None, -8.16, 91.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 04:00:00, None, None, None, None
None, None, -8.21, 90.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 05:00:00, None, None, None, None
None, None, -8.22, 91.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 06:00:00, None, None, None, None
None, None, -8.01, 94.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 07:00:00, None, None, None, None
None, None, -8.01, 92.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 08:00:00, None, None, None, None
None, None, -7.89, 91.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 09:00:00, None, None, None, None
None, None, -7.64, 92.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 10:00:00, None, None, None, None
None, None, -7.35, 91.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None, 2019-01-02 11:00:00, None, None, None, None
None, None, -6.258, 92.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None, 2019-01-02 12:00:00, None, None, None, None
None, None, -6.386, 80.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 13:00:00, None, None, None, None
None, None, -6.311, 82.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 14:00:00, None, None, None, None
None, None, -6.583, 81.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None, 2019-01-02 15:00:00, None, None, None, None
None, None, -6.799, 89.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None, 2019-01-02 16:00:00, None, None, None, None
