station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, 0.29, 97.5, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-21 16:00:00, None, None
None, 0.211, 97.8, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-21 17:00:00, None, None
None, -0.233, 97.9, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-21 18:00:00, None, None
None, -0.332, 97.9, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-21 19:00:00, None, None
None, -0.287, 98.1, None, None, None, None, None, None, None, -1.0, 946.0, None, 2019-11-21 20:00:00, None, None
None, -0.293, 97.9, None, None, None, None, None, None, None, -1.0, 946.0, None, 2019-11-21 21:00:00, None, None
None, -0.293, 98.0, None, None, None, None, None, None, None, -1.0, 946.0, None, 2019-11-21 22:00:00, None, None
None, -0.143, 97.6, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-21 23:00:00, None, None
None, 0.061, 97.3, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-22 00:00:00, None, None
None, -0.183, 96.9, None, None, None, None, None, None, None, 0.0, 949.0, None, 2019-11-22 01:00:00, None, None
None, -0.265, 97.2, None, None, None, None, None, None, None, -1.0, 949.0, None, 2019-11-22 02:00:00, None, None
None, -0.174, 96.4, None, None, None, None, None, None, None, 0.0, 949.0, None, 2019-11-22 03:00:00, None, None
None, -0.687, 96.9, None, None, None, None, None, None, None, -1.0, 949.0, None, 2019-11-22 04:00:00, None, None
None, -0.216, 96.9, None, None, None, None, None, None, None, 0.0, 949.0, None, 2019-11-22 05:00:00, None, None
None, 0.552, 92.4, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-22 06:00:00, None, None
None, 0.785, 92.6, None, None, None, None, None, None, None, 0.0, 947.0, None, 2019-11-22 07:00:00, None, None
None, 0.874, 94.0, None, None, None, None, None, None, None, 0.0, 947.0, None, 2019-11-22 08:00:00, None, None
None, 0.752, 95.7, None, None, None, None, None, None, None, 0.0, 947.0, None, 2019-11-22 09:00:00, None, None
None, 0.836, 96.9, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-22 10:00:00, None, None
None, 1.167, 97.6, None, None, None, None, None, None, None, 1.0, 946.0, None, 2019-11-22 11:00:00, None, None
None, 1.53, 97.9, None, None, None, None, None, None, None, 1.0, 946.0, None, 2019-11-22 12:00:00, None, None
None, 1.951, 98.0, None, None, None, None, None, None, None, 2.0, 945.0, None, 2019-11-22 13:00:00, None, None
None, 2.929, 98.3, None, None, None, None, None, None, None, 3.0, 944.0, None, 2019-11-22 14:00:00, None, None
None, 3.152, 97.1, None, None, None, None, None, None, None, 3.0, 943.0, None, 2019-11-22 15:00:00, None, None
None, 2.693, 97.7, None, None, None, None, None, None, None, 3.0, 943.0, None, 2019-11-22 16:00:00, None, None
None, 3.006, 98.3, None, None, None, None, None, None, None, 2.0, 943.0, None, 2019-11-22 17:00:00, None, None
None, 2.775, 98.3, None, None, None, None, None, None, None, 2.0, 943.0, None, 2019-11-22 18:00:00, None, None
None, 3.273, 98.4, None, None, None, None, None, None, None, 3.0, 944.0, None, 2019-11-22 19:00:00, None, None
None, 4.328, 97.8, None, None, None, None, None, None, None, 4.0, 945.0, None, 2019-11-22 20:00:00, None, None
None, 4.282, 95.0, None, None, None, None, None, None, None, 4.0, 945.0, None, 2019-11-22 21:00:00, None, None
None, 2.459, 97.0, None, None, None, None, None, None, None, 2.0, 946.0, None, 2019-11-22 22:00:00, None, None
None, 1.692, 97.7, None, None, None, None, None, None, None, 1.0, 947.0, None, 2019-11-22 23:00:00, None, None
None, 1.288, 98.2, None, None, None, None, None, None, None, 1.0, 947.0, None, 2019-11-23 00:00:00, None, None
None, 1.988, 92.8, None, None, None, None, None, None, None, 1.0, 947.0, None, 2019-11-23 01:00:00, None, None
None, 0.798, 97.5, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 02:00:00, None, None
None, 0.342, 97.9, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 03:00:00, None, None
None, 0.393, 98.3, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 04:00:00, None, None
None, -0.018, 98.5, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 05:00:00, None, None
None, -0.09, 98.7, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 06:00:00, None, None
None, -0.059, 98.8, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-23 07:00:00, None, None
None, 0.194, 99.0, None, None, None, None, None, None, None, 0.0, 947.0, None, 2019-11-23 08:00:00, None, None
None, 0.223, 98.9, None, None, None, None, None, None, None, 0.0, 946.0, None, 2019-11-23 09:00:00, None, None
None, 0.383, 98.9, None, None, None, None, None, None, None, 0.0, 945.0, None, 2019-11-23 10:00:00, None, None
None, 0.725, 98.9, None, None, None, None, None, None, None, 1.0, 944.0, None, 2019-11-23 11:00:00, None, None
None, 2.04, 98.7, None, None, None, None, None, None, None, 2.0, 943.0, None, 2019-11-23 12:00:00, None, None
None, 0.563, 98.0, None, None, None, None, None, None, None, 0.0, 942.0, None, 2019-11-23 13:00:00, None, None
None, 0.37, 98.3, None, None, None, None, None, None, None, 0.0, 941.0, None, 2019-11-23 14:00:00, None, None
None, 0.512, 98.4, None, None, None, None, None, None, None, 0.0, 940.0, None, 2019-11-23 15:00:00, None, None
None, 0.342, 98.5, None, None, None, None, None, None, None, 0.0, 938.0, None, 2019-11-23 16:00:00, None, None
None, 0.23, 98.6, None, None, None, None, None, None, None, 0.0, 937.0, None, 2019-11-23 17:00:00, None, None
None, 0.234, 98.6, None, None, None, None, None, None, None, 0.0, 936.0, None, 2019-11-23 18:00:00, None, None
None, 0.381, 98.7, None, None, None, None, None, None, None, 0.0, 936.0, None, 2019-11-23 19:00:00, None, None
None, 0.573, 98.4, None, None, None, None, None, None, None, 0.0, 937.0, None, 2019-11-23 20:00:00, None, None
None, 0.402, 98.3, None, None, None, None, None, None, None, 0.0, 939.0, None, 2019-11-23 21:00:00, None, None
None, 0.273, 98.1, None, None, None, None, None, None, None, 0.0, 940.0, None, 2019-11-23 22:00:00, None, None
None, 0.363, 98.4, None, None, None, None, None, None, None, 0.0, 941.0, None, 2019-11-23 23:00:00, None, None
None, 0.665, 98.3, None, None, None, None, None, None, None, 0.0, 943.0, None, 2019-11-24 00:00:00, None, None
None, 1.15, 97.4, None, None, None, None, None, None, None, 1.0, 944.0, None, 2019-11-24 01:00:00, None, None
None, 1.04, 97.5, None, None, None, None, None, None, None, 1.0, 945.0, None, 2019-11-24 02:00:00, None, None
None, 0.95, 97.8, None, None, None, None, None, None, None, 1.0, 946.0, None, 2019-11-24 03:00:00, None, None
None, 0.398, 98.1, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-24 04:00:00, None, None
None, 0.417, 98.0, None, None, None, None, None, None, None, 0.0, 948.0, None, 2019-11-24 05:00:00, None, None
None, 0.968, 97.8, None, None, None, None, None, None, None, 1.0, 948.0, None, 2019-11-24 06:00:00, None, None
None, 0.19, 97.5, None, None, None, None, None, None, None, 0.0, 949.0, None, 2019-11-24 07:00:00, None, None
None, 0.196, 98.2, None, None, None, None, None, None, None, 0.0, 951.0, None, 2019-11-24 10:00:00, None, None
None, 1.273, 95.8, None, None, None, None, None, None, None, 1.0, 951.0, None, 2019-11-24 11:00:00, None, None
None, 2.41, 90.9, None, None, None, None, None, None, None, 1.0, 952.0, None, 2019-11-24 12:00:00, None, None
None, 2.79, 93.7, None, None, None, None, None, None, None, 2.0, 952.0, None, 2019-11-24 13:00:00, None, None
None, 1.47, 93.8, None, None, None, None, None, None, None, 1.0, 952.0, None, 2019-11-24 14:00:00, None, None
None, 0.739, 96.0, None, None, None, None, None, None, None, 0.0, 953.0, None, 2019-11-24 15:00:00, None, None
None, 0.116, 97.5, None, None, None, None, None, None, None, 0.0, 953.0, None, 2019-11-24 16:00:00, None, None
None, -0.213, 97.9, None, None, None, None, None, None, None, -1.0, 953.0, None, 2019-11-24 17:00:00, None, None
