station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 0.21, 214.4, None, None, None, None, None, None, None, None, None, None, None, -4.221, None, None, None, None, 57.56, None, None, None, None, 2019-01-01 00:00:00, None
None, None, None, None, 0.31, 196.7, None, None, None, None, None, None, None, None, None, None, None, -4.373, None, None, None, None, 39.82, None, None, None, None, 2019-01-01 01:00:00, None
None, None, None, None, 0.37, 180.6, None, None, None, None, None, None, None, None, None, None, None, -4.08, None, None, None, None, 22.44, None, None, None, None, 2019-01-01 02:00:00, None
None, None, None, None, 0.283, 193.9, None, None, None, None, None, None, None, None, None, None, None, -4.042, None, None, None, None, 43.88, None, None, None, None, 2019-01-01 03:00:00, None
None, None, None, None, 0.256, 190.3, None, None, None, None, None, None, None, None, None, None, None, -4.061, None, None, None, None, 47.43, None, None, None, None, 2019-01-01 04:00:00, None
None, None, None, None, 0.249, 192.8, None, None, None, None, None, None, None, None, None, None, None, -4.099, None, None, None, None, 49.16, None, None, None, None, 2019-01-01 05:00:00, None
None, None, None, None, 0.365, 177.5, None, None, None, None, None, None, None, None, None, None, None, -4.013, None, None, None, None, 22.02, None, None, None, None, 2019-01-01 06:00:00, None
None, None, None, None, 0.375, 171.0, None, None, None, None, None, None, None, None, None, None, None, -3.957, None, None, None, None, 15.26, None, None, None, None, 2019-01-01 07:00:00, None
None, None, None, None, 0.263, 179.2, None, None, None, None, None, None, None, None, None, None, None, -3.702, None, None, None, None, 45.95, None, None, None, None, 2019-01-01 08:00:00, None
None, None, None, None, 0.076, 345.9, None, None, None, None, None, None, None, None, None, None, None, -3.419, None, None, None, None, 72.8, None, None, None, None, 2019-01-01 09:00:00, None
None, None, None, None, 0.384, 353.7, None, None, None, None, None, None, None, None, None, None, None, -2.704, None, None, None, None, 16.85, None, None, None, None, 2019-01-01 10:00:00, None
None, None, None, None, 0.379, 356.7, None, None, None, None, None, None, None, None, None, None, None, -2.423, None, None, None, None, 16.96, None, None, None, None, 2019-01-01 11:00:00, None
None, None, None, None, 0.368, 349.4, None, None, None, None, None, None, None, None, None, None, None, -2.16, None, None, None, None, 25.89, None, None, None, None, 2019-01-01 12:00:00, None
None, None, None, None, 0.25, 348.8, None, None, None, None, None, None, None, None, None, None, None, -2.076, None, None, None, None, 50.1, None, None, None, None, 2019-01-01 13:00:00, None
None, None, None, None, 0.244, 351.1, None, None, None, None, None, None, None, None, None, None, None, -2.01, None, None, None, None, 50.49, None, None, None, None, 2019-01-01 14:00:00, None
None, None, None, None, 0.133, 217.4, None, None, None, None, None, None, None, None, None, None, None, -2.038, None, None, None, None, 65.98, None, None, None, None, 2019-01-01 15:00:00, None
None, None, None, None, 14.48, 199.3, None, None, None, None, None, None, None, None, None, None, None, -2.442, None, None, None, None, 16.33, None, None, None, None, 2019-01-01 16:00:00, None
None, None, None, None, 1.351, 221.3, None, None, None, None, None, None, None, None, None, None, None, -2.817, None, None, None, None, 62.39, None, None, None, None, 2019-01-01 17:00:00, None
None, None, None, None, 53.76, 340.8, None, None, None, None, None, None, None, None, None, None, None, -3.193, None, None, None, None, 55.75, None, None, None, None, 2019-01-01 18:00:00, None
None, None, None, None, 9.11, 293.1, None, None, None, None, None, None, None, None, None, None, None, -3.514, None, None, None, None, 72.5, None, None, None, None, 2019-01-01 19:00:00, None
None, None, None, None, 0.196, 347.4, None, None, None, None, None, None, None, None, None, None, None, -3.749, None, None, None, None, 57.19, None, None, None, None, 2019-01-01 20:00:00, None
None, None, None, None, 0.069, 265.5, None, None, None, None, None, None, None, None, None, None, None, -4.051, None, None, None, None, 73.4, None, None, None, None, 2019-01-01 21:00:00, None
None, None, None, None, 0.351, 3.502, None, None, None, None, None, None, None, None, None, None, None, -4.458, None, None, None, None, 22.5, None, None, None, None, 2019-01-01 22:00:00, None
None, None, None, None, 0.267, 3.652, None, None, None, None, None, None, None, None, None, None, None, -4.591, None, None, None, None, 44.34, None, None, None, None, 2019-01-01 23:00:00, None
None, None, None, None, 0.186, 1.802, None, None, None, None, None, None, None, None, None, None, None, -4.762, None, None, None, None, 58.01, None, None, None, None, 2019-01-02 00:00:00, None
None, None, None, None, 0.246, 0.609, None, None, None, None, None, None, None, None, None, None, None, -4.781, None, None, None, None, 49.19, None, None, None, None, 2019-01-02 01:00:00, None
None, None, None, None, 0.159, 317.9, None, None, None, None, None, None, None, None, None, None, None, -4.705, None, None, None, None, 63.93, None, None, None, None, 2019-01-02 02:00:00, None
None, None, None, None, 0.456, 311.3, None, None, None, None, None, None, None, None, None, None, None, -4.952, None, None, None, None, 25.3, None, None, None, None, 2019-01-02 03:00:00, None
None, None, None, None, 2.734, 350.4, None, None, None, None, None, None, None, None, None, None, None, -5.983, None, None, None, None, 65.85, None, None, None, None, 2019-01-02 04:00:00, None
None, None, None, None, 11.04, 202.5, None, None, None, None, None, None, None, None, None, None, None, -8.48, None, None, None, None, 44.93, None, None, None, None, 2019-01-02 05:00:00, None
None, None, None, None, 17.79, 127.6, None, None, None, None, None, None, None, None, None, None, None, -9.7, None, None, None, None, 43.14, None, None, None, None, 2019-01-02 06:00:00, None
None, None, None, None, 5.459, 356.6, None, None, None, None, None, None, None, None, None, None, None, -9.62, None, None, None, None, 71.0, None, None, None, None, 2019-01-02 07:00:00, None
None, None, None, None, 23.42, 287.4, None, None, None, None, None, None, None, None, None, None, None, -9.97, None, None, None, None, 21.89, None, None, None, None, 2019-01-02 08:00:00, None
None, None, None, None, 20.77, 262.2, None, None, None, None, None, None, None, None, None, None, None, -9.82, None, None, None, None, 16.72, None, None, None, None, 2019-01-02 09:00:00, None
