WDIR_VECT,time,TEMP_MEAN,week_of_year
255.1,2019-01-20 18:00:00,5.6,3
4.9,2019-01-20 19:00:00,4.1,3
2.7,2019-01-20 20:00:00,3.4,3
359.7,2019-01-20 21:00:00,3.0,3
7.9,2019-01-20 22:00:00,2.7,3
3.8,2019-01-20 23:00:00,2.3,3
34.8,2019-01-21 00:00:00,2.3,3
8.0,2019-01-21 01:00:00,2.1,3
10.9,2019-01-21 02:00:00,1.8,3
14.9,2019-01-21 03:00:00,1.8,3
6.8,2019-01-21 04:00:00,1.8,3
4.7,2019-01-21 05:00:00,2.1,3
358.1,2019-01-21 06:00:00,2.2,3
8.7,2019-01-21 07:00:00,2.3,3
19.9,2019-01-21 08:00:00,2.4,3
16.5,2019-01-21 09:00:00,2.4,3
10.2,2019-01-21 10:00:00,2.7,3
35.6,2019-01-21 12:00:00,4.8,3
194.8,2019-01-21 13:00:00,5.8,3
149.9,2019-01-21 14:00:00,6.5,3
160.8,2019-01-21 15:00:00,6.6,3
149.0,2019-01-21 16:00:00,6.3,3
145.1,2019-01-21 17:00:00,5.5,3
14.6,2019-01-21 18:00:00,4.6,3
67.3,2019-01-21 19:00:00,4.2,3
6.7,2019-01-21 20:00:00,3.7,3
10.8,2019-01-21 21:00:00,3.7,3
8.2,2019-01-21 22:00:00,3.6,3
7.7,2019-01-21 23:00:00,3.8,3
