ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
0.0,0.0,1.0,0.0,2020-12-09,0.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,2.0,0.0,2020-12-10,0.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,0.0,0.0,2020-12-11,0.0,2.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,2020-12-12,0.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,0.0,2.0,2020-12-13,0.0,2.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,0.0,2.0,2020-12-14,1.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,2020-12-15,2.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 00:00:00,,,50,267.0, 100.0, 2.0,0.2, 1.5,2.7, 1.5,1.2, 281.0, 0.6, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 01:00:00,,,50,226.0, 100.0, 2.7,0.2, 1.2,2.8, 1.2,1.2, 267.0, 0.2, 4.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 02:00:00,,,50,285.0, 100.0, 2.8,0.0, 1.2,3.2, 1.2,1.4, 226.0, 0.2, 4.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 03:00:00,,,50,341.0, 100.0, 3.2,0.0, 1.4,2.6, 1.4,1.4, 285.0, 0.0, 4.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 04:00:00,,,50,218.0, 100.0, 2.6,0.0, 1.4,2.5, 1.4,1.5, 341.0, 0.0, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 05:00:00,,,50,281.0, 100.0, 2.5,0.0, 1.5,3.2, 1.5,1.4, 218.0, 0.0, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 06:00:00,,,50,280.0, 100.0, 3.2,0.0, 1.4,3.8, 1.4,1.4, 281.0, 0.0, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 07:00:00,,,50,338.0, 100.0, 3.8,0.0, 1.4,3.7, 1.4,1.3, 280.0, 0.0, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-12-09 08:00:00,,,50,301.0, 100.0, 3.7,0.0, 1.3,2.7, 1.3,1.5, 338.0, 0.0, 4.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
