AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
,4.8, None,2016-01-22,-5.5,1.1,4,,,,,
,5.0, None,2016-01-23,-5.8,-2.4,4,,,,,
,0.0, None,2016-01-24,-9.2,-2.0,4,,,,,
,0.0, None,2016-01-25,-11.0,-4.0,4,,,,,
,1.0, None,2016-01-26,-6.0,-2.6,4,,,,,
,13.4, None,2016-01-27,-3.5,-0.2,4,,,,,
,1.6, None,2016-01-28,-3.5,0.4,4,,,,,
,,,2016-01-22 00:00:00, None, None,4,430.0,341.0, None, None,-2.1
,,,2016-01-22 01:00:00, None, None,4,430.0,342.0, None, None,-2.2
,,,2016-01-22 02:00:00, None, None,4,430.0,344.0, None, None,-1.9
,,,2016-01-22 03:00:00, None, None,4,430.0,344.0, None, None,-1.7
,,,2016-01-22 04:00:00, None, None,4,430.0,344.0, None, None,-1.6
,,,2016-01-22 05:00:00, None, None,4,430.0,345.0, None, None,-1.0
,,,2016-01-22 06:00:00, None, None,4,430.0,346.0, None, None,-0.8
,,,2016-01-22 07:00:00, None, None,4,430.0,346.0, None, None,-0.7
,,,2016-01-22 08:00:00, None, None,4,430.0,347.0, None, None,-0.7
,,,2016-01-22 09:00:00, None, None,4,430.0,348.0, None, None,-0.3
,,,2016-01-22 10:00:00, None, None,4,430.0,350.0, None, None,-0.6
,,,2016-01-22 11:00:00, None, None,4,430.0,350.0, None, None,-0.7
,,,2016-01-22 12:00:00, None, None,4,430.0,350.0, None, None,-0.7
,,,2016-01-22 13:00:00, None, None,4,430.0,351.0, None, None,-0.8
,,,2016-01-22 14:00:00, None, None,4,431.0,352.0, None, None,-0.7
,,,2016-01-22 15:00:00, None, None,4,431.0,352.0, None, None,-0.7
,,,2016-01-22 16:00:00, None, None,4,431.0,352.0, 566.0, None,-0.8
,,,2016-01-22 17:00:00, None, None,4,431.0,352.0, None, None,-0.6
,,,2016-01-22 18:00:00, None, None,4,431.0,352.0, None, None,-0.4
,,,2016-01-22 19:00:00, None, None,4,431.0,352.0, None, None,-0.3
,,,2016-01-22 20:00:00, None, None,4,431.0,352.0, None, None,0.0
,,,2016-01-22 21:00:00, None, None,4,431.0,352.0, None, None,1.1
,,,2016-01-22 22:00:00, None, None,4,431.0,352.0, None, None,0.5
,,,2016-01-22 23:00:00, None, None,4,432.0,352.0, None, None,-0.4
,,,2016-01-23 00:00:00, None, None,4,432.0,352.0, None, None,-0.3
,,,2016-01-23 01:00:00, None, None,4,432.0,352.0, None, None,-0.8
,,,2016-01-23 02:00:00, None, None,4,432.0,350.0, None, None,-1.7
,,,2016-01-23 03:00:00, None, None,4,432.0,350.0, None, None,-2.5
,,,2016-01-23 04:00:00, None, None,4,432.0,350.0, None, None,-3.9
,,,2016-01-23 05:00:00, None, None,4,432.0,350.0, None, None,-4.1
,,,2016-01-23 06:00:00, None, None,4,432.0,350.0, None, None,-4.5
,,,2016-01-23 07:00:00, None, None,4,433.0,350.0, None, None,-4.8
,,,2016-01-23 08:00:00, None, None,4,433.0,349.0, None, None,-5.5
,,,2016-01-23 09:00:00, None, None,4,433.0,349.0, None, None,-5.8
,,,2016-01-23 10:00:00, None, None,4,433.0,349.0, None, None,-5.4
,,,2016-01-23 11:00:00, None, None,4,433.0,350.0, None, None,-5.4
,,,2016-01-23 12:00:00, None, None,4,433.0,350.0, None, None,-5.5
,,,2016-01-23 13:00:00, None, None,4,433.0,351.0, None, None,-4.6
,,,2016-01-23 14:00:00, None, None,4,433.0,352.0, None, None,-4.9
,,,2016-01-23 15:00:00, None, None,4,433.0,352.0, None, None,-5.3
,,,2016-01-23 16:00:00, None, None,4,433.0,352.0, 566.0, None,-5.5
,,,2016-01-23 17:00:00, None, None,4,433.0,352.0, None, None,-4.6
,,,2016-01-23 18:00:00, None, None,4,432.0,353.0, None, None,-3.3
,,,2016-01-23 19:00:00, None, None,4,432.0,353.0, None, None,-2.4
,,,2016-01-23 20:00:00, None, None,4,432.0,354.0, None, None,-2.6
,,,2016-01-23 21:00:00, None, None,4,432.0,354.0, None, None,-2.6
,,,2016-01-23 22:00:00, None, None,4,433.0,356.0, None, None,-2.8
,,,2016-01-23 23:00:00, None, None,4,434.0,357.0, None, None,-2.7
,,,2016-01-24 00:00:00, None, None,4,434.0,357.0, None, None,-2.7
