wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND
3.0, None, None,0.0, None,2.3, None,1.3, None, None, None,100.0,2016-01-22 00:00:00, None,4,,,,,,,,,,,,
35.0, None, None,0.0, None,4.1, None,1.3, None, None, None,100.0,2016-01-22 01:00:00, None,4,,,,,,,,,,,,
111.0, None, None,0.0, None,6.4, None,1.4, None, None, None,100.0,2016-01-22 02:00:00, None,4,,,,,,,,,,,,
58.0, None, None,0.0, None,2.6, None,1.3, None, None, None,100.0,2016-01-22 03:00:00, None,4,,,,,,,,,,,,
38.0, None, None,0.0, None,1.9, None,1.3, None, None, None,100.0,2016-01-22 04:00:00, None,4,,,,,,,,,,,,
70.0, None, None,0.0, None,2.0, None,1.0, None, None, None,100.0,2016-01-22 05:00:00, None,4,,,,,,,,,,,,
44.0, None, None,0.2, None,4.3, None,1.5, None, None, None,100.0,2016-01-22 06:00:00, None,4,,,,,,,,,,,,
162.0, None, None,0.2, None,2.2, None,1.2, None, None, None,100.0,2016-01-22 07:00:00, None,4,,,,,,,,,,,,
48.0, None, None,0.6, None,2.5, None,1.2, None, None, None,100.0,2016-01-22 08:00:00, None,4,,,,,,,,,,,,
168.0, None, None,0.4, None,1.8, None,1.2, None, None, None,100.0,2016-01-22 09:00:00, None,4,,,,,,,,,,,,
57.0, None, None,1.0, None,2.2, None,1.3, None, None, None,100.0,2016-01-22 10:00:00, None,4,,,,,,,,,,,,
190.0, None, None,0.0, None,2.3, None,2.4, None, None, None,100.0,2016-01-22 11:00:00, None,4,,,,,,,,,,,,
126.0, None, None,0.0, None,2.4, None,2.3, None, None, None,100.0,2016-01-22 12:00:00, None,4,,,,,,,,,,,,
36.0, None, None,0.0, None,2.0, None,2.4, None, None, None,100.0,2016-01-22 13:00:00, None,4,,,,,,,,,,,,
341.0, None, None,0.0, None,4.6, None,2.5, None, None, None,100.0,2016-01-22 14:00:00, None,4,,,,,,,,,,,,
158.0, None, None,0.0, None,9.1, None,2.6, None, None, None,100.0,2016-01-22 15:00:00, None,4,,,,,,,,,,,,
112.0, None, None,0.0, None,3.9, None,2.5, None, None, None,100.0,2016-01-22 16:00:00, None,4,,,,,,,,,,,,
227.0, None, None,0.0, None,2.6, None,1.6, None, None, None,100.0,2016-01-22 17:00:00, None,4,,,,,,,,,,,,
115.0, None, None,0.0, None,7.4, None,0.9, None, None, None,100.0,2016-01-22 18:00:00, None,4,,,,,,,,,,,,
87.0, None, None,0.0, None,5.7, None,0.4, None, None, None,100.0,2016-01-22 19:00:00, None,4,,,,,,,,,,,,
49.0, None, None,0.0, None,7.0, None,0.5, None, None, None,100.0,2016-01-22 20:00:00, None,4,,,,,,,,,,,,
