WDIR_VECT,time,HUMIDITY,week_of_year
231.6,2020-11-11 00:00:00, 97.1,46
240.1,2020-11-11 01:00:00, 97.2,46
237.6,2020-11-11 02:00:00, 96.8,46
265.7,2020-11-11 03:00:00, 96.1,46
226.2,2020-11-11 04:00:00, 95.4,46
194.3,2020-11-11 05:00:00, 95.9,46
189.2,2020-11-11 06:00:00, 95.5,46
193.3,2020-11-11 07:00:00, 95.8,46
212.0,2020-11-11 08:00:00, 95.7,46
179.1,2020-11-11 09:00:00, 95.6,46
105.1,2020-11-11 10:00:00, 90.5,46
107.1,2020-11-11 11:00:00, 86.4,46
148.9,2020-11-11 12:00:00, 80.2,46
111.8,2020-11-11 13:00:00, 80.1,46
178.4,2020-11-11 14:00:00, 78.8,46
135.0,2020-11-11 15:00:00, 78.2,46
297.1,2020-11-11 16:00:00, 81.3,46
291.6,2020-11-11 17:00:00, 82.7,46
243.5,2020-11-11 18:00:00, 84.5,46
202.8,2020-11-11 19:00:00, 87.6,46
199.8,2020-11-11 20:00:00, 89.7,46
206.2,2020-11-11 21:00:00, 90.3,46
208.9,2020-11-11 22:00:00, 91.6,46
186.5,2020-11-11 23:00:00, 93.0,46
214.7,2020-11-12 00:00:00, 94.9,46
156.6,2020-11-12 01:00:00, 96.0,46
141.7,2020-11-12 02:00:00, 96.3,46
115.0,2020-11-12 03:00:00, 96.2,46
129.0,2020-11-12 04:00:00, 95.5,46
192.8,2020-11-12 05:00:00, 94.4,46
228.1,2020-11-12 06:00:00, 94.0,46
225.1,2020-11-12 07:00:00, 92.4,46
217.9,2020-11-12 08:00:00, 90.0,46
157.2,2020-11-12 09:00:00, 80.0,46
232.6,2020-11-12 10:00:00, 85.6,46
230.0,2020-11-12 11:00:00, 86.8,46
239.4,2020-11-12 12:00:00, 84.3,46
248.3,2020-11-12 13:00:00, 79.2,46
158.8,2020-11-12 14:00:00, 72.0,46
192.4,2020-11-12 15:00:00, 72.3,46
273.8,2020-11-12 16:00:00, 77.1,46
271.5,2020-11-12 17:00:00, 85.5,46
233.9,2020-11-12 18:00:00, 92.9,46
187.9,2020-11-12 19:00:00, 95.9,46
157.4,2020-11-12 20:00:00, 96.8,46
200.7,2020-11-12 21:00:00, 97.7,46
115.6,2020-11-12 22:00:00, 97.7,46
212.6,2020-11-12 23:00:00, 98.1,46
104.1,2020-11-13 00:00:00, 98.6,46
133.7,2020-11-13 01:00:00, 98.5,46
231.7,2020-11-13 02:00:00, 98.2,46
240.4,2020-11-13 03:00:00, 98.1,46
239.0,2020-11-13 04:00:00, 98.2,46
230.1,2020-11-13 05:00:00, 98.7,46
257.7,2020-11-13 06:00:00, 98.7,46
256.4,2020-11-13 07:00:00, 98.7,46
224.9,2020-11-13 08:00:00, 98.6,46
245.5,2020-11-13 09:00:00, 98.5,46
246.4,2020-11-13 10:00:00, 98.4,46
250.2,2020-11-13 11:00:00, 98.2,46
267.0,2020-11-13 12:00:00, 97.2,46
294.5,2020-11-13 13:00:00, 96.4,46
266.1,2020-11-13 14:00:00, 96.4,46
