wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,snw_dpth
302.0, 84.0, 5.9, 0.0, 9.0, 14.1, 11.6, 10.1, 287.0, 0.0, 1.2, 84.0,2022-08-27 00:00:00,35,
305.0, 81.0, 14.2, 0.2, 8.0, 21.0, 11.1, 7.1, 323.0, 0.0, 1.2, 91.0,2022-08-27 01:00:00,35,
308.0, 84.0, 14.1, 0.6, 7.5, 19.4, 10.1, 6.1, 302.0, 0.0, 1.2, 94.0,2022-08-27 02:00:00,35,
314.0, 91.0, None, 0.4, 5.7, 16.5, 7.1, 5.7, 305.0, 0.2, 1.4, 95.0,2022-08-27 03:00:00,35,
321.0, 94.0, 19.4, 0.0, 5.2, 17.0, 6.1, 5.4, 308.0, 0.6, 2.0, 93.0,2022-08-27 04:00:00,35,
325.0, 95.0, 16.5, 0.0, 5.0, 16.8, 5.7, 5.5, 314.0, 0.4, 2.4, 92.0,2022-08-27 05:00:00,35,
288.0, 93.0, None, 0.0, 4.4, 7.4, 5.4, 5.5, 321.0, 0.0, 2.4, 91.0,2022-08-27 06:00:00,35,
307.0, 92.0, 16.8, 0.0, 4.3, 15.7, 5.5, 6.2, 325.0, 0.0, 2.4, 81.0,2022-08-27 07:00:00,35,
309.0, 91.0, 7.4, 0.0, 4.1, 13.0, 5.5, 9.5, 288.0, 0.0, 2.4, 67.0,2022-08-27 08:00:00,35,
296.0, 81.0, 15.7, 0.0, 3.2, 13.0, 6.2, 10.8, 307.0, 0.0, 2.4, 66.0,2022-08-27 09:00:00,35,
260.0, 67.0, None, 0.0, 3.7, 8.7, 9.5, 11.6, 309.0, 0.0, 2.4, 66.0,2022-08-27 10:00:00,35,
295.0, 66.0, None, 0.6, 4.7, 11.2, 10.8, 9.9, 296.0, 0.0, 2.4, 78.0,2022-08-27 11:00:00,35,
290.0, 66.0, 8.7, 0.0, 5.5, 11.4, 11.6, 11.1, 260.0, 0.0, 2.4, 64.0,2022-08-27 12:00:00,35,
