station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -5.506, None, None, None, None, None, None, None, None, None, None, 2019-11-21 16:00:00, None, 6.575, None
None, -5.91, None, None, None, None, None, None, None, None, None, None, 2019-11-21 17:00:00, None, 6.592, None
None, -6.017, None, None, None, None, None, None, None, None, None, None, 2019-11-21 18:00:00, None, 6.679, None
None, -5.951, None, None, None, None, None, None, None, None, None, None, 2019-11-21 19:00:00, None, 6.585, None
None, -6.685, None, None, None, None, None, None, None, None, None, None, 2019-11-21 20:00:00, None, 6.523, None
None, -7.22, None, None, None, None, None, None, None, None, None, None, 2019-11-21 21:00:00, None, 6.526, None
None, -7.59, None, None, None, None, None, None, None, None, None, None, 2019-11-21 22:00:00, None, 6.506, None
None, -8.01, None, None, None, None, None, None, None, None, None, None, 2019-11-21 23:00:00, None, 6.494, None
None, -8.43, None, None, None, None, None, None, None, None, None, None, 2019-11-22 00:00:00, None, 6.504, None
None, -8.8, None, None, None, None, None, None, None, None, None, None, 2019-11-22 01:00:00, None, 6.564, None
None, -8.72, None, None, None, None, None, None, None, None, None, None, 2019-11-22 02:00:00, None, 6.55, None
None, -8.44, None, None, None, None, None, None, None, None, None, None, 2019-11-22 03:00:00, None, 6.55, None
None, -8.22, None, None, None, None, None, None, None, None, None, None, 2019-11-22 04:00:00, None, 6.542, None
None, -8.02, None, None, None, None, None, None, None, None, None, None, 2019-11-22 05:00:00, None, 6.494, None
None, -7.46, None, None, None, None, None, None, None, None, None, None, 2019-11-22 06:00:00, None, 6.552, None
None, -6.473, None, None, None, None, None, None, None, None, None, None, 2019-11-22 07:00:00, None, 6.562, None
None, -7.22, None, None, None, None, None, None, None, None, None, None, 2019-11-22 08:00:00, None, 6.534, None
None, -7.27, None, None, None, None, None, None, None, None, None, None, 2019-11-22 09:00:00, None, 6.536, None
None, -6.145, None, None, None, None, None, None, None, None, None, None, 2019-11-22 10:00:00, None, 6.556, None
None, -6.396, None, None, None, None, None, None, None, None, None, None, 2019-11-22 11:00:00, None, 6.525, None
None, -5.989, None, None, None, None, None, None, None, None, None, None, 2019-11-22 12:00:00, None, 6.493, None
None, -5.412, None, None, None, None, None, None, None, None, None, None, 2019-11-22 13:00:00, None, 6.434, None
None, -4.771, None, None, None, None, None, None, None, None, None, None, 2019-11-22 14:00:00, None, 6.574, None
None, -4.864, None, None, None, None, None, None, None, None, None, None, 2019-11-22 15:00:00, None, 6.525, None
None, -4.923, None, None, None, None, None, None, None, None, None, None, 2019-11-22 16:00:00, None, 6.552, None
None, -5.546, None, None, None, None, None, None, None, None, None, None, 2019-11-22 17:00:00, None, 6.549, None
None, -5.882, None, None, None, None, None, None, None, None, None, None, 2019-11-22 18:00:00, None, 6.52, None
None, -5.922, None, None, None, None, None, None, None, None, None, None, 2019-11-22 19:00:00, None, 6.465, None
None, -5.864, None, None, None, None, None, None, None, None, None, None, 2019-11-22 20:00:00, None, 6.506, None
None, -5.489, None, None, None, None, None, None, None, None, None, None, 2019-11-22 21:00:00, None, 6.53, None
None, -5.336, None, None, None, None, None, None, None, None, None, None, 2019-11-22 22:00:00, None, 6.577, None
None, -5.029, None, None, None, None, None, None, None, None, None, None, 2019-11-22 23:00:00, None, 6.584, None
None, -5.115, None, None, None, None, None, None, None, None, None, None, 2019-11-23 00:00:00, None, 6.506, None
None, -5.029, None, None, None, None, None, None, None, None, None, None, 2019-11-23 01:00:00, None, 6.475, None
None, -4.562, None, None, None, None, None, None, None, None, None, None, 2019-11-23 02:00:00, None, 6.525, None
