station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
None, None, None, None, 8.75, 10.24, None, None, None, None, None, None, None, None, None, 103.0, None, 1.289, None, None, None, None, 20.81, None, None, None, None, None, 2019-01-01 00:00:00, None
None, None, None, None, 7.65, 59.29, None, None, None, None, None, None, None, None, None, 101.9, None, 1.044, None, None, None, None, 18.09, None, None, None, None, None, 2019-01-01 01:00:00, None
None, None, None, None, 3.513, 105.8, None, None, None, None, None, None, None, None, None, 101.5, None, 0.827, None, None, None, None, 40.99, None, None, None, None, None, 2019-01-01 02:00:00, None
None, None, None, None, 4.812, 96.3, None, None, None, None, None, None, None, None, None, 101.1, None, 0.902, None, None, None, None, 32.62, None, None, None, None, None, 2019-01-01 03:00:00, None
None, None, None, None, 3.951, 109.2, None, None, None, None, None, None, None, None, None, 100.7, None, 1.016, None, None, None, None, 37.84, None, None, None, None, None, 2019-01-01 04:00:00, None
None, None, None, None, 9.83, 68.55, None, None, None, None, None, None, None, None, None, 100.1, None, 0.997, None, None, None, None, 9.99, None, None, None, None, None, 2019-01-01 05:00:00, None
None, None, None, None, 7.89, 68.79, None, None, None, None, None, None, None, None, None, 99.4, None, 1.685, None, None, None, None, 12.17, None, None, None, None, None, 2019-01-01 06:00:00, None
None, None, None, None, 7.83, 60.44, None, None, None, None, None, None, None, None, None, 99.1, None, 2.563, None, None, None, None, 16.61, None, None, None, None, None, 2019-01-01 07:00:00, None
None, None, None, None, 3.831, 37.08, None, None, None, None, None, None, None, None, None, 98.4, None, 3.669, None, None, None, None, 36.29, None, None, None, None, None, 2019-01-01 08:00:00, None
None, None, None, None, 1.884, 20.4, None, None, None, None, None, None, None, None, None, 97.0, None, 3.414, None, None, None, None, 60.26, None, None, None, None, None, 2019-01-01 09:00:00, None
None, None, None, None, 0.469, 76.0, None, None, None, None, None, None, None, None, None, 96.5, None, 3.026, None, None, None, None, 76.1, None, None, None, None, None, 2019-01-01 10:00:00, None
None, None, None, None, 2.419, 44.71, None, None, None, None, None, None, None, None, None, 96.3, None, 3.461, None, None, None, None, 54.95, None, None, None, None, None, 2019-01-01 11:00:00, None
None, None, None, None, 5.86, 144.4, None, None, None, None, None, None, None, None, None, 94.8, None, 4.447, None, None, None, None, 37.16, None, None, None, None, None, 2019-01-01 12:00:00, None
None, None, None, None, 13.7, 210.6, None, None, None, None, None, None, None, None, None, 93.4, None, 5.121, None, None, None, None, 22.05, None, None, None, None, None, 2019-01-01 13:00:00, None
None, None, None, None, 16.97, 215.9, None, None, None, None, None, None, None, None, None, 92.1, None, 4.845, None, None, None, None, 20.67, None, None, None, None, None, 2019-01-01 14:00:00, None
None, None, None, None, 15.46, 210.7, None, None, None, None, None, None, None, None, None, 90.9, None, 4.959, None, None, None, None, 24.26, None, None, None, None, None, 2019-01-01 15:00:00, None
None, None, None, None, 24.38, 190.9, None, None, None, None, None, None, None, None, None, 89.4, None, 5.846, None, None, None, None, 22.44, None, None, None, None, None, 2019-01-01 16:00:00, None
None, None, None, None, 16.88, 229.4, None, None, None, None, None, None, None, None, None, 88.5, None, 4.931, None, None, None, None, 33.81, None, None, None, None, None, 2019-01-01 17:00:00, None
None, None, None, None, 16.81, 231.0, None, None, None, None, None, None, None, None, None, 88.3, None, 6.265, None, None, None, None, 31.6, None, None, None, None, None, 2019-01-01 18:00:00, None
None, None, None, None, 15.23, 258.6, None, None, None, None, None, None, None, None, None, 87.1, None, 4.001, None, None, None, None, 30.25, None, None, None, None, None, 2019-01-01 19:00:00, None
None, None, None, None, 31.21, 244.0, None, None, None, None, None, None, None, None, None, 86.1, None, 3.631, None, None, None, None, 27.37, None, None, None, None, None, 2019-01-01 20:00:00, None
None, None, None, None, 42.85, 228.7, None, None, None, None, None, None, None, None, None, 83.9, None, 3.063, None, None, None, None, 24.09, None, None, None, None, None, 2019-01-01 21:00:00, None
None, None, None, None, 14.88, 229.7, None, None, None, None, None, None, None, None, None, 82.3, None, 2.572, None, None, None, None, 34.26, None, None, None, None, None, 2019-01-01 22:00:00, None
None, None, None, None, 13.7, 273.8, None, None, None, None, None, None, None, None, None, 82.0, None, 2.176, None, None, None, None, 25.34, None, None, None, None, None, 2019-01-01 23:00:00, None
None, None, None, None, 11.51, 270.4, None, None, None, None, None, None, None, None, None, 82.3, None, 1.516, None, None, None, None, 23.19, None, None, None, None, None, 2019-01-02 00:00:00, None
None, None, None, None, 9.17, 252.6, None, None, None, None, None, None, None, None, None, 81.7, None, 1.442, None, None, None, None, 30.05, None, None, None, None, None, 2019-01-02 01:00:00, None
None, None, None, None, 10.16, 218.0, None, None, None, None, None, None, None, None, None, 79.7, None, 1.798, None, None, None, None, 29.63, None, None, None, None, None, 2019-01-02 02:00:00, None
None, None, None, None, 14.25, 271.0, None, None, None, None, None, None, None, None, None, 79.3, None, 1.639, None, None, None, None, 26.22, None, None, None, None, None, 2019-01-02 03:00:00, None
None, None, None, None, 12.09, 265.3, None, None, None, None, None, None, None, None, None, 80.2, None, 1.185, None, None, None, None, 26.09, None, None, None, None, None, 2019-01-02 04:00:00, None
None, None, None, None, 16.09, 274.0, None, None, None, None, None, None, None, None, None, 79.9, None, 0.923, None, None, None, None, 25.98, None, None, None, None, None, 2019-01-02 05:00:00, None
