station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, -2.771, 90.5, None, None, None, None, None, -4.0, None, None, 2019-11-21 16:00:00, None, None
None, -3.222, 91.3, None, None, None, None, None, -5.0, None, None, 2019-11-21 17:00:00, None, None
None, -3.898, 93.0, None, None, None, None, None, -5.0, None, None, 2019-11-21 18:00:00, None, None
None, -4.158, 94.0, None, None, None, None, None, -5.0, None, None, 2019-11-21 19:00:00, None, None
None, -4.49, 94.4, None, None, None, None, None, -5.0, None, None, 2019-11-21 20:00:00, None, None
None, -4.77, 94.9, None, None, None, None, None, -5.0, None, None, 2019-11-21 21:00:00, None, None
None, -4.593, 94.3, None, None, None, None, None, -5.0, None, None, 2019-11-21 22:00:00, None, None
None, -5.201, 94.8, None, None, None, None, None, -6.0, None, None, 2019-11-21 23:00:00, None, None
None, -4.976, 94.5, None, None, None, None, None, -5.0, None, None, 2019-11-22 00:00:00, None, None
None, -4.059, 95.1, None, None, None, None, None, -5.0, None, None, 2019-11-22 01:00:00, None, None
None, -4.379, 94.3, None, None, None, None, None, -5.0, None, None, 2019-11-22 02:00:00, None, None
None, -5.158, 93.8, None, None, None, None, None, -6.0, None, None, 2019-11-22 03:00:00, None, None
None, -4.743, 93.2, None, None, None, None, None, -6.0, None, None, 2019-11-22 04:00:00, None, None
None, -4.632, 94.1, None, None, None, None, None, -5.0, None, None, 2019-11-22 05:00:00, None, None
None, -5.284, 93.3, None, None, None, None, None, -6.0, None, None, 2019-11-22 06:00:00, None, None
None, -5.699, 92.8, None, None, None, None, None, -6.0, None, None, 2019-11-22 07:00:00, None, None
None, -5.6, 92.5, None, None, None, None, None, -7.0, None, None, 2019-11-22 08:00:00, None, None
None, -5.62, 91.7, None, None, None, None, None, -7.0, None, None, 2019-11-22 09:00:00, None, None
None, -4.631, 90.3, None, None, None, None, None, -6.0, None, None, 2019-11-22 10:00:00, None, None
None, -3.795, 89.6, None, None, None, None, None, -5.0, None, None, 2019-11-22 11:00:00, None, None
None, -3.81, 91.9, None, None, None, None, None, -5.0, None, None, 2019-11-22 12:00:00, None, None
None, -3.743, 92.7, None, None, None, None, None, -5.0, None, None, 2019-11-22 13:00:00, None, None
None, -3.28, 93.4, None, None, None, None, None, -4.0, None, None, 2019-11-22 14:00:00, None, None
None, -2.905, 93.6, None, None, None, None, None, -4.0, None, None, 2019-11-22 15:00:00, None, None
None, -1.729, 91.9, None, None, None, None, None, -3.0, None, None, 2019-11-22 16:00:00, None, None
None, -1.443, 89.0, None, None, None, None, None, -3.0, None, None, 2019-11-22 17:00:00, None, None
None, -2.436, 91.8, None, None, None, None, None, -3.0, None, None, 2019-11-22 18:00:00, None, None
None, -2.48, 92.2, None, None, None, None, None, -4.0, None, None, 2019-11-22 19:00:00, None, None
None, -2.313, 91.6, None, None, None, None, None, -3.0, None, None, 2019-11-22 20:00:00, None, None
None, -1.433, 89.8, None, None, None, None, None, -3.0, None, None, 2019-11-22 21:00:00, None, None
None, -0.228, 85.0, None, None, None, None, None, -2.0, None, None, 2019-11-22 22:00:00, None, None
None, 0.72, 78.19, None, None, None, None, None, -2.0, None, None, 2019-11-22 23:00:00, None, None
None, 0.645, 79.56, None, None, None, None, None, -3.0, None, None, 2019-11-23 00:00:00, None, None
None, 0.215, 84.6, None, None, None, None, None, -2.0, None, None, 2019-11-23 01:00:00, None, None
None, 1.052, 79.13, None, None, None, None, None, -2.0, None, None, 2019-11-23 02:00:00, None, None
None, 1.309, 78.38, None, None, None, None, None, -2.0, None, None, 2019-11-23 03:00:00, None, None
None, 0.697, 84.7, None, None, None, None, None, -2.0, None, None, 2019-11-23 04:00:00, None, None
None, 0.669, 84.6, None, None, None, None, None, -2.0, None, None, 2019-11-23 05:00:00, None, None
None, 1.084, 81.0, None, None, None, None, None, -2.0, None, None, 2019-11-23 06:00:00, None, None
None, 1.013, 81.3, None, None, None, None, None, -2.0, None, None, 2019-11-23 07:00:00, None, None
None, 1.014, 82.0, None, None, None, None, None, -1.0, None, None, 2019-11-23 08:00:00, None, None
None, 1.068, 83.9, None, None, None, None, None, -1.0, None, None, 2019-11-23 09:00:00, None, None
None, 1.368, 84.3, None, None, None, None, None, -1.0, None, None, 2019-11-23 10:00:00, None, None
None, 1.617, 81.7, None, None, None, None, None, -1.0, None, None, 2019-11-23 11:00:00, None, None
None, 1.811, 79.63, None, None, None, None, None, -1.0, None, None, 2019-11-23 12:00:00, None, None
None, 2.631, 74.24, None, None, None, None, None, -2.0, None, None, 2019-11-23 13:00:00, None, None
None, 2.783, 73.19, None, None, None, None, None, -2.0, None, None, 2019-11-23 14:00:00, None, None
None, 2.676, 74.2, None, None, None, None, None, -2.0, None, None, 2019-11-23 15:00:00, None, None
None, 1.738, 78.48, None, None, None, None, None, -1.0, None, None, 2019-11-23 16:00:00, None, None
None, 1.779, 78.95, None, None, None, None, None, -1.0, None, None, 2019-11-23 17:00:00, None, None
None, 1.598, 79.59, None, None, None, None, None, -1.0, None, None, 2019-11-23 18:00:00, None, None
None, 1.379, 81.1, None, None, None, None, None, -1.0, None, None, 2019-11-23 19:00:00, None, None
None, 1.469, 81.0, None, None, None, None, None, -1.0, None, None, 2019-11-23 20:00:00, None, None
None, 1.498, 81.1, None, None, None, None, None, -2.0, None, None, 2019-11-23 21:00:00, None, None
None, 1.703, 79.76, None, None, None, None, None, -1.0, None, None, 2019-11-23 22:00:00, None, None
None, 1.86, 78.43, None, None, None, None, None, -1.0, None, None, 2019-11-23 23:00:00, None, None
None, 1.918, 79.05, None, None, None, None, None, -1.0, None, None, 2019-11-24 00:00:00, None, None
None, 1.595, 85.0, None, None, None, None, None, 0.0, None, None, 2019-11-24 01:00:00, None, None
None, 1.589, 85.6, None, None, None, None, None, -1.0, None, None, 2019-11-24 02:00:00, None, None
None, 1.186, 86.8, None, None, None, None, None, -1.0, None, None, 2019-11-24 03:00:00, None, None
None, 1.01, 87.9, None, None, None, None, None, -1.0, None, None, 2019-11-24 04:00:00, None, None
None, -0.209, 91.6, None, None, None, None, None, -1.0, None, None, 2019-11-24 05:00:00, None, None
None, -0.971, 93.1, None, None, None, None, None, -2.0, None, None, 2019-11-24 06:00:00, None, None
None, -1.603, 94.7, None, None, None, None, None, -2.0, None, None, 2019-11-24 07:00:00, None, None
None, -1.172, 96.2, None, None, None, None, None, -2.0, None, None, 2019-11-24 10:00:00, None, None
None, 6.443, 53.92, None, None, None, None, None, -2.0, None, None, 2019-11-24 11:00:00, None, None
None, 7.828, 43.07, None, None, None, None, None, -4.0, None, None, 2019-11-24 12:00:00, None, None
None, 7.859, 41.54, None, None, None, None, None, -5.0, None, None, 2019-11-24 13:00:00, None, None
None, 7.787, 42.45, None, None, None, None, None, -4.0, None, None, 2019-11-24 14:00:00, None, None
None, 7.416, 44.86, None, None, None, None, None, -4.0, None, None, 2019-11-24 15:00:00, None, None
None, 6.76, 47.14, None, None, None, None, None, -4.0, None, None, 2019-11-24 16:00:00, None, None
None, 4.323, 61.4, None, None, None, None, None, -2.0, None, None, 2019-11-24 17:00:00, None, None
None, 5.362, 52.8, None, None, None, None, None, -4.0, None, None, 2019-11-24 18:00:00, None, None
None, 2.83, 68.9, None, None, None, None, None, -2.0, None, None, 2019-11-24 19:00:00, None, None
None, 1.602, 74.62, None, None, None, None, None, -2.0, None, None, 2019-11-24 20:00:00, None, None
None, 1.36, 72.56, None, None, None, None, None, -3.0, None, None, 2019-11-24 21:00:00, None, None
None, 1.597, 73.69, None, None, None, None, None, -2.0, None, None, 2019-11-24 22:00:00, None, None
None, 1.009, 76.55, None, None, None, None, None, -3.0, None, None, 2019-11-24 23:00:00, None, None
None, 0.429, 81.1, None, None, None, None, None, -3.0, None, None, 2019-11-25 00:00:00, None, None
None, 0.969, 77.14, None, None, None, None, None, -3.0, None, None, 2019-11-25 01:00:00, None, None
None, -0.062, 83.4, None, None, None, None, None, -3.0, None, None, 2019-11-25 02:00:00, None, None
None, 0.017, 80.9, None, None, None, None, None, -3.0, None, None, 2019-11-25 03:00:00, None, None
None, -0.951, 85.1, None, None, None, None, None, -3.0, None, None, 2019-11-25 04:00:00, None, None
None, -0.671, 84.6, None, None, None, None, None, -3.0, None, None, 2019-11-25 05:00:00, None, None
None, -0.315, 81.7, None, None, None, None, None, -3.0, None, None, 2019-11-25 06:00:00, None, None
None, -0.505, 83.8, None, None, None, None, None, -3.0, None, None, 2019-11-25 07:00:00, None, None
None, -0.92, 85.9, None, None, None, None, None, -3.0, None, None, 2019-11-25 08:00:00, None, None
None, -0.343, 83.7, None, None, None, None, None, -2.0, None, None, 2019-11-25 09:00:00, None, None
None, 0.049, 82.9, None, None, None, None, None, -2.0, None, None, 2019-11-25 10:00:00, None, None
None, -0.189, 85.0, None, None, None, None, None, -2.0, None, None, 2019-11-25 11:00:00, None, None
None, 1.629, 79.53, None, None, None, None, None, -1.0, None, None, 2019-11-25 12:00:00, None, None
None, 2.587, 71.21, None, None, None, None, None, -2.0, None, None, 2019-11-25 13:00:00, None, None
None, 2.999, 69.49, None, None, None, None, None, -2.0, None, None, 2019-11-25 14:00:00, None, None
None, 1.139, 73.43, None, None, None, None, None, -3.0, None, None, 2019-11-25 15:00:00, None, None
None, -0.659, 81.8, None, None, None, None, None, -3.0, None, None, 2019-11-25 16:00:00, None, None
None, -0.441, 81.0, None, None, None, None, None, -3.0, None, None, 2019-11-25 17:00:00, None, None
None, 0.432, 89.1, None, None, None, None, None, -1.0, None, None, 2019-11-25 18:00:00, None, None
None, -0.382, 91.1, None, None, None, None, None, -2.0, None, None, 2019-11-25 19:00:00, None, None
None, -1.212, 91.9, None, None, None, None, None, -2.0, None, None, 2019-11-25 20:00:00, None, None
None, -1.627, 93.0, None, None, None, None, None, -3.0, None, None, 2019-11-25 21:00:00, None, None
None, -2.532, 89.3, None, None, None, None, None, -4.0, None, None, 2019-11-25 22:00:00, None, None
None, -2.819, 87.3, None, None, None, None, None, -4.0, None, None, 2019-11-25 23:00:00, None, None
None, -2.55, 91.5, None, None, None, None, None, -4.0, None, None, 2019-11-26 00:00:00, None, None
None, -2.108, 90.5, None, None, None, None, None, -3.0, None, None, 2019-11-26 01:00:00, None, None
None, -2.132, 72.74, None, None, None, None, None, -6.0, None, None, 2019-11-26 02:00:00, None, None
None, -2.307, 64.68, None, None, None, None, None, -7.0, None, None, 2019-11-26 03:00:00, None, None
None, -2.597, 62.79, None, None, None, None, None, -8.0, None, None, 2019-11-26 04:00:00, None, None
None, -2.67, 64.3, None, None, None, None, None, -8.0, None, None, 2019-11-26 05:00:00, None, None
None, -3.077, 64.91, None, None, None, None, None, -8.0, None, None, 2019-11-26 06:00:00, None, None
None, -3.628, 63.12, None, None, None, None, None, -9.0, None, None, 2019-11-26 07:00:00, None, None
None, -4.148, 64.56, None, None, None, None, None, -9.0, None, None, 2019-11-26 08:00:00, None, None
None, -3.997, 63.05, None, None, None, None, None, -9.0, None, None, 2019-11-26 09:00:00, None, None
None, -3.255, 62.75, None, None, None, None, None, -9.0, None, None, 2019-11-26 10:00:00, None, None
None, -2.848, 69.46, None, None, None, None, None, -7.0, None, None, 2019-11-26 11:00:00, None, None
