station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 0.842, 89.8, None, None, None, None, None, None, None, None, 140.5, None, None, -11.18, None, None, None, 36.49, None, None, None, None, None, 2019-01-01 00:00:00, None
None, None, None, None, 1.398, 77.22, None, None, None, None, None, None, None, None, 141.9, None, None, -11.26, None, None, None, 38.08, None, None, None, None, None, 2019-01-01 02:00:00, None
None, None, None, None, 1.66, 70.39, None, None, None, None, None, None, None, None, 141.5, None, None, -11.29, None, None, None, 33.0, None, None, None, None, None, 2019-01-01 03:00:00, None
None, None, None, None, 2.008, 76.24, None, None, None, None, None, None, None, None, 141.8, None, None, -11.27, None, None, None, 30.75, None, None, None, None, None, 2019-01-01 04:00:00, None
None, None, None, None, 2.356, 75.48, None, None, None, None, None, None, None, None, 140.2, None, None, -11.3, None, None, None, 30.5, None, None, None, None, None, 2019-01-01 05:00:00, None
None, None, None, None, 2.368, 75.29, None, None, None, None, None, None, None, None, 141.8, None, None, -11.33, None, None, None, 28.61, None, None, None, None, None, 2019-01-01 06:00:00, None
None, None, None, None, 2.071, 78.44, None, None, None, None, None, None, None, None, 141.9, None, None, -11.41, None, None, None, 28.05, None, None, None, None, None, 2019-01-01 07:00:00, None
None, None, None, None, 1.907, 74.14, None, None, None, None, None, None, None, None, 141.9, None, None, -11.22, None, None, None, 26.23, None, None, None, None, None, 2019-01-01 08:00:00, None
None, None, None, None, 0.808, 104.1, None, None, None, None, None, None, None, None, 141.4, None, None, -9.68, None, None, None, 30.56, None, None, None, None, None, 2019-01-01 11:00:00, None
None, None, None, None, 0.883, 86.7, None, None, None, None, None, None, None, None, 141.2, None, None, -9.58, None, None, None, 37.43, None, None, None, None, None, 2019-01-01 12:00:00, None
None, None, None, None, 1.311, 77.82, None, None, None, None, None, None, None, None, 141.1, None, None, -9.62, None, None, None, 41.0, None, None, None, None, None, 2019-01-01 13:00:00, None
None, None, None, None, 1.065, 97.6, None, None, None, None, None, None, None, None, 141.1, None, None, -9.74, None, None, None, 26.03, None, None, None, None, None, 2019-01-01 15:00:00, None
