station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 3.612, 96.1, None, None, None, None, None, None, None, None, None, None, None, -5.093, None, None, None, None, 15.53, None, None, None, None, 2019-01-01 00:00:00, None
None, None, None, None, 4.767, 94.8, None, None, None, None, None, None, None, None, None, None, None, -4.734, None, None, None, None, 20.0, None, None, None, None, 2019-01-01 01:00:00, None
None, None, None, None, 6.27, 95.4, None, None, None, None, None, None, None, None, None, None, None, -4.085, None, None, None, None, 21.97, None, None, None, None, 2019-01-01 02:00:00, None
None, None, None, None, 6.913, 94.6, None, None, None, None, None, None, None, None, None, None, None, -4.366, None, None, None, None, 19.37, None, None, None, None, 2019-01-01 03:00:00, None
None, None, None, None, 5.993, 98.4, None, None, None, None, None, None, None, None, None, None, None, -4.125, None, None, None, None, 18.57, None, None, None, None, 2019-01-01 04:00:00, None
None, None, None, None, 5.34, 96.9, None, None, None, None, None, None, None, None, None, None, None, -4.502, None, None, None, None, 16.84, None, None, None, None, 2019-01-01 05:00:00, None
None, None, None, None, 6.878, 100.4, None, None, None, None, None, None, None, None, None, None, None, -4.299, None, None, None, None, 14.63, None, None, None, None, 2019-01-01 06:00:00, None
None, None, None, None, 6.099, 87.0, None, None, None, None, None, None, None, None, None, None, None, -3.768, None, None, None, None, 22.43, None, None, None, None, 2019-01-01 07:00:00, None
None, None, None, None, 4.899, 102.8, None, None, None, None, None, None, None, None, None, None, None, -4.541, None, None, None, None, 14.76, None, None, None, None, 2019-01-01 08:00:00, None
None, None, None, None, 5.36, 93.7, None, None, None, None, None, None, None, None, None, None, None, -3.932, None, None, None, None, 15.0, None, None, None, None, 2019-01-01 09:00:00, None
None, None, None, None, 6.743, 98.6, None, None, None, None, None, None, None, None, None, None, None, -4.27, None, None, None, None, 18.35, None, None, None, None, 2019-01-01 10:00:00, None
None, None, None, None, 6.001, 94.2, None, None, None, None, None, None, None, None, None, None, None, -3.71, None, None, None, None, 21.26, None, None, None, None, 2019-01-01 11:00:00, None
None, None, None, None, 4.566, 99.3, None, None, None, None, None, None, None, None, None, None, None, -3.296, None, None, None, None, 21.23, None, None, None, None, 2019-01-01 12:00:00, None
None, None, None, None, 6.05, 95.4, None, None, None, None, None, None, None, None, None, None, None, -3.624, None, None, None, None, 20.72, None, None, None, None, 2019-01-01 13:00:00, None
None, None, None, None, 5.701, 88.8, None, None, None, None, None, None, None, None, None, None, None, -3.326, None, None, None, None, 24.95, None, None, None, None, 2019-01-01 14:00:00, None
None, None, None, None, 5.404, 94.2, None, None, None, None, None, None, None, None, None, None, None, -2.289, None, None, None, None, 23.11, None, None, None, None, 2019-01-01 15:00:00, None
None, None, None, None, 4.037, 94.6, None, None, None, None, None, None, None, None, None, None, None, -1.314, None, None, None, None, 26.72, None, None, None, None, 2019-01-01 16:00:00, None
None, None, None, None, 1.822, 78.4, None, None, None, None, None, None, None, None, None, None, None, -0.884, None, None, None, None, 43.94, None, None, None, None, 2019-01-01 17:00:00, None
None, None, None, None, 0.748, 26.96, None, None, None, None, None, None, None, None, None, None, None, -0.589, None, None, None, None, 64.44, None, None, None, None, 2019-01-01 18:00:00, None
None, None, None, None, 0.945, 347.1, None, None, None, None, None, None, None, None, None, None, None, -0.265, None, None, None, None, 62.68, None, None, None, None, 2019-01-01 19:00:00, None
None, None, None, None, 3.798, 77.2, None, None, None, None, None, None, None, None, None, None, None, 0.117, None, None, None, None, 36.33, None, None, None, None, 2019-01-01 20:00:00, None
None, None, None, None, 1.639, 66.59, None, None, None, None, None, None, None, None, None, None, None, 0.095, None, None, None, None, 50.62, None, None, None, None, 2019-01-01 21:00:00, None
None, None, None, None, 1.007, 84.0, None, None, None, None, None, None, None, None, None, None, None, -0.199, None, None, None, None, 53.52, None, None, None, None, 2019-01-01 22:00:00, None
None, None, None, None, 1.261, 271.5, None, None, None, None, None, None, None, None, None, None, None, -0.132, None, None, None, None, 54.5, None, None, None, None, 2019-01-01 23:00:00, None
None, None, None, None, 0.674, 56.87, None, None, None, None, None, None, None, None, None, None, None, -0.294, None, None, None, None, 58.37, None, None, None, None, 2019-01-02 00:00:00, None
None, None, None, None, 0.255, 78.4, None, None, None, None, None, None, None, None, None, None, None, -0.293, None, None, None, None, 26.23, None, None, None, None, 2019-01-02 01:00:00, None
None, None, None, None, 0.129, 13.01, None, None, None, None, None, None, None, None, None, None, None, -0.294, None, None, None, None, 62.01, None, None, None, None, 2019-01-02 02:00:00, None
None, None, None, None, 0.14, 73.0, None, None, None, None, None, None, None, None, None, None, None, -0.265, None, None, None, None, 58.55, None, None, None, None, 2019-01-02 03:00:00, None
None, None, None, None, 2.365, 302.4, None, None, None, None, None, None, None, None, None, None, None, 1.089, None, None, None, None, 26.1, None, None, None, None, 2019-01-02 04:00:00, None
None, None, None, None, 7.36, 279.3, None, None, None, None, None, None, None, None, None, None, None, 1.166, None, None, None, None, 36.76, None, None, None, None, 2019-01-02 05:00:00, None
None, None, None, None, 11.82, 308.0, None, None, None, None, None, None, None, None, None, None, None, 1.395, None, None, None, None, 24.38, None, None, None, None, 2019-01-02 06:00:00, None
None, None, None, None, 12.62, 315.8, None, None, None, None, None, None, None, None, None, None, None, 1.195, None, None, None, None, 22.35, None, None, None, None, 2019-01-02 07:00:00, None
None, None, None, None, 11.78, 319.3, None, None, None, None, None, None, None, None, None, None, None, 1.232, None, None, None, None, 21.87, None, None, None, None, 2019-01-02 08:00:00, None
