station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, stn_pres
None, 0.075, 84.2, None, None, 8.26, 5.953, 166.6, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 16:00:00, None, None
None, -0.304, 84.6, None, None, 8.45, 7.528, 164.1, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 17:00:00, None, None
None, -0.846, 87.9, None, None, 11.51, 4.971, 156.8, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 18:00:00, None, None
None, -1.068, 90.2, None, None, 11.37, 4.594, 159.9, None, None, None, None, None, None, -3.0, 959.0, None, None, None, 2019-11-21 19:00:00, None, None
None, -1.115, 91.0, None, None, 11.62, 3.325, 154.8, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 20:00:00, None, None
None, -0.357, 91.8, None, None, 13.16, 3.551, 162.3, None, None, None, None, None, None, -1.0, 960.0, None, None, None, 2019-11-21 21:00:00, None, None
None, -0.942, 92.9, None, None, 16.53, 2.973, 159.5, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 22:00:00, None, None
None, -1.182, 94.7, None, None, 12.82, 3.712, 167.4, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-21 23:00:00, None, None
None, -1.388, 94.2, None, None, 21.52, 3.345, 167.0, None, None, None, None, None, None, -2.0, 960.0, None, None, None, 2019-11-22 00:00:00, None, None
None, -1.293, 94.3, None, None, 31.71, 2.649, 156.0, None, None, None, None, None, None, -2.0, 961.0, None, None, None, 2019-11-22 01:00:00, None, None
None, -0.704, 94.5, None, None, 42.87, 2.691, 165.6, None, None, None, None, None, None, -2.0, 961.0, None, None, None, 2019-11-22 02:00:00, None, None
None, -1.558, 94.0, None, None, 50.28, 2.465, 170.4, None, None, None, None, None, None, -2.0, 962.0, None, None, None, 2019-11-22 03:00:00, None, None
None, -1.246, 92.8, None, None, 26.68, 3.297, 163.7, None, None, None, None, None, None, -2.0, 962.0, None, None, None, 2019-11-22 04:00:00, None, None
None, -1.712, 94.2, None, None, 17.2, 2.991, 152.1, None, None, None, None, None, None, -2.0, 963.0, None, None, None, 2019-11-22 05:00:00, None, None
None, -1.226, 92.2, None, None, 20.38, 3.124, 160.2, None, None, None, None, None, None, -2.0, 963.0, None, None, None, 2019-11-22 06:00:00, None, None
None, -1.495, 91.1, None, None, 15.32, 4.251, 163.9, None, None, None, None, None, None, -3.0, 964.0, None, None, None, 2019-11-22 07:00:00, None, None
None, -0.787, 89.4, None, None, 13.86, 4.977, 167.1, None, None, None, None, None, None, -2.0, 964.0, None, None, None, 2019-11-22 08:00:00, None, None
None, -0.15, 86.6, None, None, 16.94, 5.122, 172.0, None, None, None, None, None, None, -2.0, 965.0, None, None, None, 2019-11-22 09:00:00, None, None
None, 0.411, 87.3, None, None, 66.28, 1.898, 120.1, None, None, None, None, None, None, -1.0, 965.0, None, None, None, 2019-11-22 10:00:00, None, None
None, 0.802, 86.4, None, None, 53.95, 1.028, 40.52, None, None, None, None, None, None, -1.0, 966.0, None, None, None, 2019-11-22 11:00:00, None, None
None, 0.908, 85.0, None, None, 61.31, 0.957, 331.3, None, None, None, None, None, None, -1.0, 965.0, None, None, None, 2019-11-22 12:00:00, None, None
None, 0.87, 84.3, None, None, 70.26, 1.008, 26.1, None, None, None, None, None, None, -2.0, 965.0, None, None, None, 2019-11-22 13:00:00, None, None
None, 0.894, 85.5, None, None, 76.39, 1.144, 184.4, None, None, None, None, None, None, -1.0, 964.0, None, None, None, 2019-11-22 14:00:00, None, None
None, 0.539, 88.2, None, None, 51.39, 1.66, 199.0, None, None, None, None, None, None, -1.0, 965.0, None, None, None, 2019-11-22 15:00:00, None, None
None, 0.242, 90.1, None, None, 30.01, 2.288, 179.7, None, None, None, None, None, None, -1.0, 964.0, None, None, None, 2019-11-22 16:00:00, None, None
None, 0.142, 90.8, None, None, 15.85, 3.5, 168.7, None, None, None, None, None, None, -1.0, 964.0, None, None, None, 2019-11-22 17:00:00, None, None
None, -0.277, 91.5, None, None, 11.74, 3.291, 163.9, None, None, None, None, None, None, -2.0, 964.0, None, None, None, 2019-11-22 18:00:00, None, None
None, -0.617, 92.5, None, None, 16.67, 2.57, 155.6, None, None, None, None, None, None, -1.0, 963.0, None, None, None, 2019-11-22 19:00:00, None, None
None, 0.083, 93.1, None, None, 44.49, 1.138, 159.8, None, None, None, None, None, None, -1.0, 964.0, None, None, None, 2019-11-22 20:00:00, None, None
None, 0.245, 93.0, None, None, 30.0, 1.348, 173.9, None, None, None, None, None, None, -1.0, 963.0, None, None, None, 2019-11-22 21:00:00, None, None
None, 0.214, 92.6, None, None, 44.94, 1.826, 155.7, None, None, None, None, None, None, -1.0, 963.0, None, None, None, 2019-11-22 22:00:00, None, None
None, 0.799, 90.3, None, None, 36.9, 2.456, 159.6, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-22 23:00:00, None, None
None, 1.086, 91.4, None, None, 31.14, 3.004, 171.2, None, None, None, None, None, None, 0.0, 964.0, None, None, None, 2019-11-23 00:00:00, None, None
None, 1.115, 91.9, None, None, 23.58, 3.653, 176.4, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-23 01:00:00, None, None
None, 1.109, 91.0, None, None, 23.77, 3.5, 169.8, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-23 02:00:00, None, None
None, 0.862, 93.4, None, None, 27.26, 3.901, 169.6, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-23 03:00:00, None, None
None, 0.705, 92.5, None, None, 17.64, 4.391, 164.3, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-23 04:00:00, None, None
None, 0.617, 92.5, None, None, 16.77, 3.9, 156.0, None, None, None, None, None, None, -1.0, 963.0, None, None, None, 2019-11-23 05:00:00, None, None
None, 0.826, 93.5, None, None, 24.82, 3.158, 155.7, None, None, None, None, None, None, 0.0, 962.0, None, None, None, 2019-11-23 06:00:00, None, None
None, 1.062, 92.2, None, None, 33.19, 2.813, 159.8, None, None, None, None, None, None, 0.0, 962.0, None, None, None, 2019-11-23 07:00:00, None, None
None, 1.398, 91.4, None, None, 28.27, 3.023, 161.2, None, None, None, None, None, None, 0.0, 963.0, None, None, None, 2019-11-23 08:00:00, None, None
None, 1.761, 90.1, None, None, 35.85, 1.987, 159.4, None, None, None, None, None, None, 1.0, 963.0, None, None, None, 2019-11-23 09:00:00, None, None
None, 2.189, 90.1, None, None, 35.01, 1.416, 167.4, None, None, None, None, None, None, 1.0, 962.0, None, None, None, 2019-11-23 10:00:00, None, None
None, 2.832, 87.4, None, None, 37.16, 1.055, 168.8, None, None, None, None, None, None, 1.0, 962.0, None, None, None, 2019-11-23 11:00:00, None, None
None, 3.38, 84.3, None, None, 56.61, 1.012, 180.1, None, None, None, None, None, None, 1.0, 961.0, None, None, None, 2019-11-23 12:00:00, None, None
None, 2.91, 87.5, None, None, 41.51, 0.805, 164.5, None, None, None, None, None, None, 1.0, 960.0, None, None, None, 2019-11-23 13:00:00, None, None
None, 3.333, 83.4, None, None, 44.79, 1.981, 178.0, None, None, None, None, None, None, 1.0, 959.0, None, None, None, 2019-11-23 14:00:00, None, None
None, 1.807, 93.4, None, None, 25.51, 3.717, 168.5, None, None, None, None, None, None, 1.0, 959.0, None, None, None, 2019-11-23 15:00:00, None, None
None, 1.923, 94.8, None, None, 22.51, 2.677, 157.4, None, None, None, None, None, None, 1.0, 959.0, None, None, None, 2019-11-23 16:00:00, None, None
None, 1.978, 95.8, None, None, 30.82, 3.002, 161.6, None, None, None, None, None, None, 2.0, 958.0, None, None, None, 2019-11-23 17:00:00, None, None
None, 1.977, 95.8, None, None, 30.46, 2.778, 168.2, None, None, None, None, None, None, 1.0, 958.0, None, None, None, 2019-11-23 18:00:00, None, None
None, 2.321, 94.0, None, None, 33.52, 4.052, 169.0, None, None, None, None, None, None, 1.0, 957.0, None, None, None, 2019-11-23 19:00:00, None, None
None, 2.625, 93.2, None, None, 46.37, 3.448, 179.2, None, None, None, None, None, None, 2.0, 956.0, None, None, None, 2019-11-23 20:00:00, None, None
None, 3.143, 88.6, None, None, 46.87, 3.844, 190.5, None, None, None, None, None, None, 1.0, 955.0, None, None, None, 2019-11-23 21:00:00, None, None
None, 4.416, 78.17, None, None, 34.64, 3.881, 167.5, None, None, None, None, None, None, 1.0, 955.0, None, None, None, 2019-11-23 22:00:00, None, None
None, 3.574, 86.3, None, None, 55.73, 3.127, 141.0, None, None, None, None, None, None, 1.0, 953.0, None, None, None, 2019-11-23 23:00:00, None, None
None, 4.333, 79.65, None, None, 47.77, 3.298, 136.2, None, None, None, None, None, None, 1.0, 953.0, None, None, None, 2019-11-24 00:00:00, None, None
None, 4.546, 74.39, None, None, 74.5, 3.664, 254.5, None, None, None, None, None, None, 0.0, 953.0, None, None, None, 2019-11-24 01:00:00, None, None
None, 3.076, 93.0, None, None, 36.88, 3.558, 154.2, None, None, None, None, None, None, 2.0, 953.0, None, None, None, 2019-11-24 02:00:00, None, None
None, 3.787, 93.5, None, None, 46.1, 5.739, 178.3, None, None, None, None, None, None, 3.0, 954.0, None, None, None, 2019-11-24 03:00:00, None, None
None, 2.574, 94.6, None, None, 28.0, 4.754, 170.1, None, None, None, None, None, None, 2.0, 954.0, None, None, None, 2019-11-24 04:00:00, None, None
None, 2.313, 96.0, None, None, 30.58, 3.357, 158.2, None, None, None, None, None, None, 2.0, 955.0, None, None, None, 2019-11-24 05:00:00, None, None
None, 2.374, 94.3, None, None, 41.71, 5.118, 159.5, None, None, None, None, None, None, 1.0, 956.0, None, None, None, 2019-11-24 06:00:00, None, None
None, 1.776, 95.0, None, None, 27.78, 4.232, 160.6, None, None, None, None, None, None, 1.0, 956.0, None, None, None, 2019-11-24 07:00:00, None, None
None, 1.738, 95.3, None, None, 39.84, 3.543, 165.6, None, None, None, None, None, None, 1.0, 959.0, None, None, None, 2019-11-24 10:00:00, None, None
None, 2.733, 95.2, None, None, 56.55, 3.344, 160.9, None, None, None, None, None, None, 2.0, 959.0, None, None, None, 2019-11-24 11:00:00, None, None
None, 3.764, 94.2, None, None, 62.71, 3.526, 177.8, None, None, None, None, None, None, 3.0, 959.0, None, None, None, 2019-11-24 12:00:00, None, None
None, 4.115, 93.0, None, None, 71.82, 2.066, 205.1, None, None, None, None, None, None, 3.0, 958.0, None, None, None, 2019-11-24 13:00:00, None, None
None, 4.361, 93.7, None, None, 71.12, 1.581, 188.9, None, None, None, None, None, None, 3.0, 959.0, None, None, None, 2019-11-24 14:00:00, None, None
None, 2.368, 93.2, None, None, 40.22, 2.815, 168.0, None, None, None, None, None, None, 1.0, 958.0, None, None, None, 2019-11-24 15:00:00, None, None
None, 2.558, 89.2, None, None, 32.77, 3.921, 168.9, None, None, None, None, None, None, 1.0, 959.0, None, None, None, 2019-11-24 16:00:00, None, None
None, 1.773, 86.7, None, None, 20.9, 6.923, 165.5, None, None, None, None, None, None, 0.0, 959.0, None, None, None, 2019-11-24 17:00:00, None, None
