station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, 3.473, 95.6, None, None, 53.9, 6.818, 282.9, None, None, None, None, None, None, 3.0, 1017.0, None, None, None, 2019-01-01 00:00:00, None, -0.964, None
None, 3.26, 95.6, None, None, 60.28, 5.298, 269.9, None, None, None, None, None, None, 3.0, 1017.0, None, None, None, 2019-01-01 01:00:00, None, -0.936, None
None, 3.487, 96.0, None, None, 58.9, 5.148, 259.1, None, None, None, None, None, None, 3.0, 1017.0, None, None, None, 2019-01-01 02:00:00, None, -0.97, None
None, 3.573, 96.0, None, None, 47.97, 6.599, 268.6, None, None, None, None, None, None, 3.0, 1017.0, None, None, None, 2019-01-01 03:00:00, None, -1.032, None
None, 3.412, 95.9, None, None, 52.48, 5.935, 277.6, None, None, None, None, None, None, 3.0, 1017.0, None, None, None, 2019-01-01 04:00:00, None, -0.988, None
None, 3.562, 96.4, None, None, 63.94, 3.071, 198.8, None, None, None, None, None, None, 3.0, 1016.0, None, None, None, 2019-01-01 05:00:00, None, -0.913, None
None, 3.623, 96.2, None, None, 59.36, 4.53, 254.7, None, None, None, None, None, None, 3.0, 1015.0, None, None, None, 2019-01-01 06:00:00, None, -1.011, None
None, 3.596, 96.2, None, None, 56.04, 5.365, 231.7, None, None, None, None, None, None, 3.0, 1015.0, None, None, None, 2019-01-01 07:00:00, None, -0.958, None
None, 3.777, 96.3, None, None, 65.54, 4.328, 261.7, None, None, None, None, None, None, 3.0, 1015.0, None, None, None, 2019-01-01 08:00:00, None, -0.922, None
None, 4.146, 96.0, None, None, 59.45, 4.484, 250.6, None, None, None, None, None, None, 4.0, 1015.0, None, None, None, 2019-01-01 09:00:00, None, -0.961, None
None, 4.075, 96.2, None, None, 49.59, 5.828, 256.4, None, None, None, None, None, None, 4.0, 1013.0, None, None, None, 2019-01-01 10:00:00, None, -0.841, None
None, 4.645, 95.7, None, None, 77.75, 4.09, 280.0, None, None, None, None, None, None, 4.0, 1013.0, None, None, None, 2019-01-01 11:00:00, None, -0.908, None
None, 4.753, 96.0, None, None, 76.47, 4.189, 281.2, None, None, None, None, None, None, 4.0, 1012.0, None, None, None, 2019-01-01 12:00:00, None, -0.906, None
None, 4.741, 95.2, None, None, 52.69, 4.16, 256.3, None, None, None, None, None, None, 4.0, 1011.0, None, None, None, 2019-01-01 13:00:00, None, -0.939, None
None, 4.96, 95.9, None, None, 77.59, 3.043, 189.6, None, None, None, None, None, None, 4.0, 1009.0, None, None, None, 2019-01-01 14:00:00, None, -0.821, None
None, 4.666, 95.6, None, None, 68.53, 3.039, 120.4, None, None, None, None, None, None, 4.0, 1009.0, None, None, None, 2019-01-01 15:00:00, None, -0.886, None
None, 4.343, 94.4, None, None, 64.49, 5.781, 261.1, None, None, None, None, None, None, 4.0, 1008.0, None, None, None, 2019-01-01 16:00:00, None, -0.905, None
None, 5.374, 94.0, None, None, 61.3, 3.943, 216.5, None, None, None, None, None, None, 4.0, 1006.0, None, None, None, 2019-01-01 17:00:00, None, -0.936, None
None, 5.307, 93.8, None, None, 51.76, 3.894, 206.6, None, None, None, None, None, None, 4.0, 1005.0, None, None, None, 2019-01-01 18:00:00, None, -0.93, None
None, 6.03, 95.0, None, None, 77.51, 3.219, 140.1, None, None, None, None, None, None, 5.0, 1004.0, None, None, None, 2019-01-01 19:00:00, None, -0.871, None
None, 6.003, 95.2, None, None, 72.49, 1.999, 128.1, None, None, None, None, None, None, 5.0, 1004.0, None, None, None, 2019-01-01 20:00:00, None, -1.006, None
None, 6.763, 96.7, None, None, 77.04, 2.833, 215.9, None, None, None, None, None, None, 6.0, 1003.0, None, None, None, 2019-01-01 21:00:00, None, -0.871, None
None, 7.22, 96.3, None, None, 66.38, 4.647, 240.9, None, None, None, None, None, None, 7.0, 1001.0, None, None, None, 2019-01-01 22:00:00, None, -0.933, None
None, 6.898, 96.4, None, None, 74.27, 1.91, 172.9, None, None, None, None, None, None, 6.0, 1002.0, None, None, None, 2019-01-01 23:00:00, None, -0.969, None
None, 6.271, 96.7, None, None, 70.34, 2.5, 284.8, None, None, None, None, None, None, 6.0, 1001.0, None, None, None, 2019-01-02 00:00:00, None, -0.985, None
None, 6.811, 97.0, None, None, 69.81, 1.898, 296.1, None, None, None, None, None, None, 6.0, 1001.0, None, None, None, 2019-01-02 01:00:00, None, -1.034, None
