station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -5.542, None, None, None, None, None, 24.54, None, 11.27, 222.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 00:00:00, None, None, 96.9
None, -5.592, None, None, None, None, None, 25.18, None, 10.48, 222.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 01:00:00, None, None, 98.1
None, -5.739, None, None, None, None, None, 28.92, None, 8.59, 222.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 02:00:00, None, None, 98.2
None, -5.348, None, None, None, None, None, 32.34, None, 7.052, 224.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 03:00:00, None, None, 99.1
None, -5.446, None, None, None, None, None, 39.79, None, 4.159, 238.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 04:00:00, None, None, 99.2
None, -4.227, None, None, None, None, None, 33.45, None, 5.534, 228.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 05:00:00, None, None, 100.1
None, -3.64, None, None, None, None, None, 22.36, None, 8.91, 221.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 06:00:00, None, None, 101.7
None, -3.306, None, None, None, None, None, 21.77, None, 10.73, 215.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 07:00:00, None, None, 103.5
None, -3.023, None, None, None, None, None, 19.86, None, 11.42, 214.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 08:00:00, None, None, 104.0
None, -2.601, None, None, None, None, None, 24.12, None, 10.21, 223.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 09:00:00, None, None, 104.3
None, -2.054, None, None, None, None, None, 22.12, None, 12.11, 217.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 10:00:00, None, None, 104.5
None, -2.249, None, None, None, None, None, 23.15, None, 14.45, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 11:00:00, None, None, 104.3
None, -2.365, None, None, None, None, None, 22.14, None, 14.03, 218.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 12:00:00, None, None, 105.5
None, -2.296, None, None, None, None, None, 22.57, None, 14.89, 216.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 13:00:00, None, None, 105.6
None, -1.517, None, None, None, None, None, 22.61, None, 11.62, 220.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 14:00:00, None, None, 104.6
None, -1.371, None, None, None, None, None, 31.79, None, 6.201, 228.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 15:00:00, None, None, 104.6
None, -1.123, None, None, None, None, None, 23.23, None, 8.78, 220.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 16:00:00, None, None, 105.9
None, -1.078, None, None, None, None, None, 21.35, None, 18.0, 215.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 17:00:00, None, None, 106.7
None, -1.029, None, None, None, None, None, 21.73, None, 16.85, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 18:00:00, None, None, 106.3
None, -0.395, None, None, None, None, None, 21.05, None, 16.22, 217.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 19:00:00, None, None, 106.0
None, -0.542, None, None, None, None, None, 21.07, None, 19.67, 212.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 20:00:00, None, None, 106.0
None, -0.103, None, None, None, None, None, 22.28, None, 18.47, 211.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 21:00:00, None, None, 105.9
None, 0.09, None, None, None, None, None, 22.57, None, 19.4, 208.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 22:00:00, None, None, 105.7
None, 0.139, None, None, None, None, None, 23.67, None, 19.68, 212.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-01 23:00:00, None, None, 105.4
None, 0.295, None, None, None, None, None, 23.94, None, 18.46, 210.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 00:00:00, None, None, 105.1
None, 0.13, None, None, None, None, None, 27.36, None, 17.69, 203.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 01:00:00, None, None, 104.6
None, 0.134, None, None, None, None, None, 32.48, None, 13.3, 203.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 02:00:00, None, None, 104.5
None, 0.135, None, None, None, None, None, 36.96, None, 9.33, 205.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 03:00:00, None, None, 104.3
None, -0.254, None, None, None, None, None, 45.64, None, 8.66, 208.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 04:00:00, None, None, 104.0
None, -0.71, None, None, None, None, None, 46.15, None, 7.822, 211.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 05:00:00, None, None, 103.8
None, -0.737, None, None, None, None, None, 32.65, None, 12.93, 204.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 06:00:00, None, None, 103.8
None, -0.856, None, None, None, None, None, 31.53, None, 18.24, 204.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 07:00:00, None, None, 103.5
None, -1.322, None, None, None, None, None, 26.91, None, 21.77, 200.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 08:00:00, None, None, 103.3
None, -1.671, None, None, None, None, None, 28.97, None, 15.81, 202.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 09:00:00, None, None, 102.7
None, -0.964, None, None, None, None, None, 25.46, None, 17.45, 201.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 10:00:00, None, None, 103.1
None, -0.956, None, None, None, None, None, 24.76, None, 16.72, 208.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 11:00:00, None, None, 103.0
None, -1.078, None, None, None, None, None, 24.16, None, 19.91, 207.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 12:00:00, None, None, 103.6
None, -1.322, None, None, None, None, None, 25.59, None, 17.17, 207.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 13:00:00, None, None, 103.5
None, -1.754, None, None, None, None, None, 25.19, None, 14.78, 208.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 14:00:00, None, None, 105.4
None, -1.956, None, None, None, None, None, 28.1, None, 15.78, 204.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 15:00:00, None, None, 105.5
None, -2.081, None, None, None, None, None, 28.97, None, 14.25, 207.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 16:00:00, None, None, 109.4
None, -2.347, None, None, None, None, None, 34.68, None, 11.15, 207.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 17:00:00, None, None, 110.6
None, -2.249, None, None, None, None, None, 28.69, None, 16.58, 209.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 18:00:00, None, None, 112.5
None, -2.591, None, None, None, None, None, 25.04, None, 17.19, 207.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 19:00:00, None, None, 112.3
None, -2.786, None, None, None, None, None, 24.24, None, 18.02, 206.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 20:00:00, None, None, 110.8
None, -2.932, None, None, None, None, None, 23.24, None, 13.58, 210.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 21:00:00, None, None, 112.4
None, -2.932, None, None, None, None, None, 24.06, None, 17.16, 206.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 22:00:00, None, None, 113.5
None, -3.03, None, None, None, None, None, 23.45, None, 15.4, 209.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-02 23:00:00, None, None, 113.3
None, -3.03, None, None, None, None, None, 22.82, None, 12.8, 212.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 00:00:00, None, None, 113.7
None, -3.127, None, None, None, None, None, 23.63, None, 12.35, 211.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 01:00:00, None, None, 114.3
None, -3.069, None, None, None, None, None, 24.2, None, 10.3, 209.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 02:00:00, None, None, 113.9
None, -3.228, None, None, None, None, None, 27.89, None, 8.19, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 03:00:00, None, None, 113.6
None, -3.293, None, None, None, None, None, 35.75, None, 6.077, 218.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 04:00:00, None, None, 113.7
None, -3.267, None, None, None, None, None, 36.11, None, 5.528, 220.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 05:00:00, None, None, 114.3
None, -3.25, None, None, None, None, None, 41.09, None, 6.044, 222.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 06:00:00, None, None, 115.2
None, -3.155, None, None, None, None, None, 39.04, None, 4.982, 219.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 07:00:00, None, None, 115.5
None, -3.077, None, None, None, None, None, 45.81, None, 4.125, 220.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 08:00:00, None, None, 116.6
None, -2.834, None, None, None, None, None, 49.46, None, 4.154, 211.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 09:00:00, None, None, 116.8
None, -2.59, None, None, None, None, None, 51.55, None, 4.347, 223.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 10:00:00, None, None, 117.2
None, -2.312, None, None, None, None, None, 34.29, None, 7.032, 220.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 11:00:00, None, None, 117.7
None, -2.054, None, None, None, None, None, 37.77, None, 5.823, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 12:00:00, None, None, 118.1
None, -1.908, None, None, None, None, None, 43.29, None, 4.817, 218.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 13:00:00, None, None, 118.7
None, -1.956, None, None, None, None, None, 45.72, None, 6.604, 217.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 14:00:00, None, None, 119.4
None, -1.956, None, None, None, None, None, 46.78, None, 5.935, 218.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 15:00:00, None, None, 119.5
None, -1.225, None, None, None, None, None, 29.76, None, 9.56, 217.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 16:00:00, None, None, 119.4
None, -0.981, None, None, None, None, None, 35.34, None, 13.22, 213.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 17:00:00, None, None, 119.0
None, -0.665, None, None, None, None, None, 24.33, None, 19.36, 206.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 18:00:00, None, None, 118.7
None, -0.688, None, None, None, None, None, 25.64, None, 17.81, 204.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2019-01-03 19:00:00, None, None, 118.4
