station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, -8.73, 93.2, None, None, None, None, 13.33, None, 3.733, 226.1, None, None, None, None, None, None, None, None, None, 2019-01-01 00:00:00, None, 192.6
None, -8.73, 93.2, None, None, None, None, 16.33, None, 2.745, 228.3, None, None, None, None, None, None, None, None, None, 2019-01-01 01:00:00, None, 192.2
None, -8.82, 93.1, None, None, None, None, 16.63, None, 3.562, 227.0, None, None, None, None, None, None, None, None, None, 2019-01-01 02:00:00, None, 192.1
None, -9.04, 93.0, None, None, None, None, 19.42, None, 3.11, 231.9, None, None, None, None, None, None, None, None, None, 2019-01-01 03:00:00, None, 191.9
None, -9.34, 92.7, None, None, None, None, 16.02, None, 2.844, 231.7, None, None, None, None, None, None, None, None, None, 2019-01-01 04:00:00, None, 192.0
None, -8.94, 93.0, None, None, None, None, 15.65, None, 3.398, 227.8, None, None, None, None, None, None, None, None, None, 2019-01-01 05:00:00, None, 191.7
None, -8.72, 93.2, None, None, None, None, 12.27, None, 3.356, 226.1, None, None, None, None, None, None, None, None, None, 2019-01-01 06:00:00, None, 191.5
None, -8.87, 93.1, None, None, None, None, 14.2, None, 2.192, 229.0, None, None, None, None, None, None, None, None, None, 2019-01-01 07:00:00, None, 191.4
None, -8.56, 93.3, None, None, None, None, 12.84, None, 2.78, 226.8, None, None, None, None, None, None, None, None, None, 2019-01-01 08:00:00, None, 191.1
None, -8.51, 93.4, None, None, None, None, 17.05, None, 3.029, 228.0, None, None, None, None, None, None, None, None, None, 2019-01-01 09:00:00, None, 191.1
None, -6.203, 95.0, None, None, None, None, 16.48, None, 1.831, 236.0, None, None, None, None, None, None, None, None, None, 2019-01-01 10:00:00, None, 190.3
None, -4.515, 96.1, None, None, None, None, 15.35, None, 1.855, 239.1, None, None, None, None, None, None, None, None, None, 2019-01-01 11:00:00, None, 191.3
None, -3.627, 96.8, None, None, None, None, 14.54, None, 1.663, 241.2, None, None, None, None, None, None, None, None, None, 2019-01-01 12:00:00, None, 190.1
None, -4.214, 96.6, None, None, None, None, 18.59, None, 1.778, 241.5, None, None, None, None, None, None, None, None, None, 2019-01-01 13:00:00, None, 190.3
None, -3.825, 96.7, None, None, None, None, 16.83, None, 1.889, 239.6, None, None, None, None, None, None, None, None, None, 2019-01-01 14:00:00, None, 190.1
