station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, PRECIP_DETECTOR_RATIO, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, -6.652, 98.7, None, None, None, 14.63, 14.36, None, 279.1, None, None, None, None, None, -7.0, None, None, None, None, None, None, None, 2019-01-01 00:00:00, None, None, None, None
None, -5.406, 98.8, None, None, None, 4.886, 16.81, None, 270.8, None, None, None, None, None, -6.0, None, None, None, None, None, None, None, 2019-01-01 01:00:00, None, None, None, None
None, -7.04, 98.9, None, None, None, 7.94, 21.88, None, 281.5, None, None, None, None, None, -7.0, None, None, None, None, None, None, None, 2019-01-01 02:00:00, None, None, None, None
None, -5.694, 100.1, None, None, None, 20.37, 16.68, None, 320.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, None, 2019-01-01 03:00:00, None, None, None, None
None, -6.221, 99.8, None, None, None, 24.07, 14.65, None, 292.6, None, None, None, None, None, -6.0, None, None, None, None, None, None, None, 2019-01-01 04:00:00, None, None, None, None
None, -5.406, 101.0, None, None, None, 7.55, 17.69, None, 290.8, None, None, None, None, None, -5.0, None, None, None, None, None, None, None, 2019-01-01 05:00:00, None, None, None, None
None, -4.736, 101.8, None, None, None, 12.59, 15.64, None, 278.4, None, None, None, None, None, -5.0, None, None, None, None, None, None, None, 2019-01-01 06:00:00, None, None, None, None
None, -4.64, 101.6, None, None, None, 7.48, 16.25, None, 273.6, None, None, None, None, None, -5.0, None, None, None, None, None, None, None, 2019-01-01 07:00:00, None, None, None, None
None, -4.496, 102.4, None, None, None, 6.248, 17.38, None, 282.0, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2019-01-01 08:00:00, None, None, None, None
None, -4.783, 102.2, None, None, None, 6.614, 19.17, None, 282.7, None, None, None, None, None, -5.0, None, None, None, None, None, None, None, 2019-01-01 09:00:00, None, None, None, None
None, -4.16, 102.1, None, None, None, 7.01, 16.06, None, 277.1, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2019-01-01 10:00:00, None, None, None, None
None, -4.017, None, None, None, None, 8.12, 13.84, None, 277.0, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2019-01-01 11:00:00, None, None, None, None
None, -3.825, None, None, None, None, 9.62, 16.2, None, 270.3, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2019-01-01 12:00:00, None, None, None, None
None, -3.154, None, None, None, None, 12.16, 13.45, None, 265.5, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 13:00:00, None, None, None, None
None, -2.409, None, None, None, None, 7.9, 9.21, None, 265.5, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2019-01-01 14:00:00, None, None, None, None
None, -1.842, None, None, None, None, 18.76, 7.5, None, 230.0, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2019-01-01 15:00:00, None, None, None, None
None, -2.769, None, None, None, None, 8.99, 10.1, None, 257.4, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 16:00:00, None, None, None, None
None, -2.722, None, None, None, None, 7.74, 12.3, None, 256.5, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 17:00:00, None, None, None, None
None, -3.087, None, None, None, None, 7.93, 19.06, None, 262.4, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 18:00:00, None, None, None, None
None, -3.177, None, None, None, None, 7.84, 24.75, None, 267.1, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 19:00:00, None, None, None, None
None, -2.746, None, None, None, None, 5.569, 28.85, None, 271.6, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 20:00:00, None, None, None, None
None, -3.161, None, None, None, None, 7.58, 26.33, None, 274.1, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 21:00:00, None, None, None, None
None, -3.01, None, None, None, None, 7.07, 28.07, None, 276.7, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2019-01-01 22:00:00, None, None, None, None
