station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
-13.81, 87.1, None, None, None, 18.95, 10.72, 184.6, None, None, None, None, None, -15.0, None, None, None, None, None, None, 2019-01-01 00:00:00, None, None, None, None
-12.45, 88.3, None, None, None, 15.65, 11.66, 170.0, None, None, None, None, None, -14.0, None, None, None, None, None, None, 2019-01-01 01:00:00, None, None, None, None
-12.16, 88.6, None, None, None, 21.29, 11.62, 178.9, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2019-01-01 02:00:00, None, None, None, None
-12.35, 88.2, None, None, None, 19.25, 11.37, 177.2, None, None, None, None, None, -14.0, None, None, None, None, None, None, 2019-01-01 03:00:00, None, None, None, None
-11.77, 89.3, None, None, None, 16.63, 11.5, 168.8, None, None, None, None, None, -13.0, None, None, None, None, None, None, 2019-01-01 04:00:00, None, None, None, None
-10.07, 90.7, None, None, None, 17.07, 13.6, 173.6, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2019-01-01 05:00:00, None, None, None, None
-10.37, 89.7, None, None, None, 14.77, 13.79, 178.8, None, None, None, None, None, -12.0, None, None, None, None, None, None, 2019-01-01 06:00:00, None, None, None, None
-10.95, 89.7, None, None, None, 20.06, 10.44, 181.1, None, None, None, None, None, -12.0, None, None, None, None, None, None, 2019-01-01 07:00:00, None, None, None, None
-10.37, 90.4, None, None, None, 16.41, 11.76, 179.1, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2019-01-01 08:00:00, None, None, None, None
-9.16, 91.7, None, None, None, 18.53, 10.84, 178.3, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2019-01-01 09:00:00, None, None, None, None
-8.62, 91.5, None, None, None, 20.09, 8.89, 175.0, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2019-01-01 10:00:00, None, None, None, None
-8.87, 91.6, None, None, None, 14.55, 11.43, 174.3, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2019-01-01 11:00:00, None, None, None, None
-9.56, 90.6, None, None, None, 16.63, 10.26, 182.3, None, None, None, None, None, -11.0, None, None, None, None, None, None, 2019-01-01 12:00:00, None, None, None, None
-9.27, 91.1, None, None, None, 19.07, 13.91, 186.2, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2019-01-01 13:00:00, None, None, None, None
-8.78, 92.0, None, None, None, 19.85, 10.46, 183.3, None, None, None, None, None, -10.0, None, None, None, None, None, None, 2019-01-01 14:00:00, None, None, None, None
-8.15, 91.9, None, None, None, 19.4, 8.35, 174.6, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-01 15:00:00, None, None, None, None
-8.3, 92.3, None, None, None, 18.08, 11.16, 186.2, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-01 16:00:00, None, None, None, None
-7.81, 92.8, None, None, None, 18.28, 10.45, 182.4, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-01 17:00:00, None, None, None, None
-7.08, 93.3, None, None, None, 21.15, 6.487, 181.3, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-01 18:00:00, None, None, None, None
-7.13, 93.2, None, None, None, 19.57, 9.57, 186.0, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-01 19:00:00, None, None, None, None
-7.47, 92.9, None, None, None, 20.76, 8.39, 192.2, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-01 20:00:00, None, None, None, None
-7.76, 92.7, None, None, None, 18.95, 6.795, 193.9, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-01 21:00:00, None, None, None, None
-7.27, 93.1, None, None, None, 27.0, 2.936, 198.4, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-01 22:00:00, None, None, None, None
-7.86, 92.5, None, None, None, 24.36, 2.968, 192.6, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-01 23:00:00, None, None, None, None
-7.66, 92.8, None, None, None, 26.34, 4.027, 187.0, None, None, None, None, None, -9.0, None, None, None, None, None, None, 2019-01-02 00:00:00, None, None, None, None
-6.204, 93.9, None, None, None, 41.58, 0.366, 192.8, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 01:00:00, None, None, None, None
-6.018, 94.2, None, None, None, 23.04, 0.0, 218.2, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 02:00:00, None, None, None, None
-5.629, 94.1, None, None, None, 26.88, 0.256, 197.6, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 03:00:00, None, None, None, None
-6.213, 93.7, None, None, None, 23.03, 3.583, 193.1, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 04:00:00, None, None, None, None
-6.067, 94.3, None, None, None, 29.11, 2.003, 182.5, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 05:00:00, None, None, None, None
-5.97, 94.0, None, None, None, 29.37, 3.614, 215.4, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 06:00:00, None, None, None, None
-5.337, 94.7, None, None, None, 32.4, 3.515, 187.7, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 07:00:00, None, None, None, None
-4.948, 94.8, None, None, None, 24.67, 3.773, 205.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 08:00:00, None, None, None, None
-4.656, 95.1, None, None, None, 29.98, 3.91, 192.8, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2019-01-02 09:00:00, None, None, None, None
-4.753, 94.8, None, None, None, 31.9, 4.325, 205.6, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2019-01-02 10:00:00, None, None, None, None
-5.337, 94.6, None, None, None, 28.33, 10.22, 205.8, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 11:00:00, None, None, None, None
-4.607, 95.0, None, None, None, 30.76, 8.8, 210.7, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2019-01-02 12:00:00, None, None, None, None
-5.58, 94.2, None, None, None, 34.57, 5.304, 196.2, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 13:00:00, None, None, None, None
-5.151, 94.5, None, None, None, 34.03, 3.369, 195.3, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2019-01-02 14:00:00, None, None, None, None
-6.36, 93.8, None, None, None, 65.96, 0.551, 170.5, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 15:00:00, None, None, None, None
-6.456, 93.5, None, None, None, 39.25, 2.358, 203.0, None, None, None, None, None, -7.0, None, None, None, None, None, None, 2019-01-02 16:00:00, None, None, None, None
-7.62, 92.9, None, None, None, 52.51, 0.929, 116.4, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-02 17:00:00, None, None, None, None
-7.48, 93.0, None, None, None, 0.392, 0.471, 142.3, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-02 18:00:00, None, None, None, None
-6.894, 93.6, None, None, None, 36.82, 3.373, 200.7, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2019-01-02 19:00:00, None, None, None, None
