station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -2.873, None, 2019-01-01 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 24.38
None, None, -2.713, None, 2019-01-01 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 24.35
None, None, -1.858, None, 2019-01-01 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 24.37
None, None, -2.506, None, 2019-01-01 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 24.82
None, None, -2.403, None, 2019-01-01 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 25.0
None, None, -2.299, None, 2019-01-01 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 25.17
None, None, -1.914, None, 2019-01-01 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 25.66
None, None, -2.168, None, 2019-01-01 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 25.62
None, None, -1.933, None, 2019-01-01 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 25.48
None, None, -1.736, None, 2019-01-01 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 26.05
None, None, -1.126, None, 2019-01-01 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 26.48
None, None, -0.948, None, 2019-01-01 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 26.33
None, None, -0.395, None, 2019-01-01 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 26.91
None, None, -0.255, None, 2019-01-01 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 26.86
None, None, -0.04, None, 2019-01-01 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 27.57
None, None, -0.106, None, 2019-01-01 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.58
None, None, 0.091, None, 2019-01-01 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.97
None, None, 0.129, None, 2019-01-01 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.94
None, None, 0.044, None, 2019-01-01 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.88
None, None, 0.203, None, 2019-01-01 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.5
None, None, 0.325, None, 2019-01-01 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.28
None, None, 0.278, None, 2019-01-01 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.97
None, None, 0.353, None, 2019-01-01 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.26
None, None, 0.1, None, 2019-01-01 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.04
None, None, 0.035, None, 2019-01-02 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.57
None, None, 0.044, None, 2019-01-02 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.48
None, None, 0.063, None, 2019-01-02 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.54
None, None, -0.049, None, 2019-01-02 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.29
None, None, 0.016, None, 2019-01-02 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.13
None, None, -0.171, None, 2019-01-02 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.0
None, None, -0.48, None, 2019-01-02 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.86
None, None, -0.873, None, 2019-01-02 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.72
None, None, -0.939, None, 2019-01-02 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.66
None, None, -1.576, None, 2019-01-02 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.65
None, None, -1.361, None, 2019-01-02 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.58
None, None, -0.209, None, 2019-01-02 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.48
None, None, 0.016, None, 2019-01-02 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.45
None, None, 0.184, None, 2019-01-02 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.39
None, None, -0.153, None, 2019-01-02 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.58
None, None, -0.265, None, 2019-01-02 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.6
None, None, -0.415, None, 2019-01-02 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.73
None, None, -1.276, None, 2019-01-02 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.68
None, None, -1.914, None, 2019-01-02 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.57
None, None, -2.836, None, 2019-01-02 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.59
None, None, -3.646, None, 2019-01-02 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.42
None, None, -4.41, None, 2019-01-02 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.37
None, None, -4.208, None, 2019-01-02 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.51
None, None, -4.767, None, 2019-01-02 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.29
None, None, -4.48, None, 2019-01-03 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.35
None, None, -4.748, None, 2019-01-03 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.26
None, None, -5.645, None, 2019-01-03 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.23
None, None, -6.733, None, 2019-01-03 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.29
None, None, -7.76, None, 2019-01-03 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.09
None, None, -8.41, None, 2019-01-03 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.15
None, None, -9.2, None, 2019-01-03 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.0
None, None, -9.82, None, 2019-01-03 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.99
None, None, -10.43, None, 2019-01-03 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.05
None, None, -10.98, None, 2019-01-03 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.64
None, None, -11.3, None, 2019-01-03 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.61
None, None, -11.34, None, 2019-01-03 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.57
None, None, -11.01, None, 2019-01-03 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.31
None, None, -11.25, None, 2019-01-03 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.36
None, None, -11.49, None, 2019-01-03 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.37
None, None, -11.73, None, 2019-01-03 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.32
None, None, -12.29, None, 2019-01-03 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.33
None, None, -13.01, None, 2019-01-03 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.24
None, None, -13.59, None, 2019-01-03 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.19
None, None, -14.24, None, 2019-01-03 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.1
None, None, -14.63, None, 2019-01-03 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.07
None, None, -15.25, None, 2019-01-03 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.11
None, None, -16.3, None, 2019-01-03 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.25
None, None, -16.83, None, 2019-01-04 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.21
None, None, -17.06, None, 2019-01-04 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.29
None, None, -17.39, None, 2019-01-04 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.31
None, None, -17.81, None, 2019-01-04 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.32
None, None, -18.05, None, 2019-01-04 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.37
None, None, -18.4, None, 2019-01-04 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.45
None, None, -18.66, None, 2019-01-04 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.51
None, None, -18.94, None, 2019-01-04 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.46
None, None, -19.05, None, 2019-01-04 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.41
None, None, -19.5, None, 2019-01-04 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.41
None, None, -19.15, None, 2019-01-04 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.42
None, None, -16.74, None, 2019-01-04 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.71
None, None, -13.8, None, 2019-01-04 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.38
None, None, -11.86, None, 2019-01-04 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.15
None, None, -11.18, None, 2019-01-04 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.16
None, None, -11.01, None, 2019-01-04 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.11
None, None, -10.92, None, 2019-01-04 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.42
None, None, -11.05, None, 2019-01-04 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.74
None, None, -11.32, None, 2019-01-04 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.88
None, None, -11.64, None, 2019-01-04 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 28.94
None, None, -11.66, None, 2019-01-04 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.1
None, None, -12.01, None, 2019-01-04 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.13
