CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -12.5,90.4, None, None, None, None,24.49, None,5.967,33.74, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-02-26 00:00:00, None, None, 74.2,9
None, -13.07,89.2, None, None, None, None,20.78, None,8.72,42.58, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-02-26 01:00:00, None, None, 74.9,9
None, -13.12,88.9, None, None, None, None,22.52, None,10.1,41.22, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-02-26 02:00:00, None, None, 74.6,9
None, -13.5,89.4, None, None, None, None,23.46, None,11.0,40.93, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-02-26 03:00:00, None, None, None,9
None, -13.69,89.0, None, None, None, None,24.23, None,8.44,37.56, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-02-26 04:00:00, None, None, None,9
None, -14.06,88.0, None, None, None, None,23.0, None,9.39,40.75, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-02-26 05:00:00, None, None, None,9
None, -14.73,87.4, None, None, None, None,22.38, None,9.01,36.47, None, None, None, None, None, -16.0, None, None, None, None, None, None, None,2017-02-26 06:00:00, None, None, None,9
None, -14.97,86.2, None, None, None, None,18.97, None,9.93,48.96, None, None, None, None, None, -17.0, None, None, None, None, None, None, None,2017-02-26 07:00:00, None, None, None,9
None, -15.21,85.1, None, None, None, None,17.35, None,9.54,53.58, None, None, None, None, None, -17.0, None, None, None, None, None, None, None,2017-02-26 08:00:00, None, None, None,9
None, -15.26,85.0, None, None, None, None,15.68, None,10.18,51.23, None, None, None, None, None, -17.0, None, None, None, None, None, None, None,2017-02-26 09:00:00, None, None, None,9
