TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 2.119, None, 34.57,2018-05-14 00:00:00, 15.5,20
None, 0.841, None, 39.65,2018-05-14 01:00:00, 14.11,20
None, 2.228, None, 48.19,2018-05-14 02:00:00, 12.38,20
None, 2.092, None, 50.19,2018-05-14 03:00:00, 11.86,20
None, 2.628, None, 48.89,2018-05-14 04:00:00, 11.95,20
None, 2.489, None, 53.43,2018-05-14 05:00:00, 10.96,20
None, 2.577, None, 55.87,2018-05-14 06:00:00, 10.77,20
None, 2.037, None, 51.35,2018-05-14 07:00:00, 12.09,20
None, 1.825, None, 49.23,2018-05-14 08:00:00, 13.22,20
None, 1.549, None, 44.59,2018-05-14 09:00:00, 15.67,20
None, 0.757, None, 37.44,2018-05-14 10:00:00, 18.3,20
None, 2.165, None, 28.55,2018-05-14 11:00:00, 21.32,20
None, 7.026, None, 19.16,2018-05-14 12:00:00, 24.25,20
None, 7.397, None, 15.89,2018-05-14 13:00:00, 25.22,20
None, 8.4, None, 13.61,2018-05-14 14:00:00, 25.69,20
None, 9.18, None, 13.73,2018-05-14 15:00:00, 25.96,20
None, 8.44, None, 13.59,2018-05-14 16:00:00, 26.18,20
None, 9.55, None, 12.5,2018-05-14 17:00:00, 25.67,20
None, 9.46, None, 13.01,2018-05-14 18:00:00, 24.77,20
None, 7.918, None, 14.73,2018-05-14 19:00:00, 23.65,20
None, 6.411, None, 17.6,2018-05-14 20:00:00, 22.18,20
None, 5.106, None, 21.56,2018-05-14 21:00:00, 20.61,20
None, 3.995, None, 23.24,2018-05-14 22:00:00, 19.72,20
None, 4.302, None, 25.79,2018-05-14 23:00:00, 18.82,20
None, 3.31, None, 29.96,2018-05-15 00:00:00, 17.49,20
None, 3.481, None, 32.71,2018-05-15 01:00:00, 16.42,20
None, 2.959, None, 32.89,2018-05-15 02:00:00, 15.95,20
None, 3.083, None, 35.76,2018-05-15 03:00:00, 15.02,20
None, 3.447, None, 39.72,2018-05-15 04:00:00, 13.87,20
None, 2.471, None, 38.95,2018-05-15 05:00:00, 13.09,20
None, 2.483, None, 36.86,2018-05-15 06:00:00, 12.5,20
None, 2.651, None, 38.84,2018-05-15 07:00:00, 12.99,20
None, 2.299, None, 37.79,2018-05-15 08:00:00, 14.06,20
None, 1.867, None, 33.52,2018-05-15 09:00:00, 15.79,20
None, 2.375, None, 30.17,2018-05-15 10:00:00, 17.24,20
None, 1.81, None, 26.46,2018-05-15 11:00:00, 18.35,20
None, 2.15, None, 22.71,2018-05-15 12:00:00, 19.47,20
None, 1.733, None, 20.3,2018-05-15 13:00:00, 20.2,20
None, 2.172, None, 16.93,2018-05-15 14:00:00, 21.3,20
None, 2.173, None, 15.13,2018-05-15 15:00:00, 22.52,20
None, 6.025, None, 10.32,2018-05-15 18:00:00, 22.58,20
None, 3.813, None, 11.57,2018-05-15 19:00:00, 21.29,20
None, 2.674, None, 12.9,2018-05-15 20:00:00, 19.98,20
None, 3.159, None, 13.75,2018-05-15 21:00:00, 19.17,20
None, 1.974, None, 21.85,2018-05-15 22:00:00, 16.0,20
None, 2.347, None, 24.62,2018-05-15 23:00:00, 15.51,20
None, 1.843, None, 27.34,2018-05-16 00:00:00, 14.51,20
None, 5.915, None, 29.15,2018-05-16 01:00:00, 13.46,20
None, 4.338, None, 31.06,2018-05-16 02:00:00, 12.47,20
None, 5.001, None, 32.65,2018-05-16 03:00:00, 11.65,20
