WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 1.322,92.9,2016-01-08 00:00:00,3.645,2
None, None, 0.934,92.6,2016-01-08 01:00:00,3.647,2
None, None, 1.257,92.6,2016-01-08 02:00:00,3.592,2
None, None, 1.075,92.5,2016-01-08 03:00:00,3.491,2
None, None, 1.227,92.6,2016-01-08 04:00:00,3.368,2
None, None, 1.319,92.6,2016-01-08 05:00:00,3.358,2
None, None, 1.043,92.8,2016-01-08 06:00:00,3.206,2
None, None, 1.126,93.1,2016-01-08 07:00:00,3.276,2
None, None, 1.036,92.8,2016-01-08 08:00:00,3.286,2
None, None, 1.642,92.5,2016-01-08 09:00:00,3.555,2
None, None, 0.873,91.2,2016-01-08 10:00:00,3.834,2
None, None, 1.084,88.1,2016-01-08 11:00:00,4.926,2
None, None, 1.309,83.2,2016-01-08 12:00:00,5.435,2
None, None, 1.461,81.9,2016-01-08 13:00:00,5.769,2
None, None, 1.298,76.8,2016-01-08 14:00:00,6.184,2
None, None, 0.460999,76.7,2016-01-08 15:00:00,6.181,2
None, None, None,80.0,2016-01-08 16:00:00,6.282,2
None, None, 0.333999,82.7,2016-01-08 17:00:00,5.718,2
None, None, 0.869,86.5,2016-01-08 18:00:00,4.384,2
None, None, 0.851,89.8,2016-01-08 19:00:00,3.437,2
None, None, 0.995998,90.4,2016-01-08 20:00:00,3.007,2
None, None, 1.681,90.6,2016-01-08 21:00:00,2.835,2
None, None, 0.407,90.9,2016-01-08 22:00:00,2.722,2
None, None, 0.535,90.9,2016-01-08 23:00:00,2.533,2
None, None, 1.706,90.6,2016-01-09 00:00:00,2.584,2
None, None, 1.563,90.6,2016-01-09 01:00:00,2.518,2
None, None, 0.819,90.5,2016-01-09 02:00:00,2.698,2
None, None, 1.416,90.3,2016-01-09 03:00:00,2.877,2
None, None, 1.332,89.9,2016-01-09 04:00:00,2.77,2
None, None, 1.567,90.0,2016-01-09 05:00:00,2.707,2
None, None, 1.43,89.3,2016-01-09 06:00:00,2.772,2
None, None, 1.178,89.7,2016-01-09 07:00:00,2.845,2
None, None, 1.234,90.1,2016-01-09 08:00:00,2.736,2
None, None, 1.37,90.1,2016-01-09 09:00:00,2.452,2
None, None, 0.519999,85.3,2016-01-09 10:00:00,4.684,2
None, None, 0.514998,82.6,2016-01-09 11:00:00,5.447,2
None, None, 2.239,71.4,2016-01-09 12:00:00,6.044,2
None, None, 1.96,64.83,2016-01-09 13:00:00,6.356,2
None, None, 2.902,69.28,2016-01-09 14:00:00,6.504,2
None, None, 2.406,68.31,2016-01-09 15:00:00,6.996,2
None, None, 1.882,79.6,2016-01-09 16:00:00,5.781,2
None, None, 1.061,83.2,2016-01-09 17:00:00,4.052,2
None, None, 1.925,83.8,2016-01-09 18:00:00,3.198,2
None, None, 1.459,84.2,2016-01-09 19:00:00,2.776,2
None, None, 1.232,86.4,2016-01-09 20:00:00,2.343,2
None, None, 1.544,85.5,2016-01-09 21:00:00,2.543,2
None, None, 1.362,83.4,2016-01-09 22:00:00,2.362,2
None, None, 0.921,84.9,2016-01-09 23:00:00,1.849,2
None, None, 1.082,86.9,2016-01-10 00:00:00,1.984,2
None, None, 1.246,86.3,2016-01-10 01:00:00,1.787,2
None, None, 1.352,85.2,2016-01-10 02:00:00,2.363,2
None, None, 0.869,85.6,2016-01-10 03:00:00,2.326,2
None, None, 0.869,86.4,2016-01-10 04:00:00,2.227,2
None, None, 0.924,86.7,2016-01-10 05:00:00,2.637,2
None, None, 1.013,84.4,2016-01-10 06:00:00,3.203,2
None, None, 1.15,85.1,2016-01-10 07:00:00,2.866,2
None, None, 1.293,83.9,2016-01-10 08:00:00,2.217,2
