station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
27.0, 27.0, 0.0, 2022-01-01 00:00:00, 20.0
8.6, 8.6, 0.0, 2022-01-02 00:00:00, 10.0
7.2, 7.2, 0.0, 2022-01-03 00:00:00, 0.0
5.0, 5.0, 0.0, 2022-01-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-05 00:00:00, 0.0
15.8, 15.8, 0.0, 2022-01-06 00:00:00, 13.0
3.0, 3.0, 0.0, 2022-01-07 00:00:00, 1.0
12.0, 4.0, 8.0, 2022-01-08 00:00:00, 0.0
1.8, 1.8, 0.0, 2022-01-09 00:00:00, 2.0
14.0, 14.0, 0.0, 2022-01-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-11 00:00:00, 0.0
37.8, 37.8, 0.0, 2022-01-12 00:00:00, 0.0
0.2, 0.2, 0.0, 2022-01-14 00:00:00, None
0.3, 0.3, 0.0, 2022-01-15 00:00:00, 0.0
1.0, 1.0, 0.0, 2022-01-16 00:00:00, 0.0
0.3, 0.3, 0.0, 2022-01-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-18 00:00:00, 0.0
19.2, 19.2, 0.0, 2022-01-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-25 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-26 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-28 00:00:00, 0.0
11.0, 11.0, 0.0, 2022-01-29 00:00:00, 0.0
5.2, 5.2, 0.0, 2022-01-30 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-01-31 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-01 00:00:00, 0.0
6.2, 6.2, 0.0, 2022-02-02 00:00:00, 0.0
4.2, 4.2, 0.0, 2022-02-03 00:00:00, 0.0
1.2, 1.2, 0.0, 2022-02-04 00:00:00, 0.0
1.2, 1.2, 0.0, 2022-02-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-07 00:00:00, 0.0
12.0, 12.0, 0.0, 2022-02-08 00:00:00, 0.0
0.4, 0.4, 0.0, 2022-02-09 00:00:00, 0.0
0.2, 0.2, 0.0, 2022-02-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-12 00:00:00, 0.0
1.2, 1.2, 0.0, 2022-02-13 00:00:00, 0.0
0.4, 0.4, 0.0, 2022-02-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-17 00:00:00, 0.0
2.8, 2.8, 0.0, 2022-02-18 00:00:00, 0.0
11.0, 11.0, 0.0, 2022-02-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-02-25 00:00:00, 0.0
17.1, 17.1, 0.0, 2022-02-26 00:00:00, 0.0
6.7, 6.7, 0.0, 2022-02-27 00:00:00, 0.0
7.0, 7.0, 0.0, 2022-02-28 00:00:00, 0.0
3.6, 3.6, 0.0, 2022-03-01 00:00:00, 0.0
0.4, 0.4, 0.0, 2022-03-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-03-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2022-03-04 00:00:00, 0.0
