wind_speed,temperature,wind_direction,relative_humidity,time,week_of_year
0.7,16.2, 169.0,93.0,2021-08-13 00:00:00,33
2.5,16.6, 27.0,96.0,2021-08-13 01:00:00,33
2.2,16.2, 146.0,96.0,2021-08-13 02:00:00,33
1.8,15.7, 57.0,97.0,2021-08-13 03:00:00,33
5.4,16.2, 157.0,91.0,2021-08-13 04:00:00,33
1.8,15.6, 73.0,95.0,2021-08-13 05:00:00,33
0.7,17.5, 83.0,90.0,2021-08-13 06:00:00,33
6.5,19.6, 158.0,81.0,2021-08-13 07:00:00,33
13.0,19.8, 162.0,81.0,2021-08-13 08:00:00,33
15.1,18.5, 165.0,88.0,2021-08-13 09:00:00,33
13.7,19.5, 166.0,84.0,2021-08-13 10:00:00,33
15.5,18.2, 163.0,88.0,2021-08-13 11:00:00,33
9.4,18.8, 155.0,85.0,2021-08-13 12:00:00,33
8.6,18.8, 167.0,84.0,2021-08-13 13:00:00,33
8.6,18.3, 163.0,86.0,2021-08-13 14:00:00,33
12.6,17.6, 159.0,89.0,2021-08-13 15:00:00,33
6.8,17.4, 146.0,90.0,2021-08-13 16:00:00,33
7.6,16.8, 155.0,93.0,2021-08-13 17:00:00,33
2.2,16.5, 128.0,94.0,2021-08-13 18:00:00,33
6.5,15.9, 124.0,97.0,2021-08-13 19:00:00,33
5.0,15.5, 164.0,99.0,2021-08-13 20:00:00,33
14.4,15.3, 161.0,99.0,2021-08-13 21:00:00,33
8.3,15.0, 187.0,100.0,2021-08-13 22:00:00,33
7.6,14.9, 181.0,100.0,2021-08-13 23:00:00,33
10.1,14.9, 153.0,100.0,2021-08-14 00:00:00,33
18.0,15.2, 153.0,100.0,2021-08-14 01:00:00,33
20.2,15.4, 159.0,100.0,2021-08-14 02:00:00,33
18.0,15.2, 135.0,100.0,2021-08-14 03:00:00,33
18.4,15.2, 140.0,100.0,2021-08-14 04:00:00,33
6.5,15.6, 125.0,100.0,2021-08-14 05:00:00,33
9.4,15.8, 140.0,100.0,2021-08-14 06:00:00,33
10.1,16.3, 140.0,99.0,2021-08-14 07:00:00,33
9.4,17.1, 173.0,93.0,2021-08-14 08:00:00,33
17.3,17.8, 149.0,90.0,2021-08-14 09:00:00,33
15.5,18.2, 167.0,88.0,2021-08-14 10:00:00,33
18.4,18.0, 160.0,88.0,2021-08-14 11:00:00,33
10.1,17.2, 161.0,91.0,2021-08-14 12:00:00,33
8.6,17.6, 182.0,91.0,2021-08-14 13:00:00,33
9.0,16.7, 160.0,95.0,2021-08-14 14:00:00,33
7.2,16.5, 154.0,94.0,2021-08-14 15:00:00,33
