wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
195.0, None, None,0.0, None,0.1, None,-4.0, None, None, None,95.0,2019-01-15 00:00:00,3,,,,,,
69.0, None, None,0.0, None,1.1, None,-4.1, None, None, None,95.0,2019-01-15 01:00:00,3,,,,,,
266.0, None, None,0.0, None,0.1, None,-4.0, None, None, None,94.0,2019-01-15 02:00:00,3,,,,,,
58.0, None, None,0.0, None,0.3, None,-4.1, None, None, None,94.0,2019-01-15 03:00:00,3,,,,,,
185.0, None, None,0.0, None,0.3, None,-4.3, None, None, None,93.0,2019-01-15 04:00:00,3,,,,,,
120.0, None, None,0.0, None,1.2, None,-4.4, None, None, None,93.0,2019-01-15 05:00:00,3,,,,,,
73.0, None, None,0.0, None,1.6, None,-4.6, None, None, None,92.0,2019-01-15 06:00:00,3,,,,,,
123.0, None, None,0.0, None,0.6, None,-4.7, None, None, None,92.0,2019-01-15 07:00:00,3,,,,,,
85.0, None, None,0.0, None,1.8, None,-4.5, None, None, None,92.0,2019-01-15 08:00:00,3,,,,,,
267.0, None, None,0.0, None,1.4, None,-4.4, None, None, None,91.0,2019-01-15 09:00:00,3,,,,,,
205.0, None, None,0.0, None,1.7, None,-4.1, None, None, None,90.0,2019-01-15 10:00:00,3,,,,,,
145.0, None, None,0.0, None,0.4, None,-3.8, None, None, None,89.0,2019-01-15 11:00:00,3,,,,,,
90.0, None, None,0.0, None,5.5, None,-3.9, None, None, None,88.0,2019-01-15 12:00:00,3,,,,,,
123.0, None, None,0.0, None,4.2, None,-3.9, None, None, None,88.0,2019-01-15 13:00:00,3,,,,,,
95.0, None, None,0.0, None,3.8, None,-4.0, None, None, None,89.0,2019-01-15 14:00:00,3,,,,,,
129.0, None, None,0.0, None,3.4, None,-4.3, None, None, None,89.0,2019-01-15 15:00:00,3,,,,,,
122.0, None, None,0.0, None,0.9, None,-4.3, None, None, None,89.0,2019-01-15 16:00:00,3,,,,,,
140.0, None, None,0.0, None,1.3, None,-4.6, None, None, None,89.0,2019-01-15 17:00:00,3,,,,,,
103.0, None, None,0.0, None,0.4, None,-4.6, None, None, None,89.0,2019-01-15 18:00:00,3,,,,,,
172.0, None, None,0.0, None,0.0, None,-4.6, None, None, None,90.0,2019-01-15 19:00:00,3,,,,,,
94.0, None, None,0.0, None,1.3, None,-4.6, None, None, None,90.0,2019-01-15 20:00:00,3,,,,,,
340.0, None, None,0.0, None,0.0, None,-4.7, None, None, None,89.0,2019-01-15 21:00:00,3,,,,,,
105.0, None, None,0.0, None,3.9, None,-4.9, None, None, None,90.0,2019-01-15 22:00:00,3,,,,,,
96.0, None, None,0.0, None,1.3, None,-5.0, None, None, None,91.0,2019-01-15 23:00:00,3,,,,,,
86.0, None, None,0.0, None,2.8, None,-4.9, None, None, None,90.0,2019-01-16 00:00:00,3,,,,,,
85.0, None, None,0.0, None,3.2, None,-4.8, None, None, None,90.0,2019-01-16 01:00:00,3,,,,,,
58.0, None, None,0.0, None,1.4, None,-4.9, None, None, None,89.0,2019-01-16 02:00:00,3,,,,,,
69.0, None, None,0.0, None,1.5, None,-4.8, None, None, None,89.0,2019-01-16 03:00:00,3,,,,,,
68.0, None, None,0.0, None,5.9, None,-4.7, None, None, None,89.0,2019-01-16 04:00:00,3,,,,,,
79.0, None, None,0.0, None,3.6, None,-4.7, None, None, None,89.0,2019-01-16 05:00:00,3,,,,,,
81.0, None, None,0.0, None,1.6, None,-4.6, None, None, None,90.0,2019-01-16 06:00:00,3,,,,,,
172.0, None, None,0.0, None,1.0, None,-4.6, None, None, None,91.0,2019-01-16 07:00:00,3,,,,,,
189.0, None, None,0.0, None,1.5, None,-4.4, None, None, None,91.0,2019-01-16 08:00:00,3,,,,,,
220.0, None, None,0.0, None,2.5, None,-4.2, None, None, None,91.0,2019-01-16 09:00:00,3,,,,,,
202.0, None, None,0.0, None,1.5, None,-3.3, None, None, None,85.0,2019-01-16 10:00:00,3,,,,,,
188.0, None, None,0.0, None,1.8, None,-2.7, None, None, None,82.0,2019-01-16 11:00:00,3,,,,,,
177.0, None, None,0.0, None,3.5, None,-2.2, None, None, None,82.0,2019-01-16 12:00:00,3,,,,,,
94.0, None, None,0.0, None,4.9, None,-2.7, None, None, None,85.0,2019-01-16 13:00:00,3,,,,,,
83.0, None, None,0.0, None,6.3, None,-2.6, None, None, None,83.0,2019-01-16 14:00:00,3,,,,,,
58.0, None, None,0.0, None,8.5, None,-3.0, None, None, None,85.0,2019-01-16 15:00:00,3,,,,,,
64.0, None, None,0.0, None,5.2, None,-3.1, None, None, None,88.0,2019-01-16 16:00:00,3,,,,,,
45.0, None, None,0.0, None,8.8, None,-3.5, None, None, None,91.0,2019-01-16 17:00:00,3,,,,,,
41.0, None, None,0.0, None,5.1, None,-3.4, None, None, None,90.0,2019-01-16 18:00:00,3,,,,,,
49.0, None, None,0.0, None,2.7, None,-3.2, None, None, None,91.0,2019-01-16 19:00:00,3,,,,,,
53.0, None, None,0.0, None,4.4, None,-3.2, None, None, None,91.0,2019-01-16 20:00:00,3,,,,,,
62.0, None, None,0.0, None,3.2, None,-3.3, None, None, None,91.0,2019-01-16 21:00:00,3,,,,,,
89.0, None, None,0.0, None,2.8, None,-3.3, None, None, None,91.0,2019-01-16 22:00:00,3,,,,,,
62.0, None, None,0.0, None,3.5, None,-3.3, None, None, None,92.0,2019-01-16 23:00:00,3,,,,,,
71.0, None, None,0.0, None,3.5, None,-3.3, None, None, None,92.0,2019-01-17 00:00:00,3,,,,,,
57.0, None, None,0.0, None,5.7, None,-3.3, None, None, None,92.0,2019-01-17 01:00:00,3,,,,,,
23.0, None, None,0.0, None,1.6, None,-3.3, None, None, None,92.0,2019-01-17 02:00:00,3,,,,,,
80.0, None, None,0.0, None,2.4, None,-3.3, None, None, None,93.0,2019-01-17 03:00:00,3,,,,,,
59.0, None, None,0.0, None,0.0, None,-3.2, None, None, None,93.0,2019-01-17 04:00:00,3,,,,,,
74.0, None, None,0.0, None,0.0, None,-3.2, None, None, None,93.0,2019-01-17 05:00:00,3,,,,,,
79.0, None, None,0.0, None,0.4, None,-3.2, None, None, None,93.0,2019-01-17 06:00:00,3,,,,,,
74.0, None, None,0.0, None,0.0, None,-3.2, None, None, None,94.0,2019-01-17 07:00:00,3,,,,,,
