AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,SnowWaterEquivalent,RelativeHumidity,week_of_year
12.3, 0.0, 0.0, 9.8, 0.0,2017-08-13 00:00:00, 264.0, None,95.0,33
12.3, None, 0.254, 10.1, None,2017-08-13 00:15:00, 267.0, None,95.0,33
12.2, None, 0.508, 6.6, None,2017-08-13 00:30:00, 284.0, None,96.0,33
12.3, None, 0.254, 1.5, None,2017-08-13 00:45:00, 14.0, None,96.0,33
12.3, 2.0, 0.508, 1.5, 0.002,2017-08-13 01:00:00, 10.0, None,97.0,33
12.3, None, 0.255, 0.0, None,2017-08-13 01:15:00, 329.0, None,97.0,33
12.4, None, 0.254, 1.7, None,2017-08-13 01:30:00, 296.0, None,97.0,33
12.4, None, 0.254, 0.3, None,2017-08-13 01:45:00, 331.0, None,97.0,33
12.4, 1.0, 0.254, 3.2, 0.0,2017-08-13 02:00:00, 2.0, None,97.0,33
12.4, None, 0.254, 3.2, None,2017-08-13 02:15:00, 43.0, None,97.0,33
12.4, None, 0.0, 5.3, None,2017-08-13 02:30:00, 268.0, None,97.0,33
12.4, None, 0.0, 8.4, None,2017-08-13 02:45:00, 248.0, None,96.0,33
12.3, 0.0, 0.0, 7.7, 0.0,2017-08-13 03:00:00, 251.0, None,96.0,33
12.2, None, 0.0, 12.4, None,2017-08-13 03:15:00, 257.0, None,96.0,33
12.2, None, 0.0, 10.7, None,2017-08-13 03:30:00, 258.0, None,96.0,33
12.2, None, 0.254, 11.1, None,2017-08-13 03:45:00, 268.0, None,96.0,33
12.1, 1.0, 0.0, 10.0, 0.0,2017-08-13 04:00:00, 256.0, None,96.0,33
12.1, None, 0.0, 11.4, None,2017-08-13 04:15:00, 259.0, None,96.0,33
12.0, None, 0.0, 11.9, None,2017-08-13 04:30:00, 258.0, None,96.0,33
11.9, None, 0.0, 12.2, None,2017-08-13 04:45:00, 259.0, None,96.0,33
11.8, 0.0, 0.0, 6.8, 0.0,2017-08-13 05:00:00, 280.0, None,96.0,33
11.8, None, 0.0, 4.5, None,2017-08-13 05:15:00, 294.0, None,97.0,33
11.8, None, 0.0, 3.3, None,2017-08-13 05:30:00, 283.0, None,96.0,33
11.8, None, 0.0, 6.8, None,2017-08-13 05:45:00, 311.0, None,93.0,33
12.0, -1.0, 0.0, 7.5, 0.0,2017-08-13 06:00:00, 297.0, None,92.0,33
12.2, None, 0.0, 15.2, None,2017-08-13 06:15:00, 278.0, None,86.0,33
12.4, None, 0.0, 17.3, None,2017-08-13 06:30:00, 272.0, None,84.0,33
12.3, None, 0.0, 13.3, None,2017-08-13 06:45:00, 275.0, None,87.0,33
12.2, 1.0, 0.0, 13.8, 0.0,2017-08-13 07:00:00, 275.0, None,86.0,33
12.1, None, 0.0, 17.7, None,2017-08-13 07:15:00, 271.0, None,86.0,33
11.9, None, 0.0, 21.2, None,2017-08-13 07:30:00, 279.0, None,85.0,33
11.7, None, 0.0, 24.5, None,2017-08-13 07:45:00, 276.0, None,83.0,33
12.1, -1.0, 0.0, 19.3, 0.0,2017-08-13 08:00:00, 280.0, None,82.0,33
12.0, None, 0.0, 17.9, None,2017-08-13 08:15:00, 281.0, None,83.0,33
12.1, None, 0.0, 21.9, None,2017-08-13 08:30:00, 272.0, None,82.0,33
12.5, None, 0.0, 22.0, None,2017-08-13 08:45:00, 274.0, None,79.0,33
12.4, -1.0, 0.0, 21.1, 0.0,2017-08-13 09:00:00, 282.0, None,79.0,33
12.8, None, 0.0, 21.1, None,2017-08-13 09:15:00, 280.0, None,77.0,33
13.2, None, 0.0, 19.4, None,2017-08-13 09:30:00, 285.0, None,75.0,33
13.5, None, 0.0, 22.8, None,2017-08-13 09:45:00, 278.0, None,73.0,33
13.9, 1.0, 0.0, 21.1, 0.0,2017-08-13 10:00:00, 277.0, None,72.0,33
13.9, None, 0.0, 21.9, None,2017-08-13 10:15:00, 282.0, None,74.0,33
13.7, None, 0.0, 21.7, None,2017-08-13 10:30:00, 285.0, None,69.0,33
14.1, None, 0.0, 20.8, None,2017-08-13 10:45:00, 287.0, None,67.0,33
14.5, -1.0, 0.0, 21.9, 0.0,2017-08-13 11:00:00, 291.0, None,66.0,33
14.8, None, 0.0, 22.5, None,2017-08-13 11:15:00, 293.0, None,66.0,33
15.2, None, 0.0, 22.4, None,2017-08-13 11:30:00, 279.0, None,62.0,33
15.7, None, 0.0, 19.2, None,2017-08-13 11:45:00, 293.0, None,60.0,33
16.3, 0.0, 0.0, 16.7, 0.0,2017-08-13 12:00:00, 288.0, None,58.0,33
16.3, None, 0.0, 18.5, None,2017-08-13 12:15:00, 290.0, None,59.0,33
16.2, None, 0.0, 17.7, None,2017-08-13 12:30:00, 284.0, None,58.0,33
16.3, None, 0.0, 22.1, None,2017-08-13 12:45:00, 303.0, None,57.0,33
15.9, 0.0, 0.0, 19.7, 0.0,2017-08-13 13:00:00, 283.0, None,57.0,33
16.5, None, 0.0, 21.4, None,2017-08-13 13:15:00, 290.0, None,54.0,33
16.8, None, 0.0, 20.6, None,2017-08-13 13:30:00, 292.0, None,53.0,33
16.7, None, 0.0, 20.8, None,2017-08-13 13:45:00, 291.0, None,52.0,33
17.0, 0.0, 0.0, 18.7, 0.0,2017-08-13 14:00:00, 293.0, None,52.0,33
17.3, None, 0.0, 16.5, None,2017-08-13 14:15:00, 286.0, None,50.0,33
16.7, None, 0.0, 23.1, None,2017-08-13 14:30:00, 286.0, None,50.0,33
17.1, None, 0.0, 20.5, None,2017-08-13 14:45:00, 287.0, None,50.0,33
17.3, -2.0, 0.0, 20.4, 0.001,2017-08-13 15:00:00, 293.0, None,50.0,33
