AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,snw_dpth,HEIGHT_OF_SNOW,stn_pres
,0.3, None,2020-02-19,-16.9,-1.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2020-02-20,-15.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2020-02-21,-14.8,2.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6, None,2020-02-22,-12.5,-1.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.8, None,2020-02-23,-8.4,-1.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3, None,2020-02-24,-8.0,-2.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.3, None,2020-02-25,-13.4,-2.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 00:00:00, None, None,8, 302.0, 594.0, None, None, -6.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 01:00:00, None, None,8, 302.0, 594.0, None, None, -7.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 02:00:00, None, None,8, 302.0, 594.0, None, None, -9.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 03:00:00, None, None,8, 302.0, 594.0, None, None, -12.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 04:00:00, None, None,8, 302.0, 594.0, None, None, -14.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 05:00:00, None, None,8, 303.0, 594.0, None, None, -14.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 06:00:00, None, None,8, 303.0, 594.0, None, None, -14.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 07:00:00, None, None,8, 303.0, 594.0, None, None, -15.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 08:00:00, None, None,8, 303.0, 594.0, None, None, -15.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 09:00:00, None, None,8, 303.0, 594.0, None, None, -15.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 10:00:00, None, None,8, 303.0, 594.0, None, None, -15.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 11:00:00, None, None,8, 303.0, 594.0, None, None, -16.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 12:00:00, None, None,8, 303.0, 594.0, None, None, -16.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 13:00:00, None, None,8, 303.0, 594.0, None, None, -16.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 14:00:00, None, None,8, 303.0, 594.0, None, None, -16.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 15:00:00, None, None,8, 303.0, 594.0, None, None, -16.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 16:00:00, None, None,8, 303.0, 594.0, 285.0, None, -16.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 17:00:00, None, None,8, 303.0, 593.0, None, None, -13.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 18:00:00, None, None,8, 303.0, 593.0, None, None, -9.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 19:00:00, None, None,8, 303.0, 593.0, None, None, -5.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 20:00:00, None, None,8, 303.0, 593.0, None, None, -2.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 21:00:00, None, None,8, 302.0, 593.0, None, None, -2.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 22:00:00, None, None,8, 302.0, 593.0, None, None, -3.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-19 23:00:00, None, None,8, 302.0, 594.0, None, None, -3.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 02:00:00, None, None,8, 302.0, 594.0, None, None, -11.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 03:00:00, None, None,8, 302.0, 594.0, None, None, -12.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 04:00:00, None, None,8, 303.0, 594.0, None, None, -12.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 07:00:00, None, None,8, 303.0, 594.0, None, None, -13.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 13:00:00, None, None,8, 303.0, 593.0, None, None, -14.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 14:00:00, None, None,8, 303.0, 593.0, None, None, -14.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 15:00:00, None, None,8, 303.0, 593.0, None, None, -14.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 16:00:00, None, None,8, 303.0, 593.0, 285.0, None, -14.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 18:00:00, None, None,8, 303.0, 593.0, None, None, -7.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 19:00:00, None, None,8, 303.0, 593.0, None, None, -5.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 20:00:00, None, None,8, 302.0, 593.0, None, None, -2.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 21:00:00, None, None,8, 302.0, 593.0, None, None, 0.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 22:00:00, None, None,8, 302.0, 593.0, None, None, -1.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-20 23:00:00, None, None,8, 302.0, 593.0, None, None, -1.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 00:00:00, None, None,8, 302.0, 593.0, None, None, -4.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 01:00:00, None, None,8, 302.0, 594.0, None, None, -7.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 02:00:00, None, None,8, 302.0, 594.0, None, None, -9.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 03:00:00, None, None,8, 302.0, 594.0, None, None, -11.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 04:00:00, None, None,8, 303.0, 594.0, None, None, -11.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 05:00:00, None, None,8, 303.0, 594.0, None, None, -12.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 06:00:00, None, None,8, 303.0, 594.0, None, None, -13.3,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 07:00:00, None, None,8, 303.0, 594.0, None, None, -13.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 08:00:00, None, None,8, 303.0, 594.0, None, None, -13.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 09:00:00, None, None,8, 303.0, 594.0, None, None, -14.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 10:00:00, None, None,8, 303.0, 593.0, None, None, -14.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 11:00:00, None, None,8, 303.0, 593.0, None, None, -14.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 12:00:00, None, None,8, 303.0, 593.0, None, None, -14.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 13:00:00, None, None,8, 303.0, 593.0, None, None, -13.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 14:00:00, None, None,8, 303.0, 593.0, None, None, -14.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 15:00:00, None, None,8, 303.0, 593.0, None, None, -14.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 16:00:00, None, None,8, 303.0, 593.0, 281.0, None, -11.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 17:00:00, None, None,8, 303.0, 593.0, None, None, -9.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 18:00:00, None, None,8, 303.0, 593.0, None, None, -5.8,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 19:00:00, None, None,8, 303.0, 593.0, None, None, -4.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 20:00:00, None, None,8, 303.0, 593.0, None, None, -1.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 21:00:00, None, None,8, 302.0, 593.0, None, None, 0.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-21 22:00:00, None, None,8, 302.0, 593.0, None, None, -0.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 00:00:00, None, None,8, 302.0, 593.0, None, None, -2.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 02:00:00, None, None,8, 302.0, 594.0, None, None, -6.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 03:00:00, None, None,8, 302.0, 594.0, None, None, -5.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 04:00:00, None, None,8, 302.0, 594.0, None, None, -5.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 10:00:00, None, None,8, 303.0, 594.0, None, None, -5.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 16:00:00, None, None,8, None, None, 277.0, None, None,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 20:00:00, None, None,8, 307.0, 600.0, None, None, -3.5,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 21:00:00, None, None,8, 307.0, 600.0, None, None, -3.1,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 22:00:00, None, None,8, 307.0, 600.0, None, None, -3.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-22 23:00:00, None, None,8, 307.0, 601.0, None, None, -1.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 00:00:00, None, None,8, 307.0, 601.0, None, None, -3.9,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 01:00:00, None, None,8, 307.0, 601.0, None, None, -6.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 02:00:00, None, None,8, 307.0, 601.0, None, None, -10.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 03:00:00, None, None,8, 307.0, 601.0, None, None, -11.6,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 04:00:00, None, None,8, 308.0, 601.0, None, None, -12.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 05:00:00, None, None,8, 308.0, 601.0, None, None, -12.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 06:00:00, None, None,8, 308.0, 601.0, None, None, -10.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 07:00:00, None, None,8, 308.0, 601.0, None, None, -9.2,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 08:00:00, None, None,8, 308.0, 601.0, None, None, -8.4,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 09:00:00, None, None,8, 308.0, 601.0, None, None, -8.0,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 10:00:00, None, None,8, 308.0, 601.0, None, None, -7.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 11:00:00, None, None,8, 308.0, 601.0, None, None, -7.7,,,,,,,,,,,,,,,,,,,,,
,,,2020-02-23 12:00:00, None, None,8, 308.0, 601.0, None, None, -7.4,,,,,,,,,,,,,,,,,,,,,
