station_observations
SolarRadiation, AirTemperature, Precipitation, Rain, WindSpeed, SnowDepth, time, WindDirection, RelativeHumidity
None, -4.4, -1.0, 0.0, 4.1, None, 2017-01-01 00:00:00, 295.0, 95.0
None, -4.7, None, 0.0, 3.9, None, 2017-01-01 00:15:00, 298.0, 95.0
None, -4.7, None, 0.0, 3.1, None, 2017-01-01 00:30:00, 321.0, 95.0
None, -4.8, None, 0.0, 3.6, None, 2017-01-01 00:45:00, 317.0, 95.0
None, -4.7, -1.0, 0.0, 2.1, None, 2017-01-01 01:00:00, 58.0, 95.0
None, -4.8, None, 0.0, 2.0, None, 2017-01-01 01:15:00, 354.0, 95.0
None, -5.0, None, 0.0, 1.5, None, 2017-01-01 01:30:00, 306.0, 95.0
None, -4.8, None, 0.0, 2.6, None, 2017-01-01 01:45:00, 17.0, 95.0
None, -4.6, 0.0, 0.0, 1.3, None, 2017-01-01 02:00:00, 35.0, 95.0
None, -5.0, None, 0.0, 1.1, None, 2017-01-01 02:15:00, 17.0, 94.0
None, -5.1, None, 0.0, 0.6, None, 2017-01-01 02:30:00, 32.0, 94.0
None, -5.1, None, 0.0, 1.0, None, 2017-01-01 02:45:00, 257.0, 95.0
None, -4.8, -1.0, 0.0, 4.3, None, 2017-01-01 03:00:00, 326.0, 96.0
None, -4.5, None, 0.0, 3.3, None, 2017-01-01 03:15:00, 284.0, 96.0
None, -4.1, None, 0.0, 4.9, None, 2017-01-01 03:30:00, 307.0, 96.0
None, -3.4, None, 0.0, 7.7, None, 2017-01-01 03:45:00, 327.0, 97.0
None, -2.8, 1.0, 0.0, 11.1, None, 2017-01-01 04:00:00, 329.0, 97.0
None, -2.5, None, 0.0, 10.8, None, 2017-01-01 04:15:00, 336.0, 97.0
None, -2.3, None, 0.0, 10.6, None, 2017-01-01 04:30:00, 335.0, 97.0
None, -2.2, None, 0.0, 10.1, None, 2017-01-01 04:45:00, 338.0, 97.0
None, -2.0, 1.0, 0.0, 9.1, None, 2017-01-01 05:00:00, 335.0, 97.0
None, -2.0, None, 0.0, 8.6, None, 2017-01-01 05:15:00, 343.0, 97.0
None, -2.0, None, 0.0, 8.2, None, 2017-01-01 05:30:00, 329.0, 97.0
None, -2.0, None, 0.0, 10.1, None, 2017-01-01 05:45:00, 342.0, 97.0
None, -1.9, 3.0, 0.0, 8.3, None, 2017-01-01 06:00:00, 342.0, 97.0
None, -1.8, None, 0.0, 8.1, None, 2017-01-01 06:15:00, 348.0, 97.0
None, -1.8, None, 0.0, 8.7, None, 2017-01-01 06:30:00, 2.0, 97.0
None, -1.9, None, 0.0, 8.9, None, 2017-01-01 06:45:00, 353.0, 96.0
None, -2.0, 2.0, 0.0, 10.3, None, 2017-01-01 07:00:00, 341.0, 96.0
None, -2.1, None, 0.0, 8.6, None, 2017-01-01 07:15:00, 344.0, 96.0
None, -2.2, None, 0.0, 10.1, None, 2017-01-01 07:30:00, 330.0, 96.0
None, -2.3, None, 0.0, 8.3, None, 2017-01-01 07:45:00, 349.0, 95.0
None, -2.4, 0.0, 0.0, 12.4, None, 2017-01-01 08:00:00, 336.0, 95.0
None, -2.3, None, 0.0, 13.7, None, 2017-01-01 08:15:00, 341.0, 94.0
None, -2.2, None, 0.0, 12.5, None, 2017-01-01 08:30:00, 345.0, 94.0
None, -2.2, None, 0.0, 12.2, None, 2017-01-01 08:45:00, 333.0, 93.0
None, -2.1, -1.0, 0.0, 14.2, None, 2017-01-01 09:00:00, 339.0, 93.0
None, -1.9, None, 0.0, 13.4, None, 2017-01-01 09:15:00, 336.0, 93.0
None, -1.7, None, 0.0, 13.5, None, 2017-01-01 09:30:00, 337.0, 92.0
None, -1.7, None, 0.0, 10.9, None, 2017-01-01 09:45:00, 339.0, 91.0
None, -1.5, 0.0, 0.0, 11.5, None, 2017-01-01 10:00:00, 341.0, 89.0
None, -1.5, None, 0.0, 11.3, None, 2017-01-01 10:15:00, 337.0, 89.0
None, -1.3, None, 0.0, 10.3, None, 2017-01-01 10:30:00, 345.0, 88.0
None, -1.4, None, 0.0, 9.1, None, 2017-01-01 10:45:00, 338.0, 84.0
None, -1.4, 0.0, 0.0, 9.9, None, 2017-01-01 11:00:00, 347.0, 82.0
None, -1.0, None, 0.0, 7.4, None, 2017-01-01 11:15:00, 359.0, 80.0
None, -1.0, None, 0.0, 10.9, None, 2017-01-01 11:30:00, 6.0, 72.0
None, -0.6, None, 0.0, 6.8, None, 2017-01-01 11:45:00, 358.0, 69.0
None, -0.3, 0.0, 0.0, 7.7, None, 2017-01-01 12:00:00, 12.0, 67.0
None, -0.6, None, 0.0, 9.0, None, 2017-01-01 12:15:00, 1.0, 63.0
None, -0.8, None, 0.0, 10.3, None, 2017-01-01 12:30:00, 354.0, 67.0
None, -0.8, None, 0.0, 9.3, None, 2017-01-01 12:45:00, 354.0, 62.0
None, -0.8, 0.0, 0.0, 10.3, None, 2017-01-01 13:00:00, 346.0, 62.0
None, -0.5, None, 0.0, 10.2, None, 2017-01-01 13:15:00, 349.0, 62.0
None, -0.3, None, 0.0, 11.4, None, 2017-01-01 13:30:00, 357.0, 59.0
None, -0.6, None, 0.0, 11.2, None, 2017-01-01 13:45:00, 347.0, 61.0
None, -1.2, 0.0, 0.26, 9.1, None, 2017-01-01 14:00:00, 4.0, 62.0
None, -1.4, None, 0.0, 9.3, None, 2017-01-01 14:15:00, 345.0, 61.0
None, -1.7, None, 0.0, 7.9, None, 2017-01-01 14:30:00, 349.0, 63.0
None, -1.8, None, 0.0, 8.4, None, 2017-01-01 14:45:00, 350.0, 63.0
None, -1.8, 1.0, 0.0, 10.0, None, 2017-01-01 15:00:00, 5.0, 60.0
None, -1.9, None, 0.0, 7.5, None, 2017-01-01 15:15:00, 5.0, 59.0
None, -2.0, None, 0.0, 11.7, None, 2017-01-01 15:30:00, 352.0, 55.0
None, -2.3, None, 0.0, 9.1, None, 2017-01-01 15:45:00, 326.0, 57.0
None, -2.5, 0.0, 0.0, 8.5, None, 2017-01-01 16:00:00, 349.0, 63.0
None, -2.8, None, 0.0, 10.3, None, 2017-01-01 16:15:00, 332.0, 67.0
None, -3.1, None, 0.0, 9.2, None, 2017-01-01 16:30:00, 329.0, 61.0
None, -2.9, None, 0.0, 7.3, None, 2017-01-01 16:45:00, 333.0, 59.0
None, -2.7, 0.0, 0.0, 9.8, None, 2017-01-01 17:00:00, 354.0, 57.0
None, -2.8, None, 0.0, 9.1, None, 2017-01-01 17:15:00, 341.0, 57.0
None, -2.6, None, 0.0, 12.1, None, 2017-01-01 17:30:00, 353.0, 53.0
None, -2.7, None, 0.0, 13.0, None, 2017-01-01 17:45:00, 8.0, 51.0
None, -2.8, -1.0, 0.0, 12.4, None, 2017-01-01 18:00:00, 356.0, 54.0
None, -2.8, None, 0.0, 12.3, None, 2017-01-01 18:15:00, 360.0, 50.0
None, -2.9, None, 0.0, 11.0, None, 2017-01-01 18:30:00, 3.0, 51.0
None, -3.0, None, 0.0, 10.9, None, 2017-01-01 18:45:00, 349.0, 50.0
None, -3.1, 0.0, 0.0, 10.8, None, 2017-01-01 19:00:00, 341.0, 52.0
None, -3.2, None, 0.0, 9.7, None, 2017-01-01 19:15:00, 345.0, 54.0
None, -3.2, None, 0.0, 10.6, None, 2017-01-01 19:30:00, 347.0, 53.0
None, -3.3, None, 0.0, 8.7, None, 2017-01-01 19:45:00, 353.0, 51.0
None, -3.3, 0.0, 0.0, 11.6, None, 2017-01-01 20:00:00, 358.0, 50.0
None, -3.3, None, 0.0, 13.1, None, 2017-01-01 20:15:00, 347.0, 50.0
None, -3.4, None, 0.0, 10.5, None, 2017-01-01 20:30:00, 357.0, 50.0
None, -3.4, None, 0.0, 11.5, None, 2017-01-01 20:45:00, 5.0, 50.0
None, -3.5, -1.0, 0.0, 10.3, None, 2017-01-01 21:00:00, 359.0, 48.0
None, -3.5, None, 0.0, 10.0, None, 2017-01-01 21:15:00, 356.0, 48.0
None, -3.6, None, 0.0, 11.1, None, 2017-01-01 21:30:00, 356.0, 47.0
None, -3.5, None, 0.0, 12.8, None, 2017-01-01 21:45:00, 5.0, 48.0
None, -3.7, 0.0, 0.0, 10.4, None, 2017-01-01 22:00:00, 354.0, 48.0
None, -3.7, None, 0.0, 10.9, None, 2017-01-01 22:15:00, 10.0, 48.0
None, -3.8, None, 0.0, 13.1, None, 2017-01-01 22:30:00, 9.0, 47.0
None, -3.8, None, 0.0, 11.8, None, 2017-01-01 22:45:00, 16.0, 46.0
None, -4.0, 0.0, 0.0, 8.5, None, 2017-01-01 23:00:00, 350.0, 54.0
None, -4.0, None, 0.0, 9.6, None, 2017-01-01 23:15:00, 347.0, 49.0
None, -4.0, None, 0.0, 11.7, None, 2017-01-01 23:30:00, 349.0, 46.0
None, -4.0, None, 0.0, 10.3, None, 2017-01-01 23:45:00, 15.0, 45.0
None, -4.1, 0.0, 0.0, 9.0, None, 2017-01-02 00:00:00, 18.0, 45.0
None, -4.0, None, 0.0, 10.6, None, 2017-01-02 00:15:00, 0.0, 45.0
None, -4.2, None, 0.0, 11.9, None, 2017-01-02 00:30:00, 359.0, 45.0
None, -4.1, None, 0.0, 12.2, None, 2017-01-02 00:45:00, 17.0, 46.0
None, -4.2, 0.0, 0.0, 11.9, None, 2017-01-02 01:00:00, 8.0, 46.0
None, -4.2, None, 0.0, 13.0, None, 2017-01-02 01:15:00, 13.0, 46.0
None, -4.3, None, 0.0, 13.9, None, 2017-01-02 01:30:00, 18.0, 46.0
None, -4.2, None, 0.0, 13.7, None, 2017-01-02 01:45:00, 14.0, 46.0
None, -4.3, 0.0, 0.0, 13.7, None, 2017-01-02 02:00:00, 12.0, 46.0
None, -4.3, None, 0.0, 13.1, None, 2017-01-02 02:15:00, 12.0, 46.0
None, -4.4, None, 0.0, 8.8, None, 2017-01-02 02:30:00, 2.0, 47.0
None, -4.5, None, 0.0, 11.4, None, 2017-01-02 02:45:00, 9.0, 47.0
None, -4.5, 0.0, 0.0, 10.4, None, 2017-01-02 03:00:00, 353.0, 47.0
None, -4.4, None, 0.0, 12.9, None, 2017-01-02 03:15:00, 10.0, 45.0
None, -4.5, None, 0.0, 12.4, None, 2017-01-02 03:30:00, 8.0, 47.0
None, -4.5, None, 0.0, 13.1, None, 2017-01-02 03:45:00, 352.0, 46.0
None, -4.5, -1.0, 0.0, 14.8, None, 2017-01-02 04:00:00, 21.0, 46.0
None, -4.6, None, 0.0, 10.1, None, 2017-01-02 04:15:00, 346.0, 47.0
None, -4.7, None, 0.0, 10.5, None, 2017-01-02 04:30:00, 354.0, 47.0
None, -4.6, None, 0.0, 13.7, None, 2017-01-02 04:45:00, 11.0, 45.0
None, -4.7, 0.0, 0.0, 12.4, None, 2017-01-02 05:00:00, 2.0, 45.0
None, -4.7, None, 0.0, 11.0, None, 2017-01-02 05:15:00, 5.0, 45.0
None, -4.8, None, 0.0, 12.6, None, 2017-01-02 05:30:00, 5.0, 46.0
None, -4.7, None, 0.0, 11.9, None, 2017-01-02 05:45:00, 14.0, 46.0
None, -4.8, 0.0, 0.0, 11.9, None, 2017-01-02 06:00:00, 360.0, 47.0
None, -4.8, None, 0.0, 9.6, None, 2017-01-02 06:15:00, 354.0, 47.0
None, -4.8, None, 0.0, 9.5, None, 2017-01-02 06:30:00, 4.0, 47.0
None, -4.8, None, 0.0, 9.1, None, 2017-01-02 06:45:00, 353.0, 47.0
None, -4.7, 0.0, 0.0, 10.4, None, 2017-01-02 07:00:00, 18.0, 45.0
None, -4.8, None, 0.0, 9.0, None, 2017-01-02 07:15:00, 15.0, 47.0
None, -4.9, None, 0.0, 9.9, None, 2017-01-02 07:30:00, 12.0, 46.0
None, -4.9, None, 0.0, 10.7, None, 2017-01-02 07:45:00, 4.0, 45.0
None, -5.1, 0.0, 0.0, 7.6, None, 2017-01-02 08:00:00, 360.0, 47.0
None, -4.9, None, 0.0, 9.2, None, 2017-01-02 08:15:00, 20.0, 43.0
None, -5.0, None, 0.0, 11.1, None, 2017-01-02 08:30:00, 9.0, 41.0
None, -5.0, None, 0.0, 11.1, None, 2017-01-02 08:45:00, 15.0, 42.0
None, -5.0, 0.0, 0.0, 12.3, None, 2017-01-02 09:00:00, 8.0, 42.0
None, -4.9, None, 0.0, 15.2, None, 2017-01-02 09:15:00, 10.0, 42.0
None, -4.8, None, 0.0, 10.7, None, 2017-01-02 09:30:00, 6.0, 40.0
None, -4.7, None, 0.0, 11.3, None, 2017-01-02 09:45:00, 360.0, 41.0
None, -4.6, 0.0, 0.0, 9.6, None, 2017-01-02 10:00:00, 355.0, 39.0
None, -4.5, None, 0.0, 9.8, None, 2017-01-02 10:15:00, 359.0, 40.0
None, -4.5, None, 0.0, 12.7, None, 2017-01-02 10:30:00, 2.0, 40.0
None, -4.4, None, 0.0, 12.9, None, 2017-01-02 10:45:00, 348.0, 40.0
None, -4.3, 1.0, 0.0, 12.7, None, 2017-01-02 11:00:00, 10.0, 40.0
None, -4.2, None, 0.0, 11.6, None, 2017-01-02 11:15:00, 4.0, 42.0
None, -4.1, None, 0.0, 9.1, None, 2017-01-02 11:30:00, 358.0, 41.0
None, -4.0, None, 0.0, 11.2, None, 2017-01-02 11:45:00, 5.0, 42.0
None, -3.9, 0.0, 0.0, 9.5, None, 2017-01-02 12:00:00, 4.0, 41.0
None, -3.9, None, 0.0, 14.4, None, 2017-01-02 12:15:00, 1.0, 41.0
None, -3.8, None, 0.0, 13.4, None, 2017-01-02 12:30:00, 351.0, 40.0
None, -3.7, None, 0.0, 12.6, None, 2017-01-02 12:45:00, 15.0, 38.0
None, -3.7, 0.0, 0.0, 10.2, None, 2017-01-02 13:00:00, 9.0, 39.0
None, -3.7, None, 0.0, 12.9, None, 2017-01-02 13:15:00, 37.0, 39.0
None, -3.7, None, 0.0, 8.6, None, 2017-01-02 13:30:00, 37.0, 38.0
None, -3.5, None, 0.0, 9.1, None, 2017-01-02 13:45:00, 0.0, 39.0
None, -3.4, 1.0, 0.0, 9.4, None, 2017-01-02 14:00:00, 18.0, 39.0
None, -3.6, None, 0.0, 10.6, None, 2017-01-02 14:15:00, 6.0, 39.0
None, -3.7, None, 0.0, 10.4, None, 2017-01-02 14:30:00, 15.0, 39.0
None, -3.7, None, 0.0, 9.9, None, 2017-01-02 14:45:00, 21.0, 39.0
None, -3.8, 0.0, 0.0, 8.3, None, 2017-01-02 15:00:00, 23.0, 39.0
None, -3.8, None, 0.0, 10.7, None, 2017-01-02 15:15:00, 42.0, 40.0
None, -3.8, None, 0.0, 10.1, None, 2017-01-02 15:30:00, 45.0, 42.0
None, -3.9, None, 0.0, 9.2, None, 2017-01-02 15:45:00, 5.0, 40.0
None, -4.1, 0.0, 0.0, 9.9, None, 2017-01-02 16:00:00, 26.0, 39.0
None, -4.3, None, 0.0, 9.1, None, 2017-01-02 16:15:00, 39.0, 40.0
None, -4.5, None, 0.0, 9.6, None, 2017-01-02 16:30:00, 34.0, 40.0
None, -4.7, None, 0.0, 8.0, None, 2017-01-02 16:45:00, 33.0, 41.0
None, -4.8, -1.0, 0.0, 9.0, None, 2017-01-02 17:00:00, 17.0, 41.0
None, -4.8, None, 0.0, 9.3, None, 2017-01-02 17:15:00, 23.0, 41.0
None, -4.8, None, 0.0, 9.2, None, 2017-01-02 17:30:00, 28.0, 41.0
None, -4.8, None, 0.0, 10.3, None, 2017-01-02 17:45:00, 12.0, 41.0
None, -4.9, -1.0, 0.0, 40.4, None, 2017-01-02 18:00:00, 34.0, 42.0
None, -5.0, None, 0.0, 7.7, None, 2017-01-02 18:15:00, 44.0, 41.0
None, -5.0, None, 0.0, 9.6, None, 2017-01-02 18:30:00, 34.0, 41.0
None, -5.1, None, 0.0, 9.9, None, 2017-01-02 18:45:00, 46.0, 41.0
None, -5.2, 0.0, 0.0, 9.2, None, 2017-01-02 19:00:00, 43.0, 42.0
None, -5.3, None, 0.0, 7.3, None, 2017-01-02 19:15:00, 59.0, 42.0
None, -5.3, None, 0.0, 10.0, None, 2017-01-02 19:30:00, 49.0, 41.0
None, -5.4, None, 0.0, 9.1, None, 2017-01-02 19:45:00, 57.0, 41.0
None, -5.5, 0.0, 0.0, 10.9, None, 2017-01-02 20:00:00, 67.0, 41.0
None, -5.6, None, 0.0, 8.7, None, 2017-01-02 20:15:00, 58.0, 42.0
None, -5.7, None, 0.0, 6.4, None, 2017-01-02 20:30:00, 93.0, 42.0
None, -5.6, None, 0.0, 8.4, None, 2017-01-02 20:45:00, 86.0, 42.0
None, -5.6, 0.0, 0.0, 7.9, None, 2017-01-02 21:00:00, 77.0, 42.0
None, -5.7, None, 0.0, 7.4, None, 2017-01-02 21:15:00, 59.0, 43.0
None, -5.8, None, 0.0, 7.0, None, 2017-01-02 21:30:00, 84.0, 43.0
None, -5.8, None, 0.0, 6.8, None, 2017-01-02 21:45:00, 83.0, 43.0
None, -5.7, -1.0, 0.0, 8.8, None, 2017-01-02 22:00:00, 75.0, 43.0
None, -5.8, None, 0.0, 7.3, None, 2017-01-02 22:15:00, 88.0, 43.0
