CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 0.871, 97.2, None,2016-02-19 00:00:00, None, None,17.25, 15.29,156.0, None, None, None, None, None, 45.13,8
None, 0.746, 97.2, None,2016-02-19 01:00:00, None, None,15.17, 17.55,157.0, None, None, None, None, None, 45.12,8
None, 0.602, 97.1, None,2016-02-19 02:00:00, None, None,14.46, 16.98,156.2, None, None, None, None, None, 45.09,8
None, 0.475, 97.2, None,2016-02-19 03:00:00, None, None,17.29, 17.64,160.0, None, None, None, None, None, 45.08,8
None, 0.207, 97.1, None,2016-02-19 04:00:00, None, None,17.03, 16.83,166.6, None, None, None, None, None, 45.12,8
None, 0.007, 96.9, None,2016-02-19 05:00:00, None, None,13.35, 15.42,162.5, None, None, None, None, None, 45.04,8
None, -0.067, 96.7, None,2016-02-19 06:00:00, None, None,10.47, 12.59,140.6, None, None, None, None, None, 44.95,8
None, 0.148, 96.6, None,2016-02-19 07:00:00, None, None,12.8, 9.82,166.0, None, None, None, None, None, 45.06,8
None, 0.25, 95.9, None,2016-02-19 08:00:00, None, None,17.83, 7.009,189.0, None, None, None, None, None, 44.97,8
None, 0.589, 95.6, None,2016-02-19 09:00:00, None, None,9.24, 7.577,176.4, None, None, None, None, None, 44.92,8
None, 1.853, 94.6, None,2016-02-19 10:00:00, None, None,22.27, 4.692,175.9, None, None, None, None, None, 44.87,8
None, 2.539, 94.3, None,2016-02-19 11:00:00, None, None,76.05, 1.228,228.7, None, None, None, None, None, 44.98,8
None, 2.649, 92.4, None,2016-02-19 12:00:00, None, None,30.33, 1.973,178.8, None, None, None, None, None, 45.07,8
None, 3.378, 92.1, None,2016-02-19 13:00:00, None, None,58.78, 1.427,328.5, None, None, None, None, None, 44.5,8
None, 3.772, 92.5, None,2016-02-19 14:00:00, None, None,65.95, 1.471,236.5, None, None, None, None, None, 44.72,8
None, 1.271, 95.5, None,2016-02-19 15:00:00, None, None,25.26, 9.16,166.1, None, None, None, None, None, 44.79,8
None, 1.26, 96.4, None,2016-02-19 16:00:00, None, None,14.29, 13.94,154.2, None, None, None, None, None, 44.82,8
None, 1.391, 96.7, None,2016-02-19 17:00:00, None, None,17.41, 14.59,156.4, None, None, None, None, None, 44.95,8
None, 1.285, 96.9, None,2016-02-19 18:00:00, None, None,18.02, 15.91,167.6, None, None, None, None, None, 44.82,8
None, 0.884, 96.8, None,2016-02-19 19:00:00, None, None,21.66, 17.16,169.1, None, None, None, None, None, 44.84,8
None, 0.303, 95.4, None,2016-02-19 20:00:00, None, None,18.74, 16.04,177.8, None, None, None, None, None, 44.78,8
None, 0.027, 96.6, None,2016-02-19 21:00:00, None, None,18.41, 17.94,175.5, None, None, None, None, None, 44.84,8
None, -0.194, 96.9, None,2016-02-19 22:00:00, None, None,19.39, 21.58,176.1, None, None, None, None, None, 44.86,8
None, -0.325, 97.0, None,2016-02-19 23:00:00, None, None,18.42, 20.68,170.6, None, None, None, None, None, 44.81,8
None, -0.648, 96.9, None,2016-02-20 00:00:00, None, None,18.63, 20.4,167.5, None, None, None, None, None, 44.73,8
None, -0.97, 96.7, None,2016-02-20 01:00:00, None, None,18.78, 20.44,174.0, None, None, None, None, None, 44.53,8
None, -1.147, 96.4, None,2016-02-20 02:00:00, None, None,16.64, 17.79,171.5, None, None, None, None, None, 44.45,8
None, -1.312, 96.3, None,2016-02-20 03:00:00, None, None,15.99, 19.36,170.1, None, None, None, None, None, 44.12,8
None, -1.404, 96.3, None,2016-02-20 04:00:00, None, None,18.88, 18.41,170.0, None, None, None, None, None, 44.4,8
None, -1.5, 96.2, None,2016-02-20 05:00:00, None, None,17.83, 15.83,169.8, None, None, None, None, None, 44.42,8
None, -1.532, 96.1, None,2016-02-20 06:00:00, None, None,13.82, 16.31,159.6, None, None, None, None, None, 44.44,8
None, -1.479, 96.1, None,2016-02-20 07:00:00, None, None,14.56, 16.19,158.5, None, None, None, None, None, 44.44,8
None, -1.334, 96.1, None,2016-02-20 08:00:00, None, None,18.74, 16.03,164.9, None, None, None, None, None, 44.78,8
None, -1.216, 96.1, None,2016-02-20 09:00:00, None, None,17.1, 17.08,168.3, None, None, None, None, None, 44.77,8
None, -0.881, 95.8, None,2016-02-20 10:00:00, None, None,15.9, 15.84,164.9, None, None, None, None, None, 44.7,8
None, -0.388, 96.0, None,2016-02-20 11:00:00, None, None,14.88, 14.26,163.0, None, None, None, None, None, 44.37,8
None, 0.148, 95.5, None,2016-02-20 12:00:00, None, None,16.88, 14.59,162.1, None, None, None, None, None, 44.39,8
None, 0.358, 95.2, None,2016-02-20 13:00:00, None, None,18.23, 12.44,166.8, None, None, None, None, None, 44.42,8
None, 0.252, 95.9, None,2016-02-20 14:00:00, None, None,16.48, 14.14,163.0, None, None, None, None, None, 44.37,8
None, 0.733, 94.1, None,2016-02-20 15:00:00, None, None,19.38, 13.24,165.9, None, None, None, None, None, 44.57,8
None, 0.489, 93.0, None,2016-02-20 16:00:00, None, None,19.8, 12.11,162.7, None, None, None, None, None, 44.48,8
None, -0.323, 95.1, None,2016-02-20 17:00:00, None, None,15.96, 12.19,165.4, None, None, None, None, None, 44.57,8
None, -0.667, 90.6, None,2016-02-20 18:00:00, None, None,13.58, 11.58,164.8, None, None, None, None, None, 44.48,8
None, -1.074, 92.0, None,2016-02-20 19:00:00, None, None,10.08, 12.03,159.7, None, None, None, None, None, 44.48,8
None, -1.183, 91.9, None,2016-02-20 20:00:00, None, None,11.5, 8.11,168.4, None, None, None, None, None, 44.25,8
None, -1.146, 86.2, None,2016-02-20 21:00:00, None, None,32.71, 6.856,168.3, None, None, None, None, None, 44.25,8
None, -1.965, 90.3, None,2016-02-20 22:00:00, None, None,19.94, 6.591,49.38, None, None, None, None, None, 44.13,8
None, -2.453, 89.7, None,2016-02-20 23:00:00, None, None,13.1, 7.293,52.28, None, None, None, None, None, 44.19,8
None, -2.756, 92.2, None,2016-02-21 00:00:00, None, None,16.46, 6.417,36.09, None, None, None, None, None, 44.12,8
None, -2.741, 92.9, None,2016-02-21 01:00:00, None, None,10.35, 9.07,23.56, None, None, None, None, None, 44.17,8
None, -2.936, 92.1, None,2016-02-21 02:00:00, None, None,10.65, 10.18,24.63, None, None, None, None, None, 44.12,8
None, -3.03, 94.1, None,2016-02-21 03:00:00, None, None,12.37, 10.92,23.05, None, None, None, None, None, 44.12,8
None, -3.163, 93.8, None,2016-02-21 04:00:00, None, None,12.08, 10.59,25.26, None, None, None, None, None, 44.12,8
None, -3.622, 94.3, None,2016-02-21 05:00:00, None, None,11.01, 11.87,28.35, None, None, None, None, None, 44.12,8
None, -3.791, 92.9, None,2016-02-21 06:00:00, None, None,15.68, 9.62,35.26, None, None, None, None, None, 44.02,8
None, -4.127, 93.4, None,2016-02-21 07:00:00, None, None,16.57, 8.84,33.16, None, None, None, None, None, 43.93,8
None, -4.018, 93.9, None,2016-02-21 08:00:00, None, None,16.39, 9.66,23.71, None, None, None, None, None, 44.05,8
None, -3.226, 91.2, None,2016-02-21 09:00:00, None, None,11.54, 11.05,29.34, None, None, None, None, None, 44.01,8
None, -2.914, 88.3, None,2016-02-21 10:00:00, None, None,31.25, 5.176,3.872, None, None, None, None, None, 44.06,8
None, -1.558, 81.1, None,2016-02-21 11:00:00, None, None,25.74, 4.179,24.32, None, None, None, None, None, 44.11,8
None, -0.114, 78.34, None,2016-02-21 12:00:00, None, None,22.38, 3.048,19.27, None, None, None, None, None, 44.02,8
None, 0.567, 80.8, None,2016-02-21 13:00:00, None, None,52.09, 2.15,23.88, None, None, None, None, None, 43.8,8
None, -0.1, 84.5, None,2016-02-21 14:00:00, None, None,55.2, 2.628,209.9, None, None, None, None, None, 44.29,8
None, 0.126, 84.7, None,2016-02-21 15:00:00, None, None,23.94, 7.889,166.9, None, None, None, None, None, 44.44,8
None, -0.014, 87.2, None,2016-02-21 16:00:00, None, None,24.1, 3.954,190.2, None, None, None, None, None, 44.43,8
None, -0.581, 94.6, None,2016-02-21 17:00:00, None, None,17.92, 9.62,164.1, None, None, None, None, None, 44.16,8
None, -1.055, 95.4, None,2016-02-21 18:00:00, None, None,17.91, 12.98,156.2, None, None, None, None, None, 44.66,8
None, -1.129, 95.8, None,2016-02-21 19:00:00, None, None,16.32, 19.46,159.6, None, None, None, None, None, 45.0,8
None, -0.921, 96.0, None,2016-02-21 20:00:00, None, None,15.49, 20.26,168.3, None, None, None, None, None, 45.39,8
None, -0.763, 96.2, None,2016-02-21 21:00:00, None, None,15.45, 20.28,165.8, None, None, None, None, None, 45.71,8
None, -0.571, 96.3, None,2016-02-21 22:00:00, None, None,16.96, 18.02,161.0, None, None, None, None, None, 44.36,8
None, -0.582, 96.2, None,2016-02-21 23:00:00, None, None,21.21, 14.86,166.6, None, None, None, None, None, 46.63,8
None, -0.808, 96.2, None,2016-02-22 00:00:00, None, None,22.7, 14.12,161.9, None, None, None, None, None, 47.45,8
None, -0.834, 96.2, None,2016-02-22 01:00:00, None, None,15.01, 15.8,160.2, None, None, None, None, None, 47.21,8
None, -1.057, 96.0, None,2016-02-22 02:00:00, None, None,13.34, 15.33,160.3, None, None, None, None, None, 47.81,8
None, -1.359, 95.9, None,2016-02-22 03:00:00, None, None,19.8, 12.49,148.3, None, None, None, None, None, 47.7,8
None, -1.579, 94.9, None,2016-02-22 04:00:00, None, None,15.99, 9.75,144.4, None, None, None, None, None, 47.84,8
None, -1.444, 95.9, None,2016-02-22 05:00:00, None, None,10.96, 14.56,153.6, None, None, None, None, None, 47.43,8
None, -1.16, 95.7, None,2016-02-22 06:00:00, None, None,16.38, 13.09,162.6, None, None, None, None, None, 47.35,8
None, -1.531, 95.2, None,2016-02-22 07:00:00, None, None,16.1, 11.18,163.0, None, None, None, None, None, 47.16,8
None, -1.389, 94.7, None,2016-02-22 08:00:00, None, None,48.72, 5.117,162.4, None, None, None, None, None, 47.23,8
None, -0.504, 94.9, None,2016-02-22 09:00:00, None, None,73.54, 1.611,313.9, None, None, None, None, None, 47.08,8
None, -0.385, 93.7, None,2016-02-22 10:00:00, None, None,28.48, 4.642,181.9, None, None, None, None, None, 47.28,8
