RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
73.9, None, None, None,1.826,167.9, None, None, -13.0,961.0, None, None, None, None, None, 34.12, None, None,-9.29, None, None, None, None,27.75, None, None, None, None, None,2016-02-19 00:00:00, None,8
73.7, None, None, None,2.386,182.6, None, None, -13.0,963.0, None, None, None, None, None, 34.17, None, None,-9.7, None, None, None, None,16.83, None, None, None, None, None,2016-02-19 01:00:00, None,8
73.1, None, None, None,3.304,181.7, None, None, -13.0,963.0, None, None, None, None, None, 34.2, None, None,-9.9, None, None, None, None,15.63, None, None, None, None, None,2016-02-19 02:00:00, None,8
73.0, None, None, None,2.437,174.7, None, None, -14.0,964.0, None, None, None, None, None, 34.14, None, None,-10.08, None, None, None, None,22.97, None, None, None, None, None,2016-02-19 03:00:00, None,8
71.9, None, None, None,3.516,179.0, None, None, -14.0,964.0, None, None, None, None, None, 34.11, None, None,-10.32, None, None, None, None,16.96, None, None, None, None, None,2016-02-19 04:00:00, None,8
67.55, None, None, None,3.754,161.8, None, None, -15.0,964.0, None, None, None, None, None, 34.06, None, None,-10.55, None, None, None, None,26.91, None, None, None, None, None,2016-02-19 05:00:00, None,8
66.28, None, None, None,3.601,150.4, None, None, -15.0,964.0, None, None, None, None, None, 34.04, None, None,-10.94, None, None, None, None,33.04, None, None, None, None, None,2016-02-19 06:00:00, None,8
62.68, None, None, None,5.223,154.0, None, None, -16.0,965.0, None, None, None, None, None, 33.94, None, None,-11.16, None, None, None, None,27.99, None, None, None, None, None,2016-02-19 07:00:00, None,8
65.9, None, None, None,4.872,172.2, None, None, -16.0,965.0, None, None, None, None, None, 33.92, None, None,-11.73, None, None, None, None,28.05, None, None, None, None, None,2016-02-19 08:00:00, None,8
65.28, None, None, None,4.426,181.0, None, None, -16.0,965.0, None, None, None, None, None, 33.77, None, None,-11.77, None, None, None, None,22.04, None, None, None, None, None,2016-02-19 09:00:00, None,8
59.71, None, None, None,4.516,183.5, None, None, -16.0,965.0, None, None, None, None, None, 33.56, None, None,-10.87, None, None, None, None,17.77, None, None, None, None, None,2016-02-19 10:00:00, None,8
55.17, None, None, None,5.034,189.5, None, None, -16.0,967.0, None, None, None, None, None, 33.37, None, None,-9.97, None, None, None, None,16.3, None, None, None, None, None,2016-02-19 11:00:00, None,8
52.35, None, None, None,3.489,183.0, None, None, -16.0,967.0, None, None, None, None, None, 33.28, None, None,-8.53, None, None, None, None,21.24, None, None, None, None, None,2016-02-19 12:00:00, None,8
51.79, None, None, None,4.636,186.2, None, None, -14.0,967.0, None, None, None, None, None, 33.12, None, None,-6.573, None, None, None, None,21.23, None, None, None, None, None,2016-02-19 13:00:00, None,8
51.82, None, None, None,3.968,190.3, None, None, -14.0,967.0, None, None, None, None, None, 33.33, None, None,-6.269, None, None, None, None,24.23, None, None, None, None, None,2016-02-19 14:00:00, None,8
51.5, None, None, None,4.215,165.1, None, None, -12.0,967.0, None, None, None, None, None, 33.25, None, None,-4.058, None, None, None, None,29.41, None, None, None, None, None,2016-02-19 15:00:00, None,8
51.65, None, None, None,4.502,147.7, None, None, -12.0,967.0, None, None, None, None, None, 33.44, None, None,-4.554, None, None, None, None,30.52, None, None, None, None, None,2016-02-19 16:00:00, None,8
