snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
8.0, None, None,2019-09-10 00:00:00, 9.0, None, None,37
8.0, None, None,2019-09-10 01:00:00, 8.5, None, None,37
8.0, None, None,2019-09-10 02:00:00, 7.9, None, None,37
8.0, None, None,2019-09-10 03:00:00, 7.8, None, None,37
7.0, None, None,2019-09-10 04:00:00, 7.6, None, None,37
7.0, None, None,2019-09-10 05:00:00, 7.4, None, None,37
7.0, None, None,2019-09-10 06:00:00, 7.3, None, None,37
7.0, None, None,2019-09-10 08:00:00, 7.4, None, None,37
7.0, None, None,2019-09-10 10:00:00, 7.3, None, None,37
7.0, None, None,2019-09-10 11:00:00, 7.1, None, None,37
7.0, None, None,2019-09-10 12:00:00, 7.1, None, None,37
7.0, None, None,2019-09-10 13:00:00, 7.0, None, None,37
7.0, None, None,2019-09-10 14:00:00, 7.1, None, None,37
7.0, None, None,2019-09-10 21:00:00, 9.6, None, None,37
8.0, None, None,2019-09-11 00:00:00, 9.2, None, None,37
8.0, None, None,2019-09-11 01:00:00, 9.5, None, None,37
8.0, None, None,2019-09-11 02:00:00, 8.6, None, None,37
8.0, None, None,2019-09-11 03:00:00, 8.1, None, None,37
7.0, None, None,2019-09-11 04:00:00, 7.6, None, None,37
7.0, None, None,2019-09-11 05:00:00, 7.7, None, None,37
7.0, None, None,2019-09-11 06:00:00, 7.6, None, None,37
7.0, None, None,2019-09-11 07:00:00, 7.5, None, None,37
7.0, None, None,2019-09-11 08:00:00, 7.7, None, None,37
7.0, None, None,2019-09-11 10:00:00, 7.9, None, None,37
7.0, None, None,2019-09-11 11:00:00, 7.9, None, None,37
7.0, None, None,2019-09-11 12:00:00, 7.9, None, None,37
7.0, None, None,2019-09-11 13:00:00, 8.0, None, None,37
7.0, None, None,2019-09-11 15:00:00, 8.0, None, None,37
7.0, None, None,2019-09-11 16:00:00, 7.6, None, None,37
7.0, None, None,2019-09-11 22:00:00, 8.7, None, None,37
7.0, None, None,2019-09-11 23:00:00, 8.7, None, None,37
7.0, None, None,2019-09-12 00:00:00, 8.4, None, None,37
7.0, None, None,2019-09-12 01:00:00, 8.3, None, None,37
7.0, None, None,2019-09-12 03:00:00, 7.8, None, None,37
7.0, None, None,2019-09-12 04:00:00, 7.4, None, None,37
7.0, None, None,2019-09-12 06:00:00, 7.3, None, None,37
6.0, None, None,2019-09-12 07:00:00, 7.4, None, None,37
6.0, None, None,2019-09-12 08:00:00, 7.3, None, None,37
6.0, None, None,2019-09-12 09:00:00, 7.3, None, None,37
6.0, None, None,2019-09-12 10:00:00, 7.2, None, None,37
6.0, None, None,2019-09-12 11:00:00, 6.5, None, None,37
6.0, None, None,2019-09-12 12:00:00, 5.8, None, None,37
6.0, None, None,2019-09-12 13:00:00, 5.6, None, None,37
6.0, None, None,2019-09-12 14:00:00, 6.0, None, None,37
6.0, None, None,2019-09-12 15:00:00, 6.9, None, None,37
6.0, None, None,2019-09-12 16:00:00, 7.3, None, None,37
6.0, None, None,2019-09-12 17:00:00, 8.5, None, None,37
6.0, None, None,2019-09-12 18:00:00, 8.3, None, None,37
6.0, None, None,2019-09-12 19:00:00, 10.6, None, None,37
7.0, None, None,2019-09-12 20:00:00, 11.8, None, None,37
