pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 8.68, None, None, None, 3.0, 31.55, None, 0.217, 333.1, -6999.0, 0.2, 8.7, 8.7, 0.5, 333.0, 10.0, None, None, -6999.0, None,2020-08-26 00:00:00, None, None, None, None,35
None, 8.48, None, None, None, 4.2, 66.94, None, 0.832, 295.1, -6999.0, 0.8, 8.5, 8.5, 0.6, 295.0, 10.0, None, None, -6999.0, None,2020-08-26 01:00:00, None, None, None, None,35
None, 8.4, None, None, None, 4.1, 34.61, None, 0.704, 313.1, -6999.0, 0.7, 8.4, 8.4, 0.1, 313.0, 10.0, None, None, -6999.0, None,2020-08-26 02:00:00, None, None, None, None,35
None, 8.29, None, None, None, 3.2, 37.55, None, 0.802, 331.6, -6999.0, 0.8, 8.3, 8.3, 0.9, 332.0, 10.0, None, None, -6999.0, None,2020-08-26 03:00:00, None, None, None, None,35
None, 8.2, None, None, None, 4.0, 23.21, None, 0.94, 333.5, -6999.0, 0.9, 8.2, 8.2, 0.3, 334.0, 10.0, None, None, -6999.0, None,2020-08-26 04:00:00, None, None, None, None,35
None, 8.0, None, None, None, None, 30.22, None, 0.419, 319.5, None, None, None, None, None, None, None, None, None, None, None,2020-08-26 05:00:00, None, None, None, None,35
None, 7.862, None, None, None, 3.4, 32.09, None, 0.576, 314.5, -6999.0, 0.6, 7.9, 7.8, 0.9, 315.0, 10.0, None, None, -6999.0, None,2020-08-26 06:00:00, None, None, None, None,35
None, 7.72, None, None, None, 4.7, 38.43, None, 0.876, 322.4, -6999.0, 0.9, 7.7, 7.7, 0.7, 322.0, 7.9, None, None, -6999.0, None,2020-08-26 07:00:00, None, None, None, None,35
None, 8.43, None, None, None, None, 17.84, None, 0.638, 340.8, None, None, None, None, None, None, None, None, None, None, None,2020-08-26 08:00:00, None, None, None, None,35
None, 10.12, None, None, None, 2.7, 66.17, None, 0.253, 15.82, -6999.0, 0.3, 10.1, 7.7, 0.2, 16.0, 9.9, None, None, -6999.0, None,2020-08-26 09:00:00, None, None, None, None,35
None, 9.89, None, None, None, 5.9, 31.28, None, 2.025, 125.7, -6999.0, 2.0, 9.9, 7.7, 0.4, 126.0, 10.7, None, None, -6999.0, None,2020-08-26 10:00:00, None, None, None, None,35
None, 10.81, None, None, None, 10.0, 29.33, None, 3.298, 116.9, -6999.0, 3.3, 10.8, 7.7, 0.2, 117.0, 11.9, None, None, -6999.0, None,2020-08-26 11:00:00, None, None, None, None,35
None, 11.38, None, None, None, 10.1, 26.36, None, 4.436, 126.1, -6999.0, 4.4, 11.4, 7.7, 0.2, 126.0, 13.3, None, None, -6999.0, None,2020-08-26 12:00:00, None, None, None, None,35
None, 11.9, None, None, None, 14.3, 31.13, None, 6.39, 115.7, -6999.0, 6.4, 11.9, 7.7, 0.1, 116.0, 13.4, None, None, -6999.0, None,2020-08-26 13:00:00, None, None, None, None,35
None, 11.7, None, None, None, 13.1, 51.05, None, 4.142, 123.3, -6999.0, 4.1, 11.7, 7.7, 1.3, 123.0, 13.4, None, None, -6999.0, None,2020-08-26 14:00:00, None, None, None, None,35
None, 12.1, None, None, None, 16.7, 24.29, None, 6.936, 115.2, -6999.0, 6.9, 12.1, 7.7, 0.2, 115.0, 13.4, None, None, -6999.0, None,2020-08-26 15:00:00, None, None, None, None,35
None, 13.42, None, None, None, 15.8, 32.17, None, 5.337, 117.7, -6999.0, 5.3, 13.4, 7.7, 0.0, 118.0, 13.6, None, None, -6999.0, None,2020-08-26 16:00:00, None, None, None, None,35
None, 12.72, None, None, None, 14.0, 38.49, None, 5.071, 95.8, -6999.0, 5.1, 12.7, 7.7, 0.0, 96.0, 13.6, None, None, -6999.0, None,2020-08-26 17:00:00, None, None, None, None,35
None, 12.23, None, None, None, 15.4, 34.16, None, 5.303, 98.1, -6999.0, 5.3, 12.2, 7.7, 0.0, 98.0, 13.6, None, None, -6999.0, None,2020-08-26 18:00:00, None, None, None, None,35
None, 11.58, None, None, None, 11.4, 46.32, None, 2.398, 78.91, -6999.0, 2.4, 11.6, 11.6, -0.1, 79.0, 12.2, None, None, -6999.0, None,2020-08-26 19:00:00, None, None, None, None,35
None, 10.26, None, None, None, 10.1, 43.72, None, 2.467, 43.47, -6999.0, 2.5, 10.3, 10.3, -0.3, 43.0, 12.2, None, None, -6999.0, None,2020-08-26 20:00:00, None, None, None, None,35
