time,ONE_DAY_PRECIPITATION,MAX_TEMP,MIN_TEMP,week_of_year
2017-02-05,0.0,-12.0,-30.9,6
2017-02-06,0.0,-12.1,-29.6,6
2017-02-07,0.0,-15.6,-34.2,6
2017-02-08,0.0,-17.4,-34.8,6
2017-02-09,0.0,-16.9,-33.2,6
2017-02-10,0.1,-10.9,-25.5,6
2017-02-11,0.1,-4.2,-21.5,6
