pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 13.45, 28.43, 15.5, 28.0, -4.0, 13.5, 12.9, -4.0, 0.0, None,2021-09-17 00:00:00, None, None,38
None, 13.6, 28.86, 15.5, 29.0, -4.0, 13.6, 12.9, -4.0, 0.0, None,2021-09-17 01:00:00, None, None,38
None, 12.48, 39.28, 15.5, 39.0, -1.0, 12.5, 12.6, -1.0, 0.0, None,2021-09-17 02:00:00, None, None,38
None, 10.12, 57.68, 15.5, 58.0, 2.0, 10.1, 9.9, 2.0, 0.3, None,2021-09-17 03:00:00, None, None,38
None, 7.83, 75.47, 15.5, 75.0, 4.0, 7.8, 7.8, 4.0, 0.8, None,2021-09-17 04:00:00, None, None,38
None, 6.795, 87.0, 15.5, 87.0, 5.0, 6.8, 6.9, 5.0, 1.0, None,2021-09-17 05:00:00, None, None,38
None, 6.443, 95.9, 15.5, 96.0, 5.0, 6.4, 6.3, 5.0, 0.8, None,2021-09-17 06:00:00, None, None,38
None, 6.388, 97.3, 6.9, 97.0, 6.0, 6.4, 6.2, 6.0, 0.2, None,2021-09-17 07:00:00, None, None,38
None, 6.534, 97.7, 6.9, 98.0, 6.0, 6.5, 6.2, 6.0, 1.0, None,2021-09-17 08:00:00, None, None,38
None, 6.982, 97.7, 7.3, 98.0, 7.0, 7.0, 6.2, 7.0, 0.1, None,2021-09-17 09:00:00, None, None,38
None, 7.322, 94.7, 7.5, 95.0, 6.0, 7.3, 6.2, 6.0, 0.9, None,2021-09-17 10:00:00, None, None,38
None, 7.317, 94.1, 8.2, 94.0, 6.0, 7.3, 6.2, 6.0, 0.0, None,2021-09-17 11:00:00, None, None,38
None, 7.315, 92.5, 8.2, 93.0, 6.0, 7.3, 6.2, 6.0, 1.0, None,2021-09-17 12:00:00, None, None,38
None, 7.277, 92.8, 8.2, 93.0, 6.0, 7.3, 6.2, 6.0, 2.0, None,2021-09-17 13:00:00, None, None,38
None, 6.739, 94.4, 8.2, 94.0, 6.0, 6.7, 6.2, 6.0, 2.0, None,2021-09-17 14:00:00, None, None,38
None, 5.968, 96.6, 8.2, 97.0, 6.0, 6.0, 5.8, 6.0, 4.0, None,2021-09-17 15:00:00, None, None,38
17.5, 5.953, 96.8, 8.2, 97.0, 5.0, 6.0, 5.8, 5.0, 3.0, None,2021-09-17 16:00:00, None, None,38
22.5, 4.666, 96.2, 8.2, 96.0, 4.0, 4.7, 4.6, 4.0, 5.0, None,2021-09-17 17:00:00, None, None,38
27.0, 3.171, 96.6, 8.2, 97.0, 3.0, 3.2, 3.0, 3.0, 5.0, None,2021-09-17 18:00:00, None, None,38
31.5, 2.764, 97.2, 3.3, 97.0, 2.0, 2.8, 2.7, 2.0, 4.5, None,2021-09-17 19:00:00, None, None,38
34.0, 2.918, 98.0, 3.4, 98.0, 3.0, 2.9, 2.7, 3.0, 2.5, None,2021-09-17 20:00:00, None, None,38
38.0, 3.131, 98.4, 3.7, 98.0, 2.0, 3.1, 2.7, 2.0, 4.0, None,2021-09-17 21:00:00, None, None,38
39.0, 3.187, 98.4, 3.7, 98.0, 3.0, 3.2, 2.7, 3.0, 1.0, None,2021-09-17 22:00:00, None, None,38
42.8, 3.341, 98.5, 3.9, 99.0, 3.0, 3.3, 2.7, 3.0, 3.8, None,2021-09-17 23:00:00, None, None,38
46.1, 3.716, 98.7, 4.1, 99.0, 3.0, 3.7, 2.7, 3.0, 3.3, None,2021-09-18 00:00:00, None, None,38
48.1, 3.692, 98.7, 4.1, 99.0, 3.0, 3.7, 2.7, 3.0, 2.0, None,2021-09-18 01:00:00, None, None,38
49.1, 3.816, 98.7, 4.5, 99.0, 3.0, 3.8, 2.7, 3.0, 1.0, None,2021-09-18 02:00:00, None, None,38
49.8, 3.904, 98.8, 4.6, 99.0, 4.0, 3.9, 2.7, 4.0, 1.0, None,2021-09-18 03:00:00, None, None,38
50.0, 4.278, 98.8, 4.6, 99.0, 4.0, 4.3, 2.7, 4.0, 1.0, None,2021-09-18 04:00:00, None, None,38
