RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, None,11.24,69.45, None, None, None, None, None, None, None, None, None, None, None,6.072, None, None, None, None,12.15, None, None, None, None, None,2018-10-08 00:00:00, None,41
None, None, None, None,13.14,65.31, None, None, None, None, None, None, None, None, None, None, None,5.89, None, None, None, None,9.97, None, None, None, None, None,2018-10-08 01:00:00, None,41
None, None, None, None,13.71,63.32, None, None, None, None, None, None, None, None, None, None, None,5.861, None, None, None, None,9.4, None, None, None, None, None,2018-10-08 02:00:00, None,41
None, None, None, None,11.97,68.64, None, None, None, None, None, None, None, None, None, None, None,6.033, None, None, None, None,11.25, None, None, None, None, None,2018-10-08 03:00:00, None,41
None, None, None, None,12.18,65.76, None, None, None, None, None, None, None, None, None, None, None,5.814, None, None, None, None,9.1, None, None, None, None, None,2018-10-08 04:00:00, None,41
None, None, None, None,11.18,69.93, None, None, None, None, None, None, None, None, None, None, None,5.909, None, None, None, None,12.88, None, None, None, None, None,2018-10-08 05:00:00, None,41
None, None, None, None,13.1,76.9, None, None, None, None, None, None, None, None, None, None, None,5.794, None, None, None, None,12.55, None, None, None, None, None,2018-10-08 06:00:00, None,41
None, None, None, None,11.37,70.8, None, None, None, None, None, None, None, None, None, None, None,5.413, None, None, None, None,12.82, None, None, None, None, None,2018-10-08 07:00:00, None,41
None, None, None, None,11.87,63.5, None, None, None, None, None, None, None, None, None, None, None,5.47, None, None, None, None,8.47, None, None, None, None, None,2018-10-08 08:00:00, None,41
None, None, None, None,7.15,69.43, None, None, None, None, None, None, None, None, None, None, None,5.499, None, None, None, None,13.17, None, None, None, None, None,2018-10-08 09:00:00, None,41
None, None, None, None,5.175,70.9, None, None, None, None, None, None, None, None, None, None, None,5.67, None, None, None, None,20.03, None, None, None, None, None,2018-10-08 10:00:00, None,41
None, None, None, None,2.272,55.86, None, None, None, None, None, None, None, None, None, None, None,5.899, None, None, None, None,23.2, None, None, None, None, None,2018-10-08 11:00:00, None,41
None, None, None, None,0.909,215.8, None, None, None, None, None, None, None, None, None, None, None,6.167, None, None, None, None,53.06, None, None, None, None, None,2018-10-08 12:00:00, None,41
None, None, None, None,1.592,184.3, None, None, None, None, None, None, None, None, None, None, None,6.676, None, None, None, None,25.23, None, None, None, None, None,2018-10-08 13:00:00, None,41
