wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
18.0, 101.5,17.2, 292.5,80.0,20.7,2016-07-22 00:00:00, None, None, None, None, -0.13,30
19.0, 101.5,16.5, 292.5,77.0,20.7,2016-07-22 01:00:00, None, None, None, None, -0.15,30
22.0, 101.4,15.1, 292.5,66.0,21.9,2016-07-22 02:00:00, None, None, None, None, -0.16,30
13.0, 101.4,14.9, 292.5,65.0,21.7,2016-07-22 03:00:00, None, None, None, None, -0.08,30
10.0, 101.5,14.7, 90.0,70.0,20.5,2016-07-22 04:00:00, None, None, None, None, -0.01,30
10.0, 101.6,13.4, 90.0,69.0,19.2,2016-07-22 05:00:00, None, None, None, None, 0.14,30
15.0, 101.6,12.7, 90.0,62.0,20.3,2016-07-22 06:00:00, None, None, None, None, 0.19,30
6.0, 101.6,12.3, 90.0,55.0,21.8,2016-07-22 07:00:00, None, None, None, None, 0.16,30
5.0, 101.6,13.8, 90.0,72.0,18.9,2016-07-22 08:00:00, None, None, None, None, 0.07,30
5.0, 101.7,12.5, 67.5,66.0,18.9,2016-07-22 09:00:00, None, None, None, None, 0.06,30
2.0, 101.7,13.1, 202.5,69.0,18.9,2016-07-22 10:00:00, None, None, None, None, 0.07,30
10.0, 101.7,12.5, 90.0,70.0,18.2,2016-07-22 11:00:00, None, None, None, None, 0.09,30
18.0, 101.8,13.6, 112.5,75.0,18.1,2016-07-22 12:00:00, None, None, None, None, 0.1,30
24.0, 101.8,13.6, 90.0,74.0,18.3,2016-07-22 13:00:00, None, None, None, None, 0.08,30
35.0, 101.9,13.3, 90.0,77.0,17.4,2016-07-22 14:00:00, None, None, None, None, 0.14,30
38.0, 101.9,13.1, 90.0,77.0,17.1,2016-07-22 15:00:00, None, None, None, None, 0.13,30
33.0, 102.0,13.0, 90.0,75.0,17.5,2016-07-22 16:00:00, None, None, None, None, 0.19,30
36.0, 102.0,13.3, 90.0,75.0,17.9,2016-07-22 17:00:00, None, None, None, None, 0.11,30
33.0, 102.0,13.4, 90.0,72.0,18.5,2016-07-22 18:00:00, None, None, None, None, 0.11,30
27.0, 102.1,13.6, 90.0,72.0,18.7,2016-07-22 19:00:00, None, None, None, None, 0.15,30
26.0, 102.2,13.8, 90.0,70.0,19.5,2016-07-22 20:00:00, None, None, None, None, 0.18,30
25.0, 102.2,13.3, 90.0,66.0,19.7,2016-07-22 21:00:00, None, None, None, None, 0.15,30
16.0, 102.2,12.8, 90.0,58.0,21.4,2016-07-22 22:00:00, None, None, None, None, 0.07,30
5.0, 102.2,12.3, 202.5,56.0,21.5,2016-07-22 23:00:00, None, 1.6, None, None, 0.03,30
4.0, 102.2,11.7, 292.5,52.0,22.1,2016-07-23 00:00:00, None, None, None, None, 0.0,30
6.0, 102.1,12.9, 112.5,61.0,20.8,2016-07-23 01:00:00, None, None, None, None, -0.04,30
17.0, 102.1,12.8, 112.5,62.0,20.5,2016-07-23 02:00:00, None, None, None, None, -0.06,30
19.0, 102.2,13.7, 90.0,69.0,19.5,2016-07-23 03:00:00, None, None, None, None, -0.01,30
24.0, 102.2,13.8, 90.0,71.0,19.3,2016-07-23 04:00:00, None, None, None, None, 0.04,30
23.0, 102.2,13.8, 90.0,73.0,18.8,2016-07-23 05:00:00, None, None, None, None, 0.09,30
28.0, 102.2,12.7, 90.0,68.0,18.7,2016-07-23 06:00:00, None, None, None, None, 0.07,30
31.0, 102.2,12.6, 90.0,70.0,18.2,2016-07-23 07:00:00, None, None, None, None, 0.06,30
33.0, 102.2,12.2, 90.0,71.0,17.6,2016-07-23 08:00:00, None, None, None, None, 0.02,30
28.0, 102.3,11.9, 90.0,71.0,17.2,2016-07-23 09:00:00, None, None, None, None, 0.02,30
28.0, 102.2,11.5, 90.0,71.0,16.7,2016-07-23 10:00:00, None, None, None, None, 0.0,30
27.0, 102.2,11.2, 90.0,71.0,16.5,2016-07-23 11:00:00, None, None, None, None, 0.01,30
26.0, 102.2,11.7, 112.5,73.0,16.5,2016-07-23 12:00:00, None, None, None, None, -0.01,30
24.0, 102.3,11.2, 112.5,72.0,16.3,2016-07-23 13:00:00, None, None, None, None, 0.02,30
18.0, 102.3,11.8, 112.5,76.0,16.0,2016-07-23 14:00:00, None, None, None, None, 0.05,30
24.0, 102.3,12.0, 112.5,75.0,16.4,2016-07-23 15:00:00, None, None, None, None, 0.04,30
14.0, 102.4,11.6, 112.5,72.0,16.6,2016-07-23 16:00:00, None, None, None, None, 0.09,30
12.0, 102.4,11.5, 112.5,69.0,17.3,2016-07-23 17:00:00, None, None, None, None, 0.06,30
7.0, 102.4,11.6, 225.0,68.0,17.5,2016-07-23 18:00:00, None, None, None, None, 0.1,30
12.0, 102.4,12.6, 247.5,73.0,17.4,2016-07-23 19:00:00, None, None, None, None, 0.01,30
10.0, 102.4,12.9, 270.0,74.0,17.6,2016-07-23 20:00:00, None, None, None, None, 0.0,30
10.0, 102.3,11.7, 270.0,65.0,18.3,2016-07-23 21:00:00, None, None, None, None, -0.04,30
7.0, 102.3,12.7, 270.0,68.0,18.8,2016-07-23 22:00:00, None, None, None, None, -0.02,30
8.0, 102.3,13.4, 270.0,71.0,18.8,2016-07-23 23:00:00, None, 0.5, None, None, -0.03,30
9.0, 102.3,13.8, 270.0,72.0,19.0,2016-07-24 00:00:00, None, None, None, None, -0.06,30
5.0, 102.2,12.9, 247.5,66.0,19.4,2016-07-24 01:00:00, None, None, None, None, -0.11,30
3.0, 102.2,13.0, 247.5,63.0,20.2,2016-07-24 02:00:00, None, None, None, None, -0.14,30
1.0, 102.2,13.7, 270.0,68.0,19.9,2016-07-24 03:00:00, None, None, None, None, -0.1,30
2.0, 102.2,13.7, 90.0,70.0,19.3,2016-07-24 04:00:00, None, None, None, None, -0.04,30
1.0, 102.2,13.0, 337.5,66.0,19.5,2016-07-24 05:00:00, None, None, None, None, 0.0,30
0.0, 102.2,12.9, None,69.0,18.8,2016-07-24 06:00:00, None, None, None, None, -0.01,30
0.0, 102.1,12.3, None,68.0,18.4,2016-07-24 07:00:00, None, None, None, None, -0.05,30
6.0, 102.1,13.2, 67.5,76.0,17.4,2016-07-24 08:00:00, None, None, None, None, -0.07,30
2.0, 102.1,12.5, 315.0,75.0,16.9,2016-07-24 09:00:00, None, None, None, None, -0.09,30
0.0, 102.1,12.3, None,74.0,16.9,2016-07-24 10:00:00, None, None, None, None, -0.08,30
4.0, 102.0,13.1, 90.0,80.0,16.6,2016-07-24 11:00:00, None, None, None, None, -0.08,30
3.0, 102.0,13.1, 67.5,82.0,16.2,2016-07-24 12:00:00, None, None, None, None, -0.08,30
3.0, 102.0,13.2, 90.0,83.0,16.1,2016-07-24 13:00:00, None, None, None, None, -0.06,30
2.0, 102.0,13.9, 90.0,80.0,17.4,2016-07-24 14:00:00, None, None, None, None, -0.04,30
5.0, 102.0,13.7, 112.5,79.0,17.5,2016-07-24 15:00:00, None, None, None, None, -0.01,30
2.0, 102.0,14.0, 202.5,74.0,18.6,2016-07-24 16:00:00, None, None, None, None, 0.0,30
9.0, 102.0,13.7, 247.5,79.0,17.4,2016-07-24 17:00:00, None, None, None, None, -0.03,30
11.0, 101.9,13.4, 247.5,76.0,17.7,2016-07-24 18:00:00, None, None, None, None, -0.05,30
10.0, 101.9,13.0, 270.0,72.0,18.1,2016-07-24 19:00:00, None, None, None, None, -0.07,30
6.0, 101.9,13.4, 225.0,69.0,19.2,2016-07-24 20:00:00, None, None, None, None, -0.08,30
7.0, 101.8,12.8, 247.5,66.0,19.2,2016-07-24 21:00:00, None, None, None, None, -0.12,30
9.0, 101.8,14.0, 247.5,70.0,19.6,2016-07-24 22:00:00, None, None, None, None, -0.16,30
7.0, 101.7,14.2, 247.5,69.0,20.0,2016-07-24 23:00:00, None, 0.0, None, None, -0.15,30
9.0, 101.7,14.3, 225.0,69.0,20.2,2016-07-25 00:00:00, None, None, None, None, -0.14,30
9.0, 101.6,15.2, 247.5,71.0,20.7,2016-07-25 01:00:00, None, None, None, None, -0.16,30
5.0, 101.6,14.9, 270.0,68.0,21.0,2016-07-25 02:00:00, None, None, None, None, -0.15,30
7.0, 101.6,15.5, 270.0,72.0,20.7,2016-07-25 03:00:00, None, None, None, None, -0.13,30
2.0, 101.5,15.5, 247.5,71.0,20.9,2016-07-25 04:00:00, None, None, None, None, -0.07,30
3.0, 101.6,15.5, 67.5,72.0,20.7,2016-07-25 05:00:00, None, None, None, None, -0.01,30
