AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
11.9,0.0, 5.2,2019-09-10 00:00:00, 29.0,97.0,37
11.9,0.0, 5.6,2019-09-10 00:15:00, 34.0,97.0,37
11.8,0.0, 6.6,2019-09-10 00:30:00, 25.0,97.0,37
11.6,0.0, 5.9,2019-09-10 00:45:00, 33.0,98.0,37
11.6,0.0, 7.0,2019-09-10 01:00:00, 30.0,98.0,37
11.5,0.0, 6.3,2019-09-10 01:15:00, 28.0,98.0,37
11.6,0.0, 6.5,2019-09-10 01:30:00, 19.0,98.0,37
11.6,0.0, 6.4,2019-09-10 01:45:00, 15.0,98.0,37
11.7,0.0, 7.2,2019-09-10 02:00:00, 5.0,98.0,37
11.9,0.0, 8.0,2019-09-10 02:15:00, 359.0,99.0,37
11.9,0.0, 7.4,2019-09-10 02:30:00, 360.0,99.0,37
11.8,0.0, 7.3,2019-09-10 02:45:00, 0.0,99.0,37
11.8,0.0, 8.8,2019-09-10 03:00:00, 2.0,99.0,37
11.8,0.0, 8.1,2019-09-10 03:15:00, 2.0,99.0,37
11.8,0.0, 9.3,2019-09-10 03:30:00, 2.0,99.0,37
11.8,0.0, 10.0,2019-09-10 03:45:00, 3.0,100.0,37
11.8,0.0, 8.5,2019-09-10 04:00:00, 9.0,100.0,37
11.7,0.0, 12.0,2019-09-10 04:15:00, 6.0,100.0,37
11.7,0.0, 10.7,2019-09-10 04:30:00, 8.0,100.0,37
11.7,0.0, 11.4,2019-09-10 04:45:00, 5.0,100.0,37
11.6,0.0, 9.9,2019-09-10 05:00:00, 10.0,100.0,37
11.6,0.0, 8.6,2019-09-10 05:15:00, 13.0,100.0,37
11.6,0.0, 8.8,2019-09-10 05:30:00, 3.0,100.0,37
11.5,0.0, 9.2,2019-09-10 05:45:00, 6.0,100.0,37
11.6,0.0, 8.1,2019-09-10 06:00:00, 5.0,100.0,37
11.6,0.0, 7.6,2019-09-10 06:15:00, 14.0,100.0,37
11.6,0.0, 7.5,2019-09-10 06:30:00, 6.0,100.0,37
11.6,0.0, 7.7,2019-09-10 06:45:00, 3.0,100.0,37
11.8,0.0, 6.5,2019-09-10 07:00:00, 11.0,100.0,37
11.9,0.0, 6.7,2019-09-10 07:15:00, 16.0,100.0,37
11.9,0.0, 8.2,2019-09-10 07:30:00, 12.0,100.0,37
12.0,0.0, 7.8,2019-09-10 07:45:00, 6.0,100.0,37
12.0,0.0, 9.0,2019-09-10 08:00:00, 3.0,99.0,37
12.1,0.0, 7.2,2019-09-10 08:15:00, 11.0,99.0,37
12.3,0.0, 8.0,2019-09-10 08:30:00, 355.0,98.0,37
12.3,0.0, 7.0,2019-09-10 08:45:00, 358.0,98.0,37
12.7,0.0, 5.0,2019-09-10 09:00:00, 348.0,97.0,37
12.7,0.0, 5.2,2019-09-10 09:15:00, 7.0,96.0,37
13.0,0.0, 5.8,2019-09-10 09:30:00, 13.0,95.0,37
12.7,0.0, 6.7,2019-09-10 09:45:00, 351.0,95.0,37
12.7,0.0, 6.9,2019-09-10 10:00:00, 9.0,94.0,37
13.0,0.0, 6.3,2019-09-10 10:15:00, 359.0,94.0,37
13.2,0.0, 7.6,2019-09-10 10:30:00, 359.0,97.0,37
13.7,0.0, 7.9,2019-09-10 10:45:00, 13.0,100.0,37
14.1,0.0, 7.7,2019-09-10 11:00:00, 13.0,100.0,37
14.8,0.0, 8.0,2019-09-10 11:15:00, 39.0,94.0,37
16.2,0.0, 7.0,2019-09-10 11:30:00, 41.0,81.0,37
14.6,0.0, 9.5,2019-09-10 11:45:00, 5.0,96.0,37
14.4,0.0, 8.0,2019-09-10 12:00:00, 27.0,94.0,37
14.5,0.0, 3.7,2019-09-10 12:15:00, 39.0,93.0,37
15.5,0.0, 5.1,2019-09-10 12:30:00, 30.0,83.0,37
15.8,0.0, 5.6,2019-09-10 12:45:00, 30.0,82.0,37
15.5,0.0, 4.1,2019-09-10 13:00:00, 85.0,85.0,37
15.0,0.0, 4.0,2019-09-10 13:15:00, 207.0,90.0,37
14.6,0.0, 3.9,2019-09-10 13:30:00, 169.0,92.0,37
14.8,0.0, 2.9,2019-09-10 13:45:00, 183.0,91.0,37
14.6,0.0, 6.3,2019-09-10 14:00:00, 161.0,93.0,37
14.3,0.0, 6.0,2019-09-10 14:15:00, 153.0,94.0,37
14.3,0.0, 4.7,2019-09-10 14:30:00, 159.0,95.0,37
14.3,0.0, 4.4,2019-09-10 14:45:00, 188.0,93.0,37
14.9,0.0, 6.7,2019-09-10 15:00:00, 229.0,93.0,37
15.6,0.0, 6.9,2019-09-10 15:15:00, 224.0,85.0,37
16.9,0.0, 9.3,2019-09-10 15:30:00, 233.0,78.0,37
17.2,0.0, 8.1,2019-09-10 15:45:00, 227.0,78.0,37
17.9,0.0, 11.6,2019-09-10 16:00:00, 241.0,71.0,37
18.4,0.0, 9.3,2019-09-10 16:15:00, 238.0,69.0,37
18.2,0.0, 10.1,2019-09-10 16:30:00, 240.0,70.0,37
18.2,0.0, 8.5,2019-09-10 16:45:00, 228.0,70.0,37
18.2,0.0, 8.1,2019-09-10 17:00:00, 235.0,68.0,37
16.8,0.0, 8.6,2019-09-10 17:15:00, 244.0,76.0,37
15.9,0.0, 8.0,2019-09-10 17:30:00, 247.0,79.0,37
15.8,0.0, 8.5,2019-09-10 17:45:00, 246.0,82.0,37
15.2,0.0, 8.9,2019-09-10 18:00:00, 241.0,84.0,37
15.1,0.0, 7.1,2019-09-10 18:15:00, 235.0,85.0,37
14.2,0.0, 6.3,2019-09-10 18:30:00, 231.0,90.0,37
13.7,0.0, 8.4,2019-09-10 18:45:00, 234.0,92.0,37
13.4,0.0, 7.5,2019-09-10 19:00:00, 236.0,94.0,37
13.3,0.0, 7.0,2019-09-10 19:15:00, 231.0,94.0,37
13.1,0.0, 6.3,2019-09-10 19:30:00, 236.0,95.0,37
13.1,0.0, 4.5,2019-09-10 19:45:00, 260.0,95.0,37
13.0,0.0, 3.7,2019-09-10 20:00:00, 271.0,96.0,37
12.6,0.0, 3.6,2019-09-10 20:15:00, 318.0,99.0,37
12.6,0.0, 4.9,2019-09-10 20:30:00, 245.0,98.0,37
12.4,0.0, 6.3,2019-09-10 20:45:00, 228.0,98.0,37
12.1,0.0, 7.4,2019-09-10 21:00:00, 226.0,100.0,37
11.9,0.0, 6.0,2019-09-10 21:15:00, 240.0,100.0,37
12.1,0.0, 4.2,2019-09-10 21:30:00, 277.0,97.0,37
12.4,0.0, 5.2,2019-09-10 21:45:00, 339.0,97.0,37
12.3,0.0, 4.8,2019-09-10 22:00:00, 332.0,99.0,37
12.3,0.0, 3.7,2019-09-10 22:15:00, 322.0,100.0,37
12.6,0.0, 3.9,2019-09-10 22:30:00, 277.0,98.0,37
12.8,0.0, 4.4,2019-09-10 22:45:00, 271.0,96.0,37
12.9,0.0, 3.5,2019-09-10 23:00:00, 276.0,94.0,37
13.0,0.0, 3.1,2019-09-10 23:15:00, 260.0,93.0,37
12.7,0.0, 2.0,2019-09-10 23:30:00, 353.0,96.0,37
12.8,0.0, 1.6,2019-09-10 23:45:00, 87.0,94.0,37
12.8,0.0, 3.4,2019-09-11 00:00:00, 95.0,94.0,37
12.7,0.0, 5.8,2019-09-11 00:15:00, 113.0,95.0,37
12.6,0.0, 5.9,2019-09-11 00:30:00, 195.0,95.0,37
12.0,0.0, 7.5,2019-09-11 00:45:00, 220.0,94.0,37
12.2,0.0, 7.5,2019-09-11 01:00:00, 220.0,89.0,37
12.4,0.0, 7.4,2019-09-11 01:15:00, 223.0,88.0,37
12.5,0.0, 7.5,2019-09-11 01:30:00, 227.0,85.0,37
12.3,0.0, 8.5,2019-09-11 01:45:00, 238.0,87.0,37
12.4,0.0, 8.6,2019-09-11 02:00:00, 227.0,87.0,37
12.0,0.0, 10.2,2019-09-11 02:15:00, 224.0,89.0,37
11.7,0.0, 9.9,2019-09-11 02:30:00, 221.0,89.0,37
11.9,0.0, 9.7,2019-09-11 02:45:00, 223.0,84.0,37
12.3,0.0, 9.3,2019-09-11 03:00:00, 217.0,81.0,37
12.0,0.0, 10.1,2019-09-11 03:15:00, 218.0,84.0,37
11.7,0.0, 10.7,2019-09-11 03:30:00, 224.0,88.0,37
11.2,0.0, 11.1,2019-09-11 03:45:00, 223.0,91.0,37
10.9,0.0, 13.2,2019-09-11 04:00:00, 228.0,91.0,37
11.0,0.0, 11.2,2019-09-11 04:15:00, 228.0,91.0,37
11.0,0.0, 9.2,2019-09-11 04:30:00, 228.0,90.0,37
11.0,0.0, 10.2,2019-09-11 04:45:00, 218.0,90.0,37
10.9,0.0, 12.4,2019-09-11 05:00:00, 216.0,90.0,37
11.0,0.0, 12.7,2019-09-11 05:15:00, 217.0,88.0,37
10.9,0.0, 10.3,2019-09-11 05:30:00, 222.0,90.0,37
10.3,0.0, 11.3,2019-09-11 05:45:00, 229.0,93.0,37
10.0,0.0, 13.3,2019-09-11 06:00:00, 233.0,94.0,37
10.2,0.0, 14.8,2019-09-11 06:15:00, 232.0,94.0,37
10.2,0.0, 14.1,2019-09-11 06:30:00, 231.0,94.0,37
10.5,0.0, 13.9,2019-09-11 06:45:00, 231.0,93.0,37
11.1,0.0, 13.7,2019-09-11 07:00:00, 229.0,90.0,37
11.6,0.0, 14.1,2019-09-11 07:15:00, 236.0,87.0,37
12.5,0.0, 12.6,2019-09-11 07:30:00, 237.0,84.0,37
12.6,0.0, 12.6,2019-09-11 07:45:00, 243.0,84.0,37
13.2,0.0, 12.5,2019-09-11 08:00:00, 236.0,84.0,37
13.9,0.0, 11.1,2019-09-11 08:15:00, 233.0,79.0,37
14.5,0.0, 9.3,2019-09-11 08:30:00, 225.0,78.0,37
14.2,0.0, 8.3,2019-09-11 08:45:00, 227.0,79.0,37
14.5,0.0, 9.0,2019-09-11 09:00:00, 225.0,78.0,37
15.0,0.0, 10.8,2019-09-11 09:15:00, 227.0,77.0,37
15.1,0.0, 11.5,2019-09-11 09:30:00, 219.0,76.0,37
15.1,0.0, 14.0,2019-09-11 09:45:00, 234.0,76.0,37
15.6,0.0, 10.7,2019-09-11 10:00:00, 221.0,72.0,37
15.5,0.0, 10.4,2019-09-11 10:15:00, 232.0,76.0,37
15.8,0.0, 10.8,2019-09-11 10:30:00, 237.0,73.0,37
16.0,0.0, 12.6,2019-09-11 10:45:00, 235.0,71.0,37
16.2,0.0, 12.2,2019-09-11 11:00:00, 227.0,69.0,37
16.3,0.0, 12.9,2019-09-11 11:15:00, 224.0,67.0,37
16.5,0.0, 11.5,2019-09-11 11:30:00, 220.0,67.0,37
16.6,0.0, 12.6,2019-09-11 11:45:00, 221.0,67.0,37
16.4,0.0, 12.3,2019-09-11 12:00:00, 223.0,69.0,37
16.5,0.0, 14.6,2019-09-11 12:15:00, 240.0,68.0,37
16.7,0.0, 13.5,2019-09-11 12:30:00, 230.0,68.0,37
17.0,0.0, 11.7,2019-09-11 12:45:00, 227.0,66.0,37
16.4,0.0, 12.5,2019-09-11 13:00:00, 218.0,69.0,37
17.0,0.0, 10.3,2019-09-11 13:15:00, 240.0,66.0,37
16.7,0.0, 11.0,2019-09-11 13:30:00, 231.0,67.0,37
16.5,0.0, 10.7,2019-09-11 13:45:00, 229.0,68.0,37
16.7,0.0, 8.2,2019-09-11 14:00:00, 235.0,67.0,37
16.8,0.0, 11.9,2019-09-11 14:15:00, 237.0,68.0,37
16.9,0.0, 8.9,2019-09-11 14:30:00, 235.0,68.0,37
16.7,0.0, 10.4,2019-09-11 14:45:00, 243.0,69.0,37
16.5,0.0, 9.5,2019-09-11 15:00:00, 224.0,70.0,37
16.5,0.0, 9.5,2019-09-11 15:15:00, 243.0,71.0,37
16.3,0.0, 10.8,2019-09-11 15:30:00, 228.0,74.0,37
16.2,0.0, 8.0,2019-09-11 15:45:00, 236.0,73.0,37
16.1,0.0, 8.0,2019-09-11 16:00:00, 238.0,75.0,37
16.0,0.0, 10.1,2019-09-11 16:15:00, 239.0,75.0,37
15.8,0.0, 9.3,2019-09-11 16:30:00, 234.0,75.0,37
15.8,0.0, 7.1,2019-09-11 16:45:00, 226.0,76.0,37
15.7,0.0, 11.0,2019-09-11 17:00:00, 237.0,77.0,37
15.5,0.0, 9.5,2019-09-11 17:15:00, 238.0,78.0,37
