WDIR_VECT,time,week_of_year
89.2,2021-03-19 00:00:00,12
108.1,2021-03-19 01:00:00,12
112.2,2021-03-19 02:00:00,12
105.0,2021-03-19 03:00:00,12
95.9,2021-03-19 04:00:00,12
103.0,2021-03-19 05:00:00,12
97.5,2021-03-19 06:00:00,12
106.9,2021-03-19 07:00:00,12
22.5,2021-03-19 08:00:00,12
74.8,2021-03-19 09:00:00,12
87.2,2021-03-19 10:00:00,12
92.0,2021-03-19 11:00:00,12
85.8,2021-03-19 12:00:00,12
87.5,2021-03-19 13:00:00,12
76.5,2021-03-19 14:00:00,12
96.5,2021-03-19 15:00:00,12
83.3,2021-03-19 16:00:00,12
81.2,2021-03-19 17:00:00,12
84.0,2021-03-19 18:00:00,12
17.3,2021-03-19 19:00:00,12
28.7,2021-03-19 20:00:00,12
65.1,2021-03-19 21:00:00,12
80.3,2021-03-19 22:00:00,12
79.6,2021-03-19 23:00:00,12
88.8,2021-03-20 00:00:00,12
88.3,2021-03-20 01:00:00,12
81.5,2021-03-20 02:00:00,12
84.8,2021-03-20 03:00:00,12
83.6,2021-03-20 04:00:00,12
78.5,2021-03-20 05:00:00,12
77.5,2021-03-20 06:00:00,12
93.4,2021-03-20 07:00:00,12
90.0,2021-03-20 08:00:00,12
82.1,2021-03-20 09:00:00,12
67.4,2021-03-20 10:00:00,12
66.6,2021-03-20 11:00:00,12
101.1,2021-03-20 12:00:00,12
269.4,2021-03-20 13:00:00,12
264.8,2021-03-20 14:00:00,12
274.8,2021-03-20 15:00:00,12
269.1,2021-03-20 16:00:00,12
267.2,2021-03-20 17:00:00,12
252.4,2021-03-20 18:00:00,12
234.3,2021-03-20 19:00:00,12
253.0,2021-03-20 20:00:00,12
266.3,2021-03-20 21:00:00,12
265.2,2021-03-20 22:00:00,12
225.0,2021-03-20 23:00:00,12
220.7,2021-03-21 00:00:00,12
219.6,2021-03-21 01:00:00,12
206.4,2021-03-21 02:00:00,12
201.5,2021-03-21 03:00:00,12
102.3,2021-03-21 04:00:00,12
15.7,2021-03-21 05:00:00,12
15.9,2021-03-21 06:00:00,12
21.6,2021-03-21 07:00:00,12
59.8,2021-03-21 08:00:00,12
112.4,2021-03-21 09:00:00,12
356.2,2021-03-21 10:00:00,12
13.1,2021-03-21 11:00:00,12
8.3,2021-03-21 12:00:00,12
38.0,2021-03-21 13:00:00,12
