RelativeHumidity,AirTemperature,time,Rain,week_of_year
100.0,11.8,2019-09-24 00:00:00,0.0,39
100.0,11.3,2019-09-24 00:15:00,0.0,39
100.0,11.2,2019-09-24 00:30:00,0.0,39
100.0,11.6,2019-09-24 00:45:00,0.0,39
100.0,11.5,2019-09-24 01:00:00,0.0,39
100.0,11.5,2019-09-24 01:15:00,0.0,39
100.0,11.8,2019-09-24 01:30:00,0.0,39
100.0,11.7,2019-09-24 01:45:00,0.0,39
100.0,11.5,2019-09-24 02:00:00,0.0,39
100.0,11.4,2019-09-24 02:15:00,0.0,39
100.0,11.2,2019-09-24 02:30:00,0.0,39
100.0,11.1,2019-09-24 02:45:00,0.0,39
100.0,11.0,2019-09-24 03:00:00,0.0,39
99.0,11.1,2019-09-24 03:15:00,0.0,39
99.0,11.5,2019-09-24 03:30:00,0.0,39
99.0,11.7,2019-09-24 03:45:00,0.0,39
99.0,11.8,2019-09-24 04:00:00,0.0,39
99.0,11.6,2019-09-24 04:15:00,0.0,39
99.0,11.6,2019-09-24 04:30:00,0.0,39
98.0,11.6,2019-09-24 04:45:00,0.0,39
97.0,11.6,2019-09-24 05:00:00,0.0,39
96.0,11.5,2019-09-24 05:15:00,0.0,39
94.0,11.5,2019-09-24 05:30:00,0.0,39
93.0,11.4,2019-09-24 05:45:00,0.0,39
94.0,11.5,2019-09-24 06:00:00,0.0,39
92.0,11.6,2019-09-24 06:15:00,0.0,39
93.0,11.6,2019-09-24 06:30:00,0.0,39
93.0,11.7,2019-09-24 06:45:00,0.0,39
93.0,11.8,2019-09-24 07:00:00,0.0,39
92.0,11.9,2019-09-24 07:15:00,0.0,39
90.0,12.0,2019-09-24 07:30:00,0.0,39
88.0,11.9,2019-09-24 07:45:00,0.0,39
89.0,12.0,2019-09-24 08:00:00,0.0,39
89.0,12.4,2019-09-24 08:15:00,0.0,39
86.0,12.7,2019-09-24 08:30:00,0.0,39
87.0,12.4,2019-09-24 08:45:00,0.0,39
87.0,12.6,2019-09-24 09:00:00,0.0,39
89.0,12.7,2019-09-24 09:15:00,0.0,39
88.0,13.0,2019-09-24 09:30:00,0.0,39
89.0,13.0,2019-09-24 09:45:00,0.0,39
89.0,12.9,2019-09-24 10:00:00,0.0,39
90.0,12.8,2019-09-24 10:15:00,0.0,39
92.0,12.9,2019-09-24 10:30:00,0.0,39
89.0,13.6,2019-09-24 10:45:00,0.0,39
82.0,14.4,2019-09-24 11:00:00,0.0,39
81.0,15.1,2019-09-24 11:15:00,0.0,39
83.0,15.2,2019-09-24 11:30:00,0.0,39
79.0,15.7,2019-09-24 11:45:00,0.0,39
73.0,16.3,2019-09-24 12:00:00,0.0,39
74.0,15.9,2019-09-24 12:15:00,0.0,39
74.0,16.0,2019-09-24 12:30:00,0.0,39
71.0,16.4,2019-09-24 12:45:00,0.0,39
69.0,15.4,2019-09-24 13:00:00,0.0,39
70.0,15.5,2019-09-24 13:15:00,0.0,39
67.0,16.5,2019-09-24 13:30:00,0.0,39
63.0,17.0,2019-09-24 13:45:00,0.0,39
74.0,15.4,2019-09-24 14:00:00,0.0,39
79.0,14.5,2019-09-24 14:15:00,0.0,39
90.0,13.4,2019-09-24 14:30:00,0.0,39
81.0,14.7,2019-09-24 14:45:00,0.0,39
75.0,15.7,2019-09-24 15:00:00,0.0,39
71.0,16.1,2019-09-24 15:15:00,0.0,39
69.0,16.2,2019-09-24 15:30:00,0.0,39
67.0,16.5,2019-09-24 15:45:00,0.0,39
63.0,17.0,2019-09-24 16:00:00,0.0,39
67.0,15.4,2019-09-24 16:15:00,0.0,39
67.0,15.6,2019-09-24 16:30:00,0.0,39
68.0,15.4,2019-09-24 16:45:00,0.0,39
69.0,15.2,2019-09-24 17:00:00,0.0,39
71.0,14.8,2019-09-24 17:15:00,0.0,39
73.0,14.4,2019-09-24 17:30:00,0.0,39
77.0,13.8,2019-09-24 17:45:00,0.0,39
78.0,13.2,2019-09-24 18:00:00,0.0,39
79.0,12.9,2019-09-24 18:15:00,0.0,39
80.0,12.5,2019-09-24 18:30:00,0.0,39
80.0,12.3,2019-09-24 18:45:00,0.0,39
77.0,12.4,2019-09-24 19:00:00,0.0,39
79.0,12.3,2019-09-24 19:15:00,0.0,39
81.0,12.1,2019-09-24 19:30:00,0.0,39
82.0,11.9,2019-09-24 19:45:00,0.0,39
82.0,11.8,2019-09-24 20:00:00,0.0,39
83.0,11.7,2019-09-24 20:15:00,0.0,39
82.0,11.6,2019-09-24 20:30:00,0.0,39
82.0,11.4,2019-09-24 20:45:00,0.0,39
87.0,11.3,2019-09-24 21:00:00,0.0,39
90.0,10.9,2019-09-24 21:15:00,0.0,39
91.0,10.9,2019-09-24 21:30:00,0.0,39
93.0,10.8,2019-09-24 21:45:00,0.0,39
93.0,10.7,2019-09-24 22:00:00,0.0,39
95.0,10.6,2019-09-24 22:15:00,0.0,39
94.0,10.5,2019-09-24 22:30:00,0.0,39
97.0,10.4,2019-09-24 22:45:00,0.0,39
98.0,10.5,2019-09-24 23:00:00,0.0,39
98.0,10.5,2019-09-24 23:15:00,0.0,39
98.0,10.3,2019-09-24 23:30:00,0.0,39
98.0,10.2,2019-09-24 23:45:00,0.0,39
98.0,10.2,2019-09-25 00:00:00,0.0,39
98.0,10.1,2019-09-25 00:15:00,0.0,39
98.0,10.0,2019-09-25 00:30:00,0.0,39
96.0,10.1,2019-09-25 00:45:00,0.0,39
93.0,10.2,2019-09-25 01:00:00,0.0,39
90.0,10.3,2019-09-25 01:15:00,0.0,39
93.0,10.2,2019-09-25 01:30:00,0.0,39
93.0,10.1,2019-09-25 01:45:00,0.0,39
93.0,10.2,2019-09-25 02:00:00,0.0,39
93.0,10.2,2019-09-25 02:15:00,0.0,39
91.0,10.3,2019-09-25 02:30:00,0.0,39
91.0,10.4,2019-09-25 02:45:00,0.0,39
93.0,10.3,2019-09-25 03:00:00,0.0,39
