ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,week_of_year
9.0,0.0,9.0,2017-02-05, 15.0,6
2.0,0.0,2.0,2017-02-06, 9.0,6
0.0,0.0,0.0,2017-02-07, 2.0,6
13.2,6.2,7.0,2017-02-08, 0.0,6
21.5,21.5,0.0,2017-02-09, 7.0,6
0.0,0.0,0.0,2017-02-10, 0.0,6
0.0,0.0,0.0,2017-02-11, 0.0,6
