ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,week_of_year
7.2,0.0,7.2,2017-02-05,23.0,6
4.2,0.0,4.2,2017-02-06,20.0,6
0.0,0.0,0.0,2017-02-07,24.0,6
28.0,21.4,6.6,2017-02-08,19.0,6
23.0,23.0,0.0,2017-02-09,20.0,6
0.4,0.4,0.0,2017-02-10,10.0,6
0.0,0.0,0.0,2017-02-11,8.0,6
