station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, -15.8, 3.902, 84.2, 84.2, 2018-01-01 00:00:00, -15.81
None, -15.5, 3.781, 85.5, 85.5, 2018-01-01 01:00:00, -15.53
None, -15.2, 4.514, 84.7, 84.7, 2018-01-01 02:00:00, -15.21
None, -14.9, 4.015, 80.5, 80.5, 2018-01-01 03:00:00, -14.85
None, -14.5, 4.139, 76.6, 76.6, 2018-01-01 04:00:00, -14.48
None, -14.6, 3.912, 77.2, 77.2, 2018-01-01 05:00:00, -14.58
None, -14.8, 3.466, 79.0, 79.0, 2018-01-01 06:00:00, -14.83
None, -14.7, 3.49, 78.7, 78.7, 2018-01-01 07:00:00, -14.74
None, -14.2, 3.698, 76.0, 76.0, 2018-01-01 08:00:00, -14.24
None, -15.0, 4.047, 79.0, 79.0, 2018-01-01 09:00:00, -15.04
None, -15.8, 2.67, 80.2, 80.2, 2018-01-01 10:00:00, -15.75
None, -15.1, 2.842, 76.7, 76.7, 2018-01-01 11:00:00, -15.1
None, -13.9, 2.938, 75.3, 75.3, 2018-01-01 12:00:00, -13.9
None, -12.8, 3.992, 74.6, 74.6, 2018-01-01 13:00:00, -12.75
None, -12.0, 4.264, 74.5, 74.5, 2018-01-01 14:00:00, -12.03
None, -11.3, 3.105, 75.3, 75.3, 2018-01-01 15:00:00, -11.29
None, -10.7, 3.083, 75.5, 75.5, 2018-01-01 16:00:00, -10.7
None, -10.4, 3.576, 77.0, 77.0, 2018-01-01 17:00:00, -10.36
None, -10.3, 2.112, 78.6, 78.6, 2018-01-01 18:00:00, -10.29
None, -10.6, 1.94, 80.2, 80.2, 2018-01-01 19:00:00, -10.59
None, -11.7, 1.802, 83.8, 83.8, 2018-01-01 20:00:00, -11.67
None, -12.3, 2.132, 85.8, 85.8, 2018-01-01 21:00:00, -12.27
None, -12.8, 2.467, 86.0, 86.0, 2018-01-01 22:00:00, -12.76
None, -12.1, 3.074, 83.7, 83.7, 2018-01-01 23:00:00, -12.11
None, -12.1, 3.703, 83.3, 83.3, 2018-01-02 00:00:00, -12.12
None, -11.8, 3.886, 81.5, 81.5, 2018-01-02 01:00:00, -11.77
None, -12.3, 4.179, 82.7, 82.7, 2018-01-02 02:00:00, -12.32
None, -12.5, 3.789, 82.5, 82.5, 2018-01-02 03:00:00, -12.47
None, -12.9, 3.129, 83.3, 83.3, 2018-01-02 04:00:00, -12.93
None, -13.2, 3.963, 82.8, 82.8, 2018-01-02 05:00:00, -13.22
None, -13.6, 4.183, 83.0, 83.0, 2018-01-02 06:00:00, -13.55
None, -12.9, 3.271, 80.2, 80.2, 2018-01-02 07:00:00, -12.9
None, -12.8, 3.714, 80.9, 80.9, 2018-01-02 08:00:00, -12.82
None, -12.2, 3.159, 81.6, 81.6, 2018-01-02 09:00:00, -12.16
None, -11.8, 3.198, 81.4, 81.4, 2018-01-02 10:00:00, -11.76
None, -10.7, 3.402, 79.7, 79.7, 2018-01-02 11:00:00, -10.73
None, -9.8, 3.238, 78.2, 78.2, 2018-01-02 12:00:00, -9.76
None, -9.0, 3.652, 78.3, 78.3, 2018-01-02 13:00:00, -9.03
None, -8.3, 4.448, 77.8, 77.8, 2018-01-02 14:00:00, -8.28
None, -7.8, 3.342, 77.4, 77.4, 2018-01-02 15:00:00, -7.84
None, -8.0, 2.738, 79.1, 79.1, 2018-01-02 16:00:00, -8.0
None, -8.3, 3.058, 80.8, 80.8, 2018-01-02 17:00:00, -8.25
None, -8.5, 3.543, 82.8, 82.8, 2018-01-02 18:00:00, -8.51
None, -8.8, 3.27, 83.7, 83.7, 2018-01-02 19:00:00, -8.81
None, -9.4, 3.061, 85.5, 85.5, 2018-01-02 20:00:00, -9.36
None, -9.8, 2.965, 86.1, 86.1, 2018-01-02 21:00:00, -9.79
None, -10.2, 3.354, 86.5, 86.5, 2018-01-02 22:00:00, -10.21
None, -10.1, 2.979, 86.2, 86.2, 2018-01-02 23:00:00, -10.09
None, -9.8, 2.938, 85.1, 85.1, 2018-01-03 00:00:00, -9.77
None, -9.7, 2.818, 85.3, 85.3, 2018-01-03 01:00:00, -9.73
None, -9.4, 2.804, 84.6, 84.6, 2018-01-03 02:00:00, -9.41
None, -9.0, 3.38, 83.4, 83.4, 2018-01-03 03:00:00, -8.97
None, -8.5, 3.264, 82.5, 82.5, 2018-01-03 04:00:00, -8.53
None, -8.5, 3.036, 82.8, 82.8, 2018-01-03 05:00:00, -8.51
None, -8.2, 3.443, 82.4, 82.4, 2018-01-03 06:00:00, -8.24
None, -8.1, 3.351, 83.4, 83.4, 2018-01-03 07:00:00, -8.11
None, -7.9, 3.214, 83.5, 83.5, 2018-01-03 08:00:00, -7.86
None, -7.3, 3.522, 81.5, 81.5, 2018-01-03 09:00:00, -7.35
None, -7.1, 3.712, 81.5, 81.5, 2018-01-03 10:00:00, -7.06
None, -6.6, 3.617, 80.6, 80.6, 2018-01-03 11:00:00, -6.558
None, -5.9, 3.603, 79.1, 79.1, 2018-01-03 12:00:00, -5.947
None, -5.1, 3.01, 77.3, 77.3, 2018-01-03 13:00:00, -5.142
None, -4.5, 3.293, 76.7, 76.7, 2018-01-03 14:00:00, -4.536
None, -4.1, 3.511, 77.5, 77.5, 2018-01-03 15:00:00, -4.133
None, -3.7, 2.175, 79.0, 79.0, 2018-01-03 16:00:00, -3.722
None, -3.6, 2.491, 79.7, 79.7, 2018-01-03 17:00:00, -3.565
None, -3.6, 2.694, 81.9, 81.9, 2018-01-03 18:00:00, -3.615
None, -3.8, 3.092, 83.3, 83.3, 2018-01-03 19:00:00, -3.767
None, -4.1, 3.026, 85.3, 85.3, 2018-01-03 20:00:00, -4.142
None, -3.9, 3.161, 84.2, 84.2, 2018-01-03 21:00:00, -3.926
None, -3.7, 2.834, 82.2, 82.2, 2018-01-03 22:00:00, -3.661
None, -3.8, 3.196, 83.4, 83.4, 2018-01-03 23:00:00, -3.761
None, -3.7, 2.671, 82.4, 82.4, 2018-01-04 00:00:00, -3.662
None, -3.4, 3.586, 80.7, 80.7, 2018-01-04 01:00:00, -3.448
None, -3.5, 4.128, 81.2, 81.2, 2018-01-04 02:00:00, -3.531
None, -3.6, 3.857, 81.1, 81.1, 2018-01-04 03:00:00, -3.582
None, -3.9, 3.727, 81.8, 81.8, 2018-01-04 04:00:00, -3.889
None, -4.2, 3.888, 83.3, 83.3, 2018-01-04 05:00:00, -4.183
None, -3.9, 4.53, 80.9, 80.9, 2018-01-04 06:00:00, -3.945
None, -3.9, 3.597, 80.4, 80.4, 2018-01-04 07:00:00, -3.876
None, -3.7, 3.909, 80.8, 80.8, 2018-01-04 08:00:00, -3.725
None, -3.6, 4.151, 80.2, 80.2, 2018-01-04 09:00:00, -3.587
None, -3.6, 3.446, 79.9, 79.9, 2018-01-04 10:00:00, -3.6
None, -3.2, 3.64, 79.0, 79.0, 2018-01-04 11:00:00, -3.204
None, -2.7, 3.701, 78.7, 78.7, 2018-01-04 12:00:00, -2.713
None, -2.5, 3.721, 83.7, 83.7, 2018-01-04 13:00:00, -2.46
None, -2.1, 3.516, 84.9, 84.9, 2018-01-04 14:00:00, -2.143
None, -1.9, 2.995, 85.9, 85.9, 2018-01-04 15:00:00, -1.851
None, -1.7, 3.395, 85.1, 85.1, 2018-01-04 16:00:00, -1.698
None, -1.7, 3.052, 84.7, 84.7, 2018-01-04 17:00:00, -1.657
None, -1.7, 2.908, 86.6, 86.6, 2018-01-04 18:00:00, -1.728
None, -1.6, 2.969, 86.9, 86.9, 2018-01-04 19:00:00, -1.605
None, -1.5, 3.155, 88.7, 88.7, 2018-01-04 20:00:00, -1.505
None, -1.4, 3.026, 89.2, 89.2, 2018-01-04 21:00:00, -1.419
None, -1.4, 2.836, 89.0, 89.0, 2018-01-04 22:00:00, -1.419
None, -1.4, 2.659, 89.4, 89.4, 2018-01-04 23:00:00, -1.413
None, -1.4, 2.974, 90.6, 90.6, 2018-01-05 00:00:00, -1.393
None, -1.3, 3.563, 92.1, 92.1, 2018-01-05 01:00:00, -1.252
None, -1.1, 3.585, 90.9, 90.9, 2018-01-05 02:00:00, -1.069
None, -1.0, 3.331, 90.2, 90.2, 2018-01-05 03:00:00, -0.986998
None, -1.0, 3.135, 90.7, 90.7, 2018-01-05 04:00:00, -0.982999
