station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, -19.0, 1.558, None, 87.1, 2018-01-01 00:00:00, 87.1, -19.03
None, -19.3, 1.004, None, 86.1, 2018-01-01 01:00:00, 86.1, -19.27
None, -19.6, 1.142, None, 85.6, 2018-01-01 02:00:00, 85.6, -19.56
None, -20.0, 1.307, None, 85.0, 2018-01-01 03:00:00, 85.0, -20.02
None, -19.8, 1.394, None, 84.6, 2018-01-01 04:00:00, 84.6, -19.78
None, -19.4, 1.289, None, 85.2, 2018-01-01 05:00:00, 85.2, -19.39
None, -18.6, 1.255, None, 85.7, 2018-01-01 06:00:00, 85.7, -18.62
None, -17.9, 1.284, None, 86.3, 2018-01-01 07:00:00, 86.3, -17.85
None, -16.7, 0.935998, None, 87.4, 2018-01-01 08:00:00, 87.4, -16.69
None, -15.8, 0.950999, None, 88.0, 2018-01-01 09:00:00, 88.0, -15.83
None, -14.5, 1.664, None, 88.9, 2018-01-01 10:00:00, 88.9, -14.51
None, -12.4, 3.323, None, 87.2, 2018-01-01 11:00:00, 87.2, -12.41
None, -10.2, 3.979, None, 75.7, 2018-01-01 12:00:00, 75.7, -10.22
None, -8.8, 4.042, None, 74.1, 2018-01-01 13:00:00, 74.1, -8.77
None, -8.1, 4.223, None, 74.7, 2018-01-01 14:00:00, 74.7, -8.14
None, -7.7, 4.493, None, 74.0, 2018-01-01 15:00:00, 74.0, -7.67
None, -7.6, 3.955, None, 74.5, 2018-01-01 16:00:00, 74.5, -7.59
None, -8.1, 2.444, None, 77.2, 2018-01-01 17:00:00, 77.2, -8.13
None, -9.8, 1.345, None, 81.6, 2018-01-01 18:00:00, 81.6, -9.77
None, -10.8, 1.589, None, 84.2, 2018-01-01 19:00:00, 84.2, -10.75
None, -10.9, 1.208, None, 86.6, 2018-01-01 20:00:00, 86.6, -10.87
None, -11.4, 1.474, None, 87.8, 2018-01-01 21:00:00, 87.8, -11.42
None, -11.7, 1.12, None, 92.8, 2018-01-01 22:00:00, 92.8, -11.74
None, -12.4, 1.045, None, 90.8, 2018-01-01 23:00:00, 90.8, -12.43
None, -12.6, 1.679, None, 89.2, 2018-01-02 00:00:00, 89.2, -12.64
None, -13.2, 1.377, None, 89.7, 2018-01-02 01:00:00, 89.7, -13.17
None, -13.5, 0.887, None, 89.2, 2018-01-02 02:00:00, 89.2, -13.54
None, -14.1, 1.181, None, 89.7, 2018-01-02 03:00:00, 89.7, -14.05
None, -14.1, 0.657998, None, 90.5, 2018-01-02 04:00:00, 90.5, -14.14
None, -14.6, 1.175, None, 90.8, 2018-01-02 05:00:00, 90.8, -14.59
None, -14.8, 0.972, None, 91.1, 2018-01-02 06:00:00, 91.1, -14.75
None, -14.8, 1.352, None, 90.4, 2018-01-02 07:00:00, 90.4, -14.84
None, -14.9, 1.395, None, 89.3, 2018-01-02 08:00:00, 89.3, -14.94
None, -15.0, 1.092, None, 89.1, 2018-01-02 09:00:00, 89.1, -14.98
None, -14.8, 1.194, None, 88.8, 2018-01-02 10:00:00, 88.8, -14.79
None, -13.4, 1.025, None, 88.8, 2018-01-02 11:00:00, 88.8, -13.35
None, -11.7, 1.022, None, 78.7, 2018-01-02 12:00:00, 78.7, -11.66
None, -10.3, 1.066, None, 76.3, 2018-01-02 13:00:00, 76.3, -10.31
None, -10.2, 1.182, None, 76.8, 2018-01-02 14:00:00, 76.8, -10.24
None, -10.0, 0.759, None, 79.1, 2018-01-02 15:00:00, 79.1, -10.0
None, -10.4, 1.18, None, 80.6, 2018-01-02 16:00:00, 80.6, -10.43
None, -10.8, 1.155, None, 82.8, 2018-01-02 17:00:00, 82.8, -10.79
None, -11.1, 1.356, None, 88.2, 2018-01-02 18:00:00, 88.2, -11.1
