station_observations
WDIR_VECT, TEMP_MEAN, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, -17.5, 77.1, 77.06, 2018-01-01 00:00:00, -17.54
None, -17.6, 76.6, 76.61, 2018-01-01 01:00:00, -17.62
None, -17.5, 76.1, 76.07, 2018-01-01 02:00:00, -17.47
None, -17.5, 75.9, 75.86, 2018-01-01 03:00:00, -17.46
None, -16.9, 72.4, 72.43, 2018-01-01 04:00:00, -16.91
None, -16.9, 72.0, 72.02, 2018-01-01 05:00:00, -16.87
None, -16.6, 72.4, 72.41, 2018-01-01 06:00:00, -16.58
None, -16.8, 73.8, 73.82, 2018-01-01 07:00:00, -16.79
None, -17.9, 75.6, 75.56, 2018-01-01 08:00:00, -17.94
None, -19.1, 75.2, 75.16, 2018-01-01 09:00:00, -19.1
None, -19.3, 74.6, 74.55, 2018-01-01 10:00:00, -19.3
None, -17.5, 72.4, 72.35, 2018-01-01 11:00:00, -17.45
None, -15.2, 67.8, 67.76, 2018-01-01 12:00:00, -15.16
None, -14.0, 67.1, 67.14, 2018-01-01 13:00:00, -13.99
None, -12.9, 67.4, 67.38, 2018-01-01 14:00:00, -12.85
None, -12.1, 67.5, 67.46, 2018-01-01 15:00:00, -12.09
None, -12.0, 71.2, 71.19, 2018-01-01 16:00:00, -12.02
None, -12.6, 73.6, 73.58, 2018-01-01 17:00:00, -12.61
None, -13.3, 76.7, 76.68, 2018-01-01 18:00:00, -13.3
None, -14.0, 78.0, 77.98, 2018-01-01 19:00:00, -14.01
None, -14.8, 79.3, 79.34, 2018-01-01 20:00:00, -14.83
None, -15.9, 79.6, 79.6, 2018-01-01 21:00:00, -15.85
None, -16.5, 79.1, 79.09, 2018-01-01 22:00:00, -16.49
None, -17.0, 78.3, 78.25, 2018-01-01 23:00:00, -16.97
None, -17.0, 77.9, 77.87, 2018-01-02 00:00:00, -17.0
None, -17.1, 77.9, 77.92, 2018-01-02 01:00:00, -17.12
None, -16.9, 77.8, 77.83, 2018-01-02 02:00:00, -16.86
None, -17.4, 77.6, 77.61, 2018-01-02 03:00:00, -17.36
None, -17.8, 76.8, 76.75, 2018-01-02 04:00:00, -17.79
None, -18.5, 76.1, 76.07, 2018-01-02 05:00:00, -18.45
None, -19.2, 75.8, 75.76, 2018-01-02 06:00:00, -19.22
None, -19.3, 75.3, 75.33, 2018-01-02 07:00:00, -19.32
None, -19.7, 74.8, 74.83, 2018-01-02 08:00:00, -19.7
None, -18.2, 76.2, 76.2, 2018-01-02 09:00:00, -18.17
None, -17.1, 76.9, 76.91, 2018-01-02 10:00:00, -17.08
None, -15.8, 77.7, 77.67, 2018-01-02 11:00:00, -15.81
None, -12.3, 77.5, 77.49, 2018-01-02 12:00:00, -12.33
None, -10.8, 77.4, 77.36, 2018-01-02 13:00:00, -10.82
None, -9.9, 75.3, 75.31, 2018-01-02 14:00:00, -9.87
None, -9.0, 74.7, 74.69, 2018-01-02 15:00:00, -9.02
None, -9.2, 76.8, 76.84, 2018-01-02 16:00:00, -9.19
None, -9.4, 76.7, 76.7, 2018-01-02 17:00:00, -9.41
None, -10.5, 81.3, 81.3, 2018-01-02 18:00:00, -10.5
None, -12.0, 83.3, 83.3, 2018-01-02 19:00:00, -12.01
None, -12.3, 83.8, 83.8, 2018-01-02 20:00:00, -12.28
None, -12.8, 83.3, 83.3, 2018-01-02 21:00:00, -12.75
None, -13.6, 82.9, 82.9, 2018-01-02 22:00:00, -13.57
None, -14.4, 81.8, 81.8, 2018-01-02 23:00:00, -14.35
None, -13.7, 82.0, 82.0, 2018-01-03 00:00:00, -13.67
None, -12.7, 82.4, 82.4, 2018-01-03 01:00:00, -12.65
None, -12.0, 82.5, 82.5, 2018-01-03 02:00:00, -12.02
None, -11.4, 82.3, 82.3, 2018-01-03 03:00:00, -11.43
None, -11.2, 82.3, 82.3, 2018-01-03 04:00:00, -11.17
None, -10.2, 80.8, 80.8, 2018-01-03 05:00:00, -10.24
None, -9.9, 81.1, 81.1, 2018-01-03 06:00:00, -9.85
None, -9.5, 80.6, 80.6, 2018-01-03 07:00:00, -9.5
None, -9.3, 80.4, 80.4, 2018-01-03 08:00:00, -9.32
None, -9.1, 79.6, 79.55, 2018-01-03 09:00:00, -9.07
None, -8.8, 78.8, 78.79, 2018-01-03 10:00:00, -8.77
None, -8.4, 78.1, 78.14, 2018-01-03 11:00:00, -8.36
None, -7.9, 77.7, 77.71, 2018-01-03 12:00:00, -7.873
None, -7.3, 76.3, 76.33, 2018-01-03 13:00:00, -7.344
None, -6.9, 76.0, 76.03, 2018-01-03 14:00:00, -6.852
None, -6.7, 75.9, 75.9, 2018-01-03 15:00:00, -6.65
None, -6.6, 77.3, 77.26, 2018-01-03 16:00:00, -6.6
None, -6.6, 77.1, 77.11, 2018-01-03 17:00:00, -6.641
None, -6.6, 76.7, 76.68, 2018-01-03 18:00:00, -6.579
None, -6.6, 77.6, 77.6, 2018-01-03 19:00:00, -6.588
None, -6.4, 77.3, 77.27, 2018-01-03 20:00:00, -6.426
None, -6.4, 78.5, 78.51, 2018-01-03 21:00:00, -6.414
None, -6.1, 78.5, 78.46, 2018-01-03 22:00:00, -6.148
None, -6.2, 79.2, 79.16, 2018-01-03 23:00:00, -6.185
None, -6.2, 80.4, 80.4, 2018-01-04 00:00:00, -6.2
None, -6.1, 80.2, 80.2, 2018-01-04 01:00:00, -6.112
None, -6.0, 80.6, 80.6, 2018-01-04 02:00:00, -5.995
None, -6.1, 82.6, 82.6, 2018-01-04 03:00:00, -6.078
None, -5.7, 80.9, 80.9, 2018-01-04 04:00:00, -5.667
None, -6.4, 83.8, 83.8, 2018-01-04 05:00:00, -6.398
None, -8.2, 86.9, 86.9, 2018-01-04 06:00:00, -8.18
None, -9.4, 87.4, 87.4, 2018-01-04 07:00:00, -9.36
None, -9.3, 86.9, 86.9, 2018-01-04 08:00:00, -9.29
None, -8.4, 86.7, 86.7, 2018-01-04 09:00:00, -8.44
None, -8.0, 87.0, 87.0, 2018-01-04 10:00:00, -8.03
None, -6.7, 85.3, 85.3, 2018-01-04 11:00:00, -6.67
None, -5.8, 83.6, 83.6, 2018-01-04 12:00:00, -5.839
None, -5.2, 83.0, 83.0, 2018-01-04 13:00:00, -5.229
None, -4.6, 81.3, 81.3, 2018-01-04 14:00:00, -4.643
None, -4.3, 81.8, 81.8, 2018-01-04 15:00:00, -4.343
None, -4.1, 81.1, 81.1, 2018-01-04 16:00:00, -4.14
None, -4.3, 82.4, 82.4, 2018-01-04 17:00:00, -4.322
None, -4.4, 82.5, 82.5, 2018-01-04 18:00:00, -4.437
None, -4.6, 83.1, 83.1, 2018-01-04 19:00:00, -4.552
None, -4.9, 85.7, 85.7, 2018-01-04 20:00:00, -4.862
None, -4.4, 83.5, 83.5, 2018-01-04 21:00:00, -4.385
None, -4.8, 86.7, 86.7, 2018-01-04 22:00:00, -4.819
None, -4.9, 86.6, 86.6, 2018-01-04 23:00:00, -4.865
None, -4.8, 87.8, 87.8, 2018-01-05 00:00:00, -4.75
None, -4.3, 89.1, 89.1, 2018-01-05 01:00:00, -4.271
None, -3.4, 89.5, 89.5, 2018-01-05 02:00:00, -3.443
None, -3.1, 89.9, 89.9, 2018-01-05 03:00:00, -3.109
None, -2.9, 90.3, 90.3, 2018-01-05 04:00:00, -2.92
None, -3.2, 90.1, 90.1, 2018-01-05 05:00:00, -3.199
None, -3.5, 90.0, 90.0, 2018-01-05 06:00:00, -3.519
None, -3.4, 89.3, 89.3, 2018-01-05 07:00:00, -3.433
None, -3.7, 90.8, 90.8, 2018-01-05 08:00:00, -3.693
None, -3.4, 90.5, 90.5, 2018-01-05 09:00:00, -3.407
None, -3.6, 91.7, 91.7, 2018-01-05 10:00:00, -3.553
None, -3.1, 91.2, 91.2, 2018-01-05 11:00:00, -3.067
None, -2.1, 88.8, 88.8, 2018-01-05 12:00:00, -2.11
None, -1.7, 88.4, 88.4, 2018-01-05 13:00:00, -1.7
None, -0.9, 87.2, 87.2, 2018-01-05 14:00:00, -0.943
None, -0.8, 88.2, 88.2, 2018-01-05 15:00:00, -0.772
None, -0.8, 89.8, 89.8, 2018-01-05 16:00:00, -0.758
None, -0.9, 90.8, 90.8, 2018-01-05 17:00:00, -0.936999
None, -1.3, 92.8, 92.8, 2018-01-05 18:00:00, -1.28
