station_observations
time, TEMP_MEAN, HUMIDITY
2018-01-01 00:00:00, -25.0, 78.9
2018-01-01 01:00:00, -24.5, 79.3
2018-01-01 02:00:00, -24.8, 78.5
2018-01-01 03:00:00, -24.3, 78.7
2018-01-01 04:00:00, -23.6, 78.9
2018-01-01 05:00:00, -22.2, 79.5
2018-01-01 06:00:00, -19.6, 80.2
2018-01-01 07:00:00, -14.8, 74.6
2018-01-01 08:00:00, -12.4, 70.4
2018-01-01 09:00:00, -8.9, 70.0
2018-01-01 10:00:00, -4.7, 67.7
2018-01-01 11:00:00, -3.0, 66.4
2018-01-01 12:00:00, -1.4, 62.3
2018-01-01 13:00:00, -0.7, 61.5
2018-01-01 14:00:00, -0.2, 60.4
2018-01-01 15:00:00, -0.1, 61.0
2018-01-01 16:00:00, 0.1, 60.7
2018-01-01 17:00:00, 0.1, 61.9
2018-01-01 18:00:00, 0.0, 61.8
2018-01-01 19:00:00, 0.1, 63.1
2018-01-01 20:00:00, 0.1, 64.6
2018-01-01 21:00:00, 0.0, 66.8
2018-01-01 22:00:00, 0.3, 66.8
2018-01-01 23:00:00, 0.5, 66.7
2018-01-02 00:00:00, 0.7, 67.0
2018-01-02 01:00:00, 1.4, 65.6
2018-01-02 02:00:00, 2.1, 64.3
2018-01-02 03:00:00, 2.9, 62.9
2018-01-02 04:00:00, 2.6, 63.4
2018-01-02 05:00:00, 1.9, 65.9
2018-01-02 06:00:00, 1.9, 66.8
2018-01-02 07:00:00, 2.4, 66.1
2018-01-02 08:00:00, 3.6, 63.0
2018-01-02 09:00:00, 2.9, 65.6
2018-01-02 10:00:00, 3.1, 65.4
2018-01-02 11:00:00, 3.4, 63.7
2018-01-02 12:00:00, 4.6, 59.4
2018-01-02 13:00:00, 5.0, 58.6
2018-01-02 14:00:00, 5.5, 57.4
2018-01-02 15:00:00, 5.5, 56.9
2018-01-02 16:00:00, 5.8, 53.9
2018-01-02 17:00:00, 6.0, 51.4
2018-01-02 18:00:00, 5.9, 50.2
2018-01-02 19:00:00, 5.6, 51.0
2018-01-02 20:00:00, 5.1, 53.0
2018-01-02 21:00:00, 4.5, 55.0
2018-01-02 22:00:00, 3.2, 60.3
2018-01-02 23:00:00, 2.3, 62.7
2018-01-03 00:00:00, 1.9, 63.5
2018-01-03 01:00:00, 2.8, 60.0
2018-01-03 02:00:00, 3.0, 59.2
2018-01-03 03:00:00, 2.7, 61.4
2018-01-03 04:00:00, 4.0, 59.0
2018-01-03 05:00:00, 3.9, 59.5
2018-01-03 06:00:00, 3.6, 60.5
2018-01-03 07:00:00, 3.3, 61.0
2018-01-03 08:00:00, 3.4, 59.2
2018-01-03 09:00:00, 3.8, 60.8
2018-01-03 10:00:00, 4.2, 61.3
2018-01-03 11:00:00, 4.8, 61.3
2018-01-03 12:00:00, 5.8, 60.5
2018-01-03 13:00:00, 6.4, 59.1
2018-01-03 14:00:00, 6.4, 58.8
2018-01-03 15:00:00, 6.1, 59.3
2018-01-03 16:00:00, 5.7, 61.2
2018-01-03 17:00:00, 5.4, 63.5
2018-01-03 18:00:00, 5.5, 62.0
2018-01-03 19:00:00, 5.3, 62.3
2018-01-03 20:00:00, 4.5, 65.1
2018-01-03 21:00:00, 4.5, 65.0
2018-01-03 22:00:00, 4.8, 64.2
2018-01-03 23:00:00, 4.4, 64.1
2018-01-04 00:00:00, 4.1, 64.1
2018-01-04 01:00:00, 4.2, 62.5
2018-01-04 02:00:00, 2.7, 68.5
2018-01-04 03:00:00, 2.3, 69.8
2018-01-04 04:00:00, 2.2, 69.9
2018-01-04 05:00:00, 2.4, 67.8
2018-01-04 06:00:00, 2.3, 66.5
2018-01-04 07:00:00, 1.2, 72.7
2018-01-04 08:00:00, 1.2, 73.5
2018-01-04 09:00:00, 1.3, 72.9
2018-01-04 10:00:00, 2.1, 69.8
2018-01-04 11:00:00, 3.8, 62.3
2018-01-04 12:00:00, 4.3, 59.7
2018-01-04 13:00:00, 4.4, 59.3
2018-01-04 14:00:00, 4.8, 57.5
2018-01-04 15:00:00, 4.0, 61.3
2018-01-04 16:00:00, 3.4, 63.5
2018-01-04 17:00:00, 2.5, 67.4
2018-01-04 18:00:00, 1.9, 70.5
