station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
0.1, 0.340999, 99.6, 99.6, 2018-01-04 08:00:00, 0.134
0.3, 0.345999, 99.6, 99.6, 2018-01-04 09:00:00, 0.25
0.7, 0.284, 99.5, 99.5, 2018-01-04 10:00:00, 0.737999
1.3, 0.416999, 99.3, 99.3, 2018-01-04 11:00:00, 1.311
2.2, 0.365, 98.9, 98.9, 2018-01-04 12:00:00, 2.158
2.8, 0.458, 98.6, 98.6, 2018-01-04 13:00:00, 2.812
3.6, 0.212999, 97.8, 97.8, 2018-01-04 14:00:00, 3.576
3.8, 0.333999, 97.2, 97.2, 2018-01-04 15:00:00, 3.796
3.6, 0.389999, 97.5, 97.5, 2018-01-04 16:00:00, 3.614
3.3, 0.333, 97.7, 97.7, 2018-01-04 17:00:00, 3.29
2.9, 0.361999, 97.9, 97.9, 2018-01-04 18:00:00, 2.948
2.9, 0.522, 98.1, 98.1, 2018-01-04 19:00:00, 2.867
3.0, 0.248998, 98.0, 98.0, 2018-01-04 20:00:00, 2.983
2.9, 0.331, 97.7, 97.7, 2018-01-04 21:00:00, 2.949
3.0, 0.391, 97.7, 97.7, 2018-01-04 22:00:00, 2.984
3.1, 0.407, 97.9, 97.9, 2018-01-04 23:00:00, 3.089
3.1, 0.323, 97.9, 97.9, 2018-01-05 00:00:00, 3.09
3.0, 0.328999, 97.9, 97.9, 2018-01-05 01:00:00, 3.023
3.0, 0.172998, 98.0, 98.0, 2018-01-05 02:00:00, 2.976
3.0, 0.55, 98.2, 98.2, 2018-01-05 03:00:00, 3.04
3.3, 0.305999, 98.3, 98.3, 2018-01-05 04:00:00, 3.261
3.1, 0.216998, 98.2, 98.2, 2018-01-05 05:00:00, 3.136
3.3, 0.118, 98.3, 98.3, 2018-01-05 06:00:00, 3.252
3.3, 0.114, 98.3, 98.3, 2018-01-05 07:00:00, 3.25
3.2, 0.135, 98.2, 98.2, 2018-01-05 08:00:00, 3.24
3.4, 0.165998, 98.2, 98.2, 2018-01-05 09:00:00, 3.374
3.8, 0.082998, 98.2, 98.2, 2018-01-05 10:00:00, 3.777
4.4, 0.075, 98.2, 98.2, 2018-01-05 11:00:00, 4.417
5.2, 0.142, 98.0, 98.0, 2018-01-05 12:00:00, 5.181
5.9, 0.384, 97.5, 97.5, 2018-01-05 13:00:00, 5.876
6.3, 0.144998, 97.8, 97.8, 2018-01-05 14:00:00, 6.27
6.6, 0.532998, 97.8, 97.8, 2018-01-05 15:00:00, 6.574
6.8, 0.488999, 98.0, 98.0, 2018-01-05 16:00:00, 6.813
6.9, 0.465, 97.9, 97.9, 2018-01-05 17:00:00, 6.899
6.5, 0.967998, 98.2, 98.2, 2018-01-05 18:00:00, 6.457
6.0, 0.537998, 98.4, 98.4, 2018-01-05 19:00:00, 5.965
5.7, 0.629998, 98.5, 98.5, 2018-01-05 20:00:00, 5.677
5.6, 1.077, 98.6, 98.6, 2018-01-05 21:00:00, 5.55
