station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time, avg_air_temp_pst1hr
None, -18.0, 0.948, None, 2018-01-01 00:00:00, -18.02
None, -18.2, 0.72, None, 2018-01-01 01:00:00, -18.21
None, -18.6, 0.908999, None, 2018-01-01 02:00:00, -18.64
None, -19.0, 1.144, None, 2018-01-01 03:00:00, -18.97
None, -18.5, 0.903998, None, 2018-01-01 04:00:00, -18.52
None, -17.5, 0.773, None, 2018-01-01 05:00:00, -17.54
None, -16.9, 0.462, None, 2018-01-01 06:00:00, -16.85
None, -16.8, 0.73, None, 2018-01-01 07:00:00, -16.84
None, -16.1, 0.836, None, 2018-01-01 08:00:00, -16.13
None, -15.7, 0.791998, None, 2018-01-01 09:00:00, -15.68
None, -14.9, 0.856, None, 2018-01-01 10:00:00, -14.86
None, -13.5, 1.0, None, 2018-01-01 11:00:00, -13.51
None, -12.2, 1.312, None, 2018-01-01 12:00:00, -12.19
None, -10.5, 2.15, None, 2018-01-01 13:00:00, -10.49
None, -9.9, 1.873, None, 2018-01-01 14:00:00, -9.85
None, -9.9, 1.655, None, 2018-01-01 15:00:00, -9.9
None, -10.2, 1.254, None, 2018-01-01 16:00:00, -10.15
None, -10.4, 1.365, None, 2018-01-01 17:00:00, -10.42
None, -10.2, 0.558, None, 2018-01-01 18:00:00, -10.23
None, -9.7, 0.414999, None, 2018-01-01 19:00:00, -9.71
None, -9.0, 2.018, None, 2018-01-01 20:00:00, -8.96
None, -9.1, 0.731998, None, 2018-01-01 21:00:00, -9.09
None, -9.1, 0.884, None, 2018-01-01 22:00:00, -9.05
None, -9.7, 0.368999, None, 2018-01-01 23:00:00, -9.72
None, -9.8, 0.572, None, 2018-01-02 00:00:00, -9.75
None, -9.5, 1.192, None, 2018-01-02 01:00:00, -9.53
None, -10.0, 0.649999, None, 2018-01-02 02:00:00, -9.97
None, -10.4, 0.564998, None, 2018-01-02 03:00:00, -10.42
None, -10.1, 0.517, None, 2018-01-02 04:00:00, -10.1
None, -10.1, 0.523, None, 2018-01-02 05:00:00, -10.06
None, -10.2, 0.425, None, 2018-01-02 06:00:00, -10.17
None, -10.2, 0.603999, None, 2018-01-02 07:00:00, -10.22
None, -10.1, 1.141, None, 2018-01-02 08:00:00, -10.05
None, -10.7, 0.806999, None, 2018-01-02 09:00:00, -10.71
None, -9.7, 0.883, None, 2018-01-02 10:00:00, -9.69
None, -9.6, 0.862999, None, 2018-01-02 11:00:00, -9.64
None, -9.8, 0.731, None, 2018-01-02 12:00:00, -9.77
None, -8.9, 0.621999, None, 2018-01-02 13:00:00, -8.93
None, -8.1, 0.675998, None, 2018-01-02 14:00:00, -8.09
None, -8.6, 1.653, None, 2018-01-02 15:00:00, -8.58
None, -9.6, 1.407, None, 2018-01-02 16:00:00, -9.64
None, -9.8, 1.003, None, 2018-01-02 17:00:00, -9.84
None, -9.6, 1.181, None, 2018-01-02 18:00:00, -9.56
None, -9.4, 0.828, None, 2018-01-02 19:00:00, -9.42
None, -9.8, 1.027, None, 2018-01-02 20:00:00, -9.77
None, -10.5, 0.435, None, 2018-01-02 21:00:00, -10.51
None, -10.5, 0.776, None, 2018-01-02 22:00:00, -10.51
