pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,10.7,10.7, 1011.3, 0.1, None,15.4,65.0,2022-08-27 00:00:00, None,4.0, 917.0,35
None,10.5,10.3, 1011.2, 0.0, None,15.4,67.0,2022-08-27 01:00:00, None,5.0, 917.0,35
None,9.7,9.8, 1011.1, -0.2, None,15.4,76.0,2022-08-27 02:00:00, None,6.0, 917.0,35
None,9.5,9.4, 1011.2, 0.2, None,15.4,80.0,2022-08-27 03:00:00, None,7.0, 917.0,35
None,9.1,8.9, 1011.2, 0.1, None,15.4,85.0,2022-08-27 04:00:00, None,7.0, 917.0,35
None,8.5,8.5, 1011.2, 0.1, None,15.4,89.0,2022-08-27 05:00:00, None,7.0, 917.0,35
None,8.5,8.4, 1010.3, 0.0, None,15.4,90.0,2022-08-27 06:00:00, None,7.0, 916.0,35
None,8.5,8.4, 1010.4, 0.0, None,8.8,89.0,2022-08-27 07:00:00, None,7.0, 916.0,35
None,8.6,8.4, 1010.5, 0.1, None,8.9,88.0,2022-08-27 08:00:00, None,7.0, 916.0,35
None,9.2,8.4, 1010.5, 0.0, None,9.3,86.0,2022-08-27 09:00:00, None,7.0, 916.0,35
None,10.1,8.4, 1009.3, 0.0, None,10.3,81.0,2022-08-27 10:00:00, None,7.0, 915.0,35
None,10.6,8.4, 1009.4, -0.1, None,11.0,77.0,2022-08-27 11:00:00, None,7.0, 915.0,35
None,10.8,8.4, 1009.4, 0.1, None,11.0,77.0,2022-08-27 12:00:00, None,7.0, 915.0,35
None,9.4,8.4, 1009.5, 0.7, None,11.0,95.0,2022-08-27 13:00:00, None,9.0, 915.0,35
None,10.5,8.4, 1009.5, 0.0, None,11.0,88.0,2022-08-27 14:00:00, None,8.0, 915.0,35
None,10.9,8.4, 1008.4, 0.0, None,11.0,83.0,2022-08-27 15:00:00, None,8.0, 914.0,35
None,10.2,8.4, 1008.5, 0.2, None,11.0,93.0,2022-08-27 16:00:00, None,9.0, 914.0,35
None,9.5,8.4, 1008.6, 1.0, None,11.0,96.0,2022-08-27 17:00:00, None,9.0, 914.0,35
None,9.6,8.4, 1008.6, 0.6, None,11.0,96.0,2022-08-27 18:00:00, None,9.0, 914.0,35
