WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, -5.5, 91.1, 91.1,2017-12-17 00:00:00, -5.507,51
None, -5.9, 91.4, 91.4,2017-12-17 01:00:00, -5.905,51
None, -6.1, 90.8, 90.8,2017-12-17 02:00:00, -6.099,51
None, -0.2, 84.1, 84.1,2017-12-17 03:00:00, -0.221,51
None, 2.8, 78.5, 78.45,2017-12-17 04:00:00, 2.775,51
None, 3.0, 74.0, 73.97,2017-12-17 05:00:00, 3.004,51
None, 2.7, 69.3, 69.32,2017-12-17 06:00:00, 2.67,51
None, 2.5, 64.5, 64.48,2017-12-17 07:00:00, 2.524,51
None, 0.2, 77.3, 77.28,2017-12-17 08:00:00, 0.212999,51
None, -1.0, 85.3, 85.3,2017-12-17 09:00:00, -1.04,51
None, -1.9, 87.4, 87.4,2017-12-17 10:00:00, -1.874,51
None, -2.0, 88.1, 88.1,2017-12-17 11:00:00, -1.993,51
None, -1.6, 86.6, 86.6,2017-12-17 12:00:00, -1.552,51
None, -1.0, 85.6, 85.6,2017-12-17 13:00:00, -0.995,51
None, -0.9, 87.6, 87.6,2017-12-17 14:00:00, -0.92,51
None, -0.4, 80.7, 80.7,2017-12-17 15:00:00, -0.412999,51
None, -0.2, 74.9, 74.9,2017-12-17 16:00:00, -0.209,51
None, 0.2, 69.3, 69.27,2017-12-17 17:00:00, 0.160999,51
None, -0.6, 74.4, 74.39,2017-12-17 18:00:00, -0.603999,51
None, -1.5, 82.1, 82.1,2017-12-17 19:00:00, -1.494,51
None, -2.2, 85.7, 85.7,2017-12-17 20:00:00, -2.234,51
None, -2.7, 87.4, 87.4,2017-12-17 21:00:00, -2.746,51
None, -3.5, 89.5, 89.5,2017-12-17 22:00:00, -3.492,51
None, -4.8, 91.0, 91.0,2017-12-17 23:00:00, -4.799,51
None, -5.5, 92.3, 92.3,2017-12-18 00:00:00, -5.537,51
None, -6.0, 91.5, 91.5,2017-12-18 01:00:00, -6.001,51
None, -6.3, 91.0, 91.0,2017-12-18 02:00:00, -6.297,51
None, -6.9, 90.5, 90.5,2017-12-18 03:00:00, -6.878,51
None, -7.8, 90.5, 90.5,2017-12-18 04:00:00, -7.815,51
None, -8.8, 90.3, 90.3,2017-12-18 05:00:00, -8.81,51
None, -9.4, 89.3, 89.3,2017-12-18 06:00:00, -9.35,51
None, -9.9, 88.4, 88.4,2017-12-18 07:00:00, -9.93,51
None, -9.6, 87.0, 87.0,2017-12-18 08:00:00, -9.55,51
None, -9.3, 86.9, 86.9,2017-12-18 09:00:00, -9.27,51
None, -8.3, 86.8, 86.8,2017-12-18 10:00:00, -8.32,51
None, -7.4, 87.0, 87.0,2017-12-18 11:00:00, -7.369,51
None, -5.7, 85.6, 85.6,2017-12-18 12:00:00, -5.747,51
None, -2.9, 79.9, 79.87,2017-12-18 13:00:00, -2.923,51
