station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
33.4, 33.4, 0.0, 2015-01-04 00:00:00, 0.0
3.2, 3.2, 0.0, 2015-01-15 00:00:00, None
37.4, 37.4, 0.0, 2015-01-17 00:00:00, None
7.2, 7.2, 0.0, 2015-01-22 00:00:00, 0.0
8.8, 8.8, 0.0, 2015-01-23 00:00:00, 0.0
1.8, 1.8, 0.0, 2015-02-01 00:00:00, 0.0
2.8, 2.8, 0.0, 2015-02-02 00:00:00, 0.0
20.6, 20.6, 0.0, 2015-02-05 00:00:00, 0.0
6.8, 6.8, 0.0, 2015-02-06 00:00:00, 0.0
6.2, 6.2, 0.0, 2015-02-09 00:00:00, 0.0
4.4, 4.4, 0.0, 2015-02-13 00:00:00, None
25.2, 25.2, 0.0, 2015-02-26 00:00:00, 0.0
3.8, 3.8, 0.0, 2015-03-01 00:00:00, 0.0
27.2, 27.2, 0.0, 2015-03-15 00:00:00, 0.0
17.4, 17.4, 0.0, 2015-03-19 00:00:00, 0.0
16.4, 16.4, 0.0, 2015-03-20 00:00:00, 0.0
6.2, 6.2, 0.0, 2015-03-29 00:00:00, 0.0
3.4, 3.4, 0.0, 2015-04-10 00:00:00, None
2.4, 2.4, 0.0, 2015-04-12 00:00:00, None
2.6, 2.6, 0.0, 2015-04-13 00:00:00, 0.0
3.8, 3.8, 0.0, 2015-04-24 00:00:00, 0.0
3.4, 3.4, 0.0, 2015-06-18 00:00:00, None
1.0, 1.0, 0.0, 2015-07-11 00:00:00, None
4.2, 4.2, 0.0, 2015-07-24 00:00:00, 0.0
3.8, 3.8, 0.0, 2015-09-16 00:00:00, None
1.0, 1.0, 0.0, 2015-09-17 00:00:00, 0.0
6.0, 6.0, 0.0, 2015-09-24 00:00:00, None
6.2, 6.2, 0.0, 2015-10-12 00:00:00, None
8.2, 8.2, 0.0, 2015-10-28 00:00:00, 0.0
11.6, 11.6, 0.0, 2015-10-31 00:00:00, 0.0
7.2, 7.2, 0.0, 2015-11-07 00:00:00, 0.0
42.2, 42.2, 0.0, 2015-11-12 00:00:00, None
13.8, 13.8, 0.0, 2015-11-14 00:00:00, 0.0
23.6, 23.6, 0.0, 2015-11-16 00:00:00, None
10.8, 10.8, 0.0, 2015-11-23 00:00:00, None
10.8, 10.8, 0.0, 2015-12-01 00:00:00, 0.0
4.4, 4.4, 0.0, 2015-12-03 00:00:00, 0.0
16.6, 16.6, 0.0, 2015-12-05 00:00:00, 0.0
11.2, 11.2, 0.0, 2015-12-06 00:00:00, 0.0
16.6, 16.6, 0.0, 2015-12-07 00:00:00, 0.0
25.8, 25.8, 0.0, 2015-12-09 00:00:00, None
7.2, 7.2, 0.0, 2015-12-10 00:00:00, 0.0
30.6, 30.6, 0.0, 2015-12-17 00:00:00, 0.0
5.2, 5.2, 0.0, 2015-12-18 00:00:00, 0.0
5.8, 5.8, 0.0, 2015-12-20 00:00:00, 0.0
4.8, 4.8, 0.0, 2015-12-22 00:00:00, None
11.8, 11.8, 0.0, 2015-12-26 00:00:00, 0.0
10.8, 10.8, 0.0, 2015-12-27 00:00:00, 0.0
