CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,9.37,17.58, None, None, None, None, 0.603,0.002, 12.99, None, None, None, None, None,-14.0, None, None, None, None, None, None, None,2019-07-09 00:00:00, None, None, None, None,28
None,8.85,17.79, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-14.0, None, None, None, None, None, None, None,2019-07-09 01:00:00, None, None, None, None,28
None,8.57,17.82, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-14.0, None, None, None, None, None, None, None,2019-07-09 02:00:00, None, None, None, None,28
None,8.39,17.93, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 03:00:00, None, None, None, None,28
None,8.02,18.04, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 04:00:00, None, None, None, None,28
None,7.65,18.16, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 05:00:00, None, None, None, None,28
None,7.79,18.11, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 06:00:00, None, None, None, None,28
None,8.28,17.97, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 07:00:00, None, None, None, None,28
None,7.82,18.1, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-15.0, None, None, None, None, None, None, None,2019-07-09 08:00:00, None, None, None, None,28
None,9.67,17.55, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-14.0, None, None, None, None, None, None, None,2019-07-09 09:00:00, None, None, None, None,28
None,13.33,16.45, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-12.0, None, None, None, None, None, None, None,2019-07-09 10:00:00, None, None, None, None,28
None,14.86,15.99, None, None, None, None, 0.0,0.0, 0.0, None, None, None, None, None,-11.0, None, None, None, None, None, None, None,2019-07-09 11:00:00, None, None, None, None,28
None,15.26,15.87, None, None, None, None, 12.67,0.873, 183.0, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-09 12:00:00, None, None, None, None,28
None,16.9,15.38, None, None, None, None, 10.59,1.811, 184.2, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-09 13:00:00, None, None, None, None,28
None,19.0,14.69, None, None, None, None, 23.48,7.89, 179.5, None, None, None, None, None,-8.0, None, None, None, None, None, None, None,2019-07-09 14:00:00, None, None, None, None,28
None,18.53,14.89, None, None, None, None, 21.29,5.811, 178.8, None, None, None, None, None,-9.0, None, None, None, None, None, None, None,2019-07-09 15:00:00, None, None, None, None,28
None,19.32,14.65, None, None, None, None, 21.2,6.51, 199.3, None, None, None, None, None,-8.0, None, None, None, None, None, None, None,2019-07-09 16:00:00, None, None, None, None,28
None,20.59,14.27, None, None, None, None, 24.66,8.89, 194.0, None, None, None, None, None,-8.0, None, None, None, None, None, None, None,2019-07-09 17:00:00, None, None, None, None,28
None,20.2,14.39, None, None, None, None, 29.0,5.53, 198.3, None, None, None, None, None,-8.0, None, None, None, None, None, None, None,2019-07-09 18:00:00, None, None, None, None,28
None,18.98,14.76, None, None, None, None, 20.7,3.15, 183.1, None, None, None, None, None,-8.0, None, None, None, None, None, None, None,2019-07-09 19:00:00, None, None, None, None,28
None,18.63,14.86, None, None, None, None, 22.17,3.807, 172.3, None, None, None, None, None,-9.0, None, None, None, None, None, None, None,2019-07-09 20:00:00, None, None, None, None,28
None,16.43,15.52, None, None, None, None, 6.813,1.02, 113.1, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-09 21:00:00, None, None, None, None,28
None,15.81,15.71, None, None, None, None, 16.8,12.45, 123.7, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-09 22:00:00, None, None, None, None,28
None,15.66,15.75, None, None, None, None, 18.7,11.18, 123.5, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-09 23:00:00, None, None, None, None,28
None,15.63,15.76, None, None, None, None, 13.75,9.93, 112.0, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-10 00:00:00, None, None, None, None,28
None,15.51,15.8, None, None, None, None, 14.86,11.29, 106.8, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-10 01:00:00, None, None, None, None,28
None,15.3,15.86, None, None, None, None, 15.62,15.68, 118.4, None, None, None, None, None,-10.0, None, None, None, None, None, None, None,2019-07-10 02:00:00, None, None, None, None,28
None,14.83,16.0, None, None, None, None, 14.6,12.72, 116.5, None, None, None, None, None,-11.0, None, None, None, None, None, None, None,2019-07-10 03:00:00, None, None, None, None,28
None,14.53,16.09, None, None, None, None, 14.35,9.78, 109.5, None, None, None, None, None,-11.0, None, None, None, None, None, None, None,2019-07-10 04:00:00, None, None, None, None,28
