RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
18.49, None, None, None,4.387,261.1, None, None,-16.0, None, None, None, None, None, None, None, None,6.745, None, None, None, None,17.42, None, None, None, None, None,2019-08-13 00:00:00, None,33
17.42, None, None, None,1.668,188.7, None, None,-14.0, None, None, None, None, None, None, None, None,10.11, None, None, None, None,31.34, None, None, None, None, None,2019-08-13 09:00:00, None,33
17.21, None, None, None,1.029,90.2, None, None,-13.0, None, None, None, None, None, None, None, None,10.79, None, None, None, None,47.74, None, None, None, None, None,2019-08-13 10:00:00, None,33
17.49, None, None, None,1.126,81.2, None, None,-14.0, None, None, None, None, None, None, None, None,9.87, None, None, None, None,45.01, None, None, None, None, None,2019-08-13 11:00:00, None,33
17.41, None, None, None,1.349,76.9, None, None,-14.0, None, None, None, None, None, None, None, None,10.12, None, None, None, None,43.37, None, None, None, None, None,2019-08-13 12:00:00, None,33
17.05, None, None, None,0.833,92.4, None, None,-13.0, None, None, None, None, None, None, None, None,11.34, None, None, None, None,56.09, None, None, None, None, None,2019-08-13 13:00:00, None,33
17.29, None, None, None,1.32,302.3, None, None,-13.0, None, None, None, None, None, None, None, None,10.52, None, None, None, None,44.34, None, None, None, None, None,2019-08-13 14:00:00, None,33
16.73, None, None, None,0.731,228.5, None, None,-12.0, None, None, None, None, None, None, None, None,12.39, None, None, None, None,64.93, None, None, None, None, None,2019-08-13 15:00:00, None,33
16.85, None, None, None,2.911,294.0, None, None,-12.0, None, None, None, None, None, None, None, None,12.0, None, None, None, None,45.42, None, None, None, None, None,2019-08-13 16:00:00, None,33
16.58, None, None, None,1.677,307.4, None, None,-12.0, None, None, None, None, None, None, None, None,12.91, None, None, None, None,51.38, None, None, None, None, None,2019-08-13 17:00:00, None,33
16.75, None, None, None,1.67,192.7, None, None,-12.0, None, None, None, None, None, None, None, None,12.33, None, None, None, None,41.29, None, None, None, None, None,2019-08-13 18:00:00, None,33
17.06, None, None, None,2.504,276.1, None, None,-13.0, None, None, None, None, None, None, None, None,11.29, None, None, None, None,35.71, None, None, None, None, None,2019-08-13 19:00:00, None,33
17.36, None, None, None,3.951,273.8, None, None,-13.0, None, None, None, None, None, None, None, None,10.29, None, None, None, None,19.31, None, None, None, None, None,2019-08-13 20:00:00, None,33
18.0, None, None, None,6.06,252.7, None, None,-15.0, None, None, None, None, None, None, None, None,7.97, None, None, None, None,40.78, None, None, None, None, None,2019-08-13 21:00:00, None,33
18.24, None, None, None,9.99,148.0, None, None,-15.0, None, None, None, None, None, None, None, None,7.36, None, None, None, None,40.3, None, None, None, None, None,2019-08-13 22:00:00, None,33
17.97, None, None, None,10.52,309.9, None, None,-15.0, None, None, None, None, None, None, None, None,8.27, None, None, None, None,11.52, None, None, None, None, None,2019-08-13 23:00:00, None,33
17.78, None, None, None,3.271,306.0, None, None,-14.0, None, None, None, None, None, None, None, None,8.9, None, None, None, None,24.45, None, None, None, None, None,2019-08-14 00:00:00, None,33
17.77, None, None, None,4.632,244.5, None, None,-14.0, None, None, None, None, None, None, None, None,8.71, None, None, None, None,23.98, None, None, None, None, None,2019-08-14 01:00:00, None,33
17.99, None, None, None,5.791,277.5, None, None,-15.0, None, None, None, None, None, None, None, None,8.19, None, None, None, None,8.52, None, None, None, None, None,2019-08-14 02:00:00, None,33
18.03, None, None, None,5.535,252.8, None, None,-15.0, None, None, None, None, None, None, None, None,8.07, None, None, None, None,13.63, None, None, None, None, None,2019-08-14 03:00:00, None,33
