WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
None, None,2.996, None,52.43,2016-04-08 00:00:00, None,12.77,15
None, None,2.76, None,54.79,2016-04-08 01:00:00, None,12.33,15
None, None,3.0, None,56.65,2016-04-08 02:00:00, None,12.06,15
None, None,3.051, None,57.16,2016-04-08 03:00:00, None,11.83,15
None, None,2.343, None,57.76,2016-04-08 04:00:00, None,11.53,15
None, None,2.488, None,56.41,2016-04-08 05:00:00, None,11.82,15
None, None,2.451, None,57.89,2016-04-08 06:00:00, None,11.23,15
None, None,3.048, None,57.72,2016-04-08 07:00:00, None,11.26,15
None, None,3.281, None,57.28,2016-04-08 08:00:00, None,11.38,15
None, None,2.446, None,58.57,2016-04-08 09:00:00, None,11.73,15
None, None,4.55, None,56.03,2016-04-08 10:00:00, None,12.51,15
None, None,5.241, None,56.1,2016-04-08 11:00:00, None,12.77,15
None, None,6.512, None,52.66,2016-04-08 12:00:00, None,14.35,15
None, None,5.602, None,46.71,2016-04-08 13:00:00, None,16.81,15
None, None,4.772, None,28.09,2016-04-08 14:00:00, None,21.36,15
None, None,8.01, None,11.0,2016-04-08 15:00:00, None,24.05,15
None, None,8.78, None,12.19,2016-04-08 16:00:00, None,22.8,15
None, None,9.03, None,13.3,2016-04-08 17:00:00, None,20.68,15
None, None,8.34, None,14.24,2016-04-08 18:00:00, None,18.82,15
None, None,8.05, None,19.25,2016-04-08 19:00:00, None,16.56,15
None, None,8.2, None,23.99,2016-04-08 20:00:00, None,14.82,15
None, None,6.183, None,29.07,2016-04-08 21:00:00, None,13.21,15
None, None,5.711, None,33.35,2016-04-08 22:00:00, None,11.78,15
None, None,1.981, None,36.81,2016-04-08 23:00:00, None,10.77,15
None, None,3.165, None,40.33,2016-04-09 00:00:00, None,9.65,15
None, None,2.305, None,45.3,2016-04-09 01:00:00, None,8.52,15
None, None,0.708, None,53.34,2016-04-09 02:00:00, None,6.821,15
None, None,0.779999, None,64.79,2016-04-09 03:00:00, None,4.813,15
None, None,1.421, None,75.4,2016-04-09 04:00:00, None,2.983,15
None, None,1.131, None,77.5,2016-04-09 05:00:00, None,1.953,15
None, None,0.847998, None,82.2,2016-04-09 06:00:00, None,1.094,15
None, None,1.71, None,81.1,2016-04-09 07:00:00, None,1.646,15
None, None,1.722, None,76.1,2016-04-09 08:00:00, None,2.434,15
None, None,0.787998, None,65.26,2016-04-09 09:00:00, None,5.355,15
None, None,1.194, None,51.0,2016-04-09 10:00:00, None,8.94,15
None, None,1.611, None,41.82,2016-04-09 11:00:00, None,10.98,15
None, None,2.889, None,36.83,2016-04-09 12:00:00, None,12.0,15
None, None,3.01, None,31.33,2016-04-09 13:00:00, None,13.13,15
None, None,2.64, None,30.44,2016-04-09 14:00:00, None,13.98,15
None, None,1.585, None,28.76,2016-04-09 15:00:00, None,14.79,15
None, None,1.828, None,27.37,2016-04-09 16:00:00, None,15.32,15
None, None,2.559, None,26.57,2016-04-09 17:00:00, None,15.58,15
None, None,2.503, None,25.84,2016-04-09 18:00:00, None,15.25,15
None, None,1.597, None,28.37,2016-04-09 19:00:00, None,14.32,15
None, None,1.711, None,39.9,2016-04-09 20:00:00, None,10.71,15
None, None,0.312, None,52.83,2016-04-09 21:00:00, None,7.85,15
None, None,0.36, None,60.15,2016-04-09 22:00:00, None,6.074,15
None, None,0.400999, None,66.42,2016-04-09 23:00:00, None,4.783,15
None, None,0.25, None,71.9,2016-04-10 00:00:00, None,3.647,15
None, None,0.837, None,76.1,2016-04-10 01:00:00, None,2.909,15
None, None,0.697, None,80.5,2016-04-10 02:00:00, None,1.895,15
None, None,1.221, None,83.5,2016-04-10 03:00:00, None,1.279,15
None, None,1.042, None,86.7,2016-04-10 04:00:00, None,0.523,15
None, None,1.259, None,87.9,2016-04-10 05:00:00, None,-0.032,15
None, None,0.754998, None,88.7,2016-04-10 06:00:00, None,-0.6,15
None, None,1.721, None,87.0,2016-04-10 07:00:00, None,0.214,15
None, None,1.963, None,83.1,2016-04-10 08:00:00, None,1.021,15
None, None,1.341, None,72.0,2016-04-10 09:00:00, None,3.23,15
None, None,0.921998, None,57.22,2016-04-10 10:00:00, None,6.488,15
None, None,1.016, None,45.47,2016-04-10 11:00:00, None,9.56,15
None, None,1.271, None,33.52,2016-04-10 12:00:00, None,12.74,15
None, None,1.785, None,26.12,2016-04-10 13:00:00, None,14.62,15
None, None,1.593, None,25.16,2016-04-10 14:00:00, None,16.06,15
None, None,1.247, None,20.51,2016-04-10 15:00:00, None,17.23,15
None, None,1.916, None,19.65,2016-04-10 16:00:00, None,17.53,15
None, None,1.256, None,18.84,2016-04-10 17:00:00, None,18.35,15
None, None,1.277, None,20.37,2016-04-10 18:00:00, None,17.93,15
None, None,0.805, None,33.9,2016-04-10 19:00:00, None,14.69,15
None, None,0.72, None,43.23,2016-04-10 20:00:00, None,11.61,15
None, None,0.521, None,50.29,2016-04-10 21:00:00, None,9.16,15
None, None,0.943, None,56.84,2016-04-10 22:00:00, None,7.72,15
None, None,0.476, None,60.66,2016-04-10 23:00:00, None,6.122,15
None, None,0.754998, None,65.55,2016-04-11 00:00:00, None,5.106,15
None, None,0.771, None,68.74,2016-04-11 01:00:00, None,4.161,15
None, None,1.204, None,73.2,2016-04-11 02:00:00, None,3.579,15
None, None,0.837, None,76.3,2016-04-11 03:00:00, None,2.634,15
None, None,1.115, None,79.4,2016-04-11 04:00:00, None,2.046,15
