WDIR_VECT,time,TEMP_MEAN,week_of_year
None,2018-07-02 00:00:00,14.4,27
None,2018-07-02 01:00:00,14.1,27
None,2018-07-02 02:00:00,13.6,27
None,2018-07-02 03:00:00,13.3,27
None,2018-07-02 04:00:00,12.8,27
None,2018-07-02 05:00:00,12.6,27
None,2018-07-02 06:00:00,12.2,27
None,2018-07-02 07:00:00,12.4,27
None,2018-07-02 08:00:00,12.7,27
None,2018-07-02 09:00:00,13.4,27
None,2018-07-02 10:00:00,14.0,27
None,2018-07-02 11:00:00,14.9,27
None,2018-07-02 12:00:00,15.6,27
None,2018-07-02 13:00:00,16.1,27
None,2018-07-02 14:00:00,16.4,27
None,2018-07-02 15:00:00,17.2,27
None,2018-07-02 16:00:00,17.7,27
None,2018-07-02 17:00:00,17.7,27
None,2018-07-02 18:00:00,18.4,27
None,2018-07-02 19:00:00,18.4,27
None,2018-07-02 20:00:00,17.9,27
None,2018-07-02 21:00:00,16.9,27
None,2018-07-02 22:00:00,15.9,27
None,2018-07-02 23:00:00,14.4,27
None,2018-07-03 00:00:00,13.3,27
None,2018-07-03 01:00:00,12.7,27
None,2018-07-03 02:00:00,12.5,27
None,2018-07-03 03:00:00,12.0,27
None,2018-07-03 04:00:00,11.6,27
None,2018-07-03 05:00:00,11.4,27
None,2018-07-03 06:00:00,10.9,27
None,2018-07-03 07:00:00,12.1,27
None,2018-07-03 08:00:00,13.3,27
None,2018-07-03 09:00:00,13.9,27
None,2018-07-03 10:00:00,15.1,27
None,2018-07-03 11:00:00,16.6,27
None,2018-07-03 12:00:00,17.6,27
None,2018-07-03 13:00:00,18.2,27
None,2018-07-03 14:00:00,18.8,27
None,2018-07-03 15:00:00,19.2,27
None,2018-07-03 16:00:00,20.5,27
None,2018-07-03 17:00:00,21.1,27
None,2018-07-03 18:00:00,21.4,27
None,2018-07-03 19:00:00,21.3,27
None,2018-07-03 20:00:00,20.9,27
None,2018-07-03 21:00:00,20.0,27
None,2018-07-03 22:00:00,18.9,27
None,2018-07-03 23:00:00,17.2,27
None,2018-07-04 00:00:00,16.3,27
None,2018-07-04 01:00:00,15.9,27
None,2018-07-04 02:00:00,15.7,27
None,2018-07-04 03:00:00,15.3,27
None,2018-07-04 04:00:00,15.2,27
None,2018-07-04 05:00:00,14.7,27
None,2018-07-04 06:00:00,14.6,27
None,2018-07-04 07:00:00,15.5,27
None,2018-07-04 08:00:00,16.6,27
None,2018-07-04 09:00:00,18.3,27
None,2018-07-04 10:00:00,20.0,27
None,2018-07-04 11:00:00,21.6,27
None,2018-07-04 12:00:00,22.6,27
None,2018-07-04 13:00:00,24.0,27
None,2018-07-04 14:00:00,23.3,27
None,2018-07-04 15:00:00,24.4,27
None,2018-07-04 16:00:00,24.9,27
None,2018-07-04 17:00:00,24.6,27
None,2018-07-04 18:00:00,25.2,27
None,2018-07-04 19:00:00,25.2,27
None,2018-07-04 20:00:00,24.8,27
None,2018-07-04 21:00:00,22.0,27
None,2018-07-04 22:00:00,18.2,27
None,2018-07-04 23:00:00,18.5,27
None,2018-07-05 00:00:00,18.8,27
None,2018-07-05 01:00:00,19.3,27
None,2018-07-05 02:00:00,19.7,27
None,2018-07-05 03:00:00,19.7,27
None,2018-07-05 04:00:00,19.7,27
None,2018-07-05 05:00:00,19.6,27
None,2018-07-05 06:00:00,18.9,27
None,2018-07-05 07:00:00,19.0,27
None,2018-07-05 08:00:00,19.0,27
None,2018-07-05 09:00:00,20.0,27
None,2018-07-05 10:00:00,22.0,27
None,2018-07-05 11:00:00,24.1,27
None,2018-07-05 12:00:00,25.2,27
None,2018-07-05 13:00:00,25.9,27
None,2018-07-05 14:00:00,27.3,27
None,2018-07-05 15:00:00,26.0,27
None,2018-07-05 16:00:00,24.7,27
None,2018-07-05 17:00:00,24.2,27
None,2018-07-05 18:00:00,23.4,27
None,2018-07-05 19:00:00,23.2,27
None,2018-07-05 20:00:00,22.7,27
None,2018-07-05 21:00:00,21.9,27
None,2018-07-05 22:00:00,20.7,27
None,2018-07-05 23:00:00,20.2,27
None,2018-07-06 00:00:00,19.4,27
None,2018-07-06 01:00:00,18.9,27
None,2018-07-06 02:00:00,19.0,27
None,2018-07-06 03:00:00,18.6,27
None,2018-07-06 04:00:00,18.0,27
None,2018-07-06 05:00:00,17.7,27
None,2018-07-06 06:00:00,18.2,27
None,2018-07-06 07:00:00,18.3,27
None,2018-07-06 08:00:00,18.8,27
None,2018-07-06 09:00:00,19.6,27
None,2018-07-06 10:00:00,20.6,27
None,2018-07-06 11:00:00,21.5,27
None,2018-07-06 12:00:00,21.8,27
None,2018-07-06 13:00:00,21.5,27
None,2018-07-06 14:00:00,22.0,27
None,2018-07-06 15:00:00,22.1,27
None,2018-07-06 16:00:00,22.5,27
None,2018-07-06 17:00:00,22.9,27
None,2018-07-06 18:00:00,22.1,27
None,2018-07-06 19:00:00,19.0,27
None,2018-07-06 20:00:00,18.9,27
None,2018-07-06 21:00:00,19.0,27
None,2018-07-06 22:00:00,18.8,27
None,2018-07-06 23:00:00,17.9,27
None,2018-07-07 00:00:00,17.8,27
None,2018-07-07 01:00:00,16.7,27
None,2018-07-07 02:00:00,16.0,27
None,2018-07-07 03:00:00,15.1,27
None,2018-07-07 04:00:00,14.9,27
None,2018-07-07 05:00:00,14.7,27
None,2018-07-07 06:00:00,14.4,27
None,2018-07-07 07:00:00,14.5,27
None,2018-07-07 08:00:00,14.5,27
None,2018-07-07 09:00:00,14.5,27
None,2018-07-07 10:00:00,14.9,27
