pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
1.2,7.4,7.3, 0.1, 0.0,9.1, -6999.0,2021-03-05 00:00:00, -6999.0, -6999.0,10
1.2,8.1,7.3, 0.1, 0.0,9.1, -6999.0,2021-03-05 01:00:00, -6999.0, -6999.0,10
1.2,8.1,7.3, 0.0, 0.0,9.1, -6999.0,2021-03-05 02:00:00, -6999.0, -6999.0,10
1.2,8.0,7.3, 0.0, 0.0,9.1, -6999.0,2021-03-05 03:00:00, -6999.0, -6999.0,10
1.5,7.5,7.3, 0.3, 0.0,9.1, -6999.0,2021-03-05 04:00:00, -6999.0, -6999.0,10
1.7,8.1,7.3, 0.2, 0.0,9.1, -6999.0,2021-03-05 05:00:00, -6999.0, -6999.0,10
1.7,8.2,7.3, 0.0, 0.0,9.1, -6999.0,2021-03-05 06:00:00, -6999.0, -6999.0,10
1.7,9.7,8.1, 0.0, 0.0,9.7, -6999.0,2021-03-05 07:00:00, -6999.0, -6999.0,10
1.7,9.7,8.1, 0.0, 0.0,10.0, -6999.0,2021-03-05 08:00:00, -6999.0, -6999.0,10
1.7,11.2,8.1, 0.0, 0.0,11.3, -6999.0,2021-03-05 09:00:00, -6999.0, -6999.0,10
1.7,12.1,8.1, 0.0, 0.0,12.2, -6999.0,2021-03-05 10:00:00, -6999.0, -6999.0,10
1.7,11.2,8.1, 0.0, 0.0,12.2, -6999.0,2021-03-05 11:00:00, -6999.0, -6999.0,10
1.7,10.7,8.1, 0.0, 0.0,12.2, -6999.0,2021-03-05 12:00:00, -6999.0, -6999.0,10
1.7,10.7,8.1, 0.0, 0.0,12.2, -6999.0,2021-03-05 13:00:00, -6999.0, -6999.0,10
2.2,9.0,8.1, 0.5, 0.0,12.2, -6999.0,2021-03-05 14:00:00, -6999.0, -6999.0,10
2.0,9.5,7.8, 0.1, 0.0,12.2, -6999.0,2021-03-05 15:00:00, -6999.0, -6999.0,10
1.8,10.0,7.8, 0.0, 0.0,12.2, -6999.0,2021-03-05 16:00:00, -6999.0, -6999.0,10
1.8,9.1,7.8, 0.0, 0.0,12.2, -6999.0,2021-03-05 17:00:00, -6999.0, -6999.0,10
1.8,9.1,7.8, 0.0, 0.0,12.2, -6999.0,2021-03-05 18:00:00, -6999.0, -6999.0,10
1.6,7.6,7.7, 0.0, 0.0,9.1, -6999.0,2021-03-05 19:00:00, -6999.0, -6999.0,10
1.6,7.1,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-05 20:00:00, -6999.0, -6999.0,10
1.4,8.0,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-05 21:00:00, -6999.0, -6999.0,10
1.2,8.0,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-05 22:00:00, -6999.0, -6999.0,10
1.0,8.0,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-05 23:00:00, -6999.0, -6999.0,10
1.0,7.8,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 00:00:00, -6999.0, -6999.0,10
1.0,7.6,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 01:00:00, -6999.0, -6999.0,10
1.0,7.6,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 02:00:00, -6999.0, -6999.0,10
1.0,7.6,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 03:00:00, -6999.0, -6999.0,10
0.7,7.6,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 04:00:00, -6999.0, -6999.0,10
0.5,7.4,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 05:00:00, -6999.0, -6999.0,10
0.5,7.3,7.0, 0.0, 0.0,9.1, -6999.0,2021-03-06 06:00:00, -6999.0, -6999.0,10
0.5,7.0,7.0, 0.1, 0.0,7.3, -6999.0,2021-03-06 07:00:00, -6999.0, -6999.0,10
0.5,7.8,6.9, 0.1, 0.0,8.1, -6999.0,2021-03-06 08:00:00, -6999.0, -6999.0,10
0.5,7.7,6.9, 0.1, 0.0,8.1, -6999.0,2021-03-06 09:00:00, -6999.0, -6999.0,10
0.5,8.3,6.9, 0.0, 0.0,8.6, -6999.0,2021-03-06 10:00:00, -6999.0, -6999.0,10
0.5,8.9,6.9, 0.0, 0.0,9.0, -6999.0,2021-03-06 11:00:00, -6999.0, -6999.0,10
0.5,9.6,6.9, 0.0, 0.0,9.6, -6999.0,2021-03-06 12:00:00, -6999.0, -6999.0,10
0.5,9.8,6.9, 0.0, 0.0,10.2, -6999.0,2021-03-06 13:00:00, -6999.0, -6999.0,10
0.0,10.5,6.9, 0.0, 0.0,10.8, -6999.0,2021-03-06 14:00:00, -6999.0, -6999.0,10
0.0,10.4,6.9, 0.0, 0.0,11.0, -6999.0,2021-03-06 15:00:00, -6999.0, -6999.0,10
0.0,9.9,6.9, 0.0, 0.0,11.0, -6999.0,2021-03-06 16:00:00, -6999.0, -6999.0,10
0.0,9.4,6.9, 0.0, 0.0,11.0, -6999.0,2021-03-06 17:00:00, -6999.0, -6999.0,10
0.0,8.9,6.9, 0.0, 0.0,11.0, -6999.0,2021-03-06 18:00:00, -6999.0, -6999.0,10
0.0,8.8,8.8, 0.0, 0.0,8.9, -6999.0,2021-03-06 19:00:00, -6999.0, -6999.0,10
0.0,8.0,8.0, 0.0, 0.0,8.9, -6999.0,2021-03-06 20:00:00, -6999.0, -6999.0,10
0.0,8.0,7.6, 0.1, 0.0,8.9, -6999.0,2021-03-06 21:00:00, -6999.0, -6999.0,10
0.0,8.0,7.6, 0.0, 0.0,8.9, -6999.0,2021-03-06 22:00:00, -6999.0, -6999.0,10
0.0,7.4,7.3, 0.0, 0.0,8.9, -6999.0,2021-03-06 23:00:00, -6999.0, -6999.0,10
0.0,7.6,7.3, 0.0, 0.0,8.9, -6999.0,2021-03-07 00:00:00, -6999.0, -6999.0,10
0.0,7.5,7.2, 0.0, 0.0,8.9, -6999.0,2021-03-07 01:00:00, -6999.0, -6999.0,10
0.0,7.2,7.2, 0.0, 0.0,8.9, -6999.0,2021-03-07 02:00:00, -6999.0, -6999.0,10
0.0,7.5,7.1, 0.0, 0.0,8.9, -6999.0,2021-03-07 03:00:00, -6999.0, -6999.0,10
0.0,8.3,7.1, 0.1, 0.0,8.9, -6999.0,2021-03-07 04:00:00, -6999.0, -6999.0,10
0.0,8.0,7.1, 0.0, 0.0,8.9, -6999.0,2021-03-07 05:00:00, -6999.0, -6999.0,10
0.2,6.6,6.6, 0.2, 0.0,8.9, -6999.0,2021-03-07 06:00:00, -6999.0, -6999.0,10
0.4,5.7,5.6, 0.2, 0.0,6.6, -6999.0,2021-03-07 07:00:00, -6999.0, -6999.0,10
0.4,5.3,5.2, 0.0, 0.0,6.6, -6999.0,2021-03-07 08:00:00, -6999.0, -6999.0,10
0.4,6.3,5.2, 0.0, 0.0,6.6, -6999.0,2021-03-07 09:00:00, -6999.0, -6999.0,10
0.4,6.6,5.2, 0.0, 0.0,6.7, -6999.0,2021-03-07 10:00:00, -6999.0, -6999.0,10
0.4,6.5,5.2, 0.1, 0.0,7.0, -6999.0,2021-03-07 11:00:00, -6999.0, -6999.0,10
0.4,7.6,5.2, 0.0, 0.0,7.9, -6999.0,2021-03-07 12:00:00, -6999.0, -6999.0,10
0.4,8.0,5.2, 0.0, 0.0,8.4, -6999.0,2021-03-07 13:00:00, -6999.0, -6999.0,10
0.4,7.9,5.2, 0.0, 0.0,8.4, -6999.0,2021-03-07 14:00:00, -6999.0, -6999.0,10
0.4,6.6,4.2, 0.1, 0.0,8.4, -6999.0,2021-03-07 15:00:00, -6999.0, -6999.0,10
0.4,8.0,4.2, 0.0, 0.0,8.4, -6999.0,2021-03-07 16:00:00, -6999.0, -6999.0,10
0.4,7.0,4.2, 0.0, 0.0,8.4, -6999.0,2021-03-07 17:00:00, -6999.0, -6999.0,10
0.4,6.6,4.2, 0.1, 0.0,8.4, -6999.0,2021-03-07 18:00:00, -6999.0, -6999.0,10
0.6,5.3,5.3, 0.2, 0.0,6.6, -6999.0,2021-03-07 19:00:00, -6999.0, -6999.0,10
0.6,4.9,4.7, 0.0, 0.0,6.6, -6999.0,2021-03-07 20:00:00, -6999.0, -6999.0,10
0.6,4.6,4.6, 0.0, 0.0,6.6, -6999.0,2021-03-07 21:00:00, -6999.0, -6999.0,10
0.6,4.8,4.4, 0.0, 0.0,6.6, -6999.0,2021-03-07 22:00:00, -6999.0, -6999.0,10
0.6,4.2,4.2, 0.0, 0.0,6.6, -6999.0,2021-03-07 23:00:00, -6999.0, -6999.0,10
0.6,4.5,4.1, 0.0, 0.0,6.6, -6999.0,2021-03-08 00:00:00, -6999.0, -6999.0,10
0.6,4.4,4.1, 0.0, 0.0,6.6, -6999.0,2021-03-08 01:00:00, -6999.0, -6999.0,10
0.6,4.3,4.1, 0.0, 0.0,6.6, -6999.0,2021-03-08 02:00:00, -6999.0, -6999.0,10
0.6,4.3,4.1, 0.0, 0.0,6.6, -6999.0,2021-03-08 03:00:00, -6999.0, -6999.0,10
0.6,4.2,4.1, 0.0, 0.0,6.6, -6999.0,2021-03-08 04:00:00, -6999.0, -6999.0,10
0.6,3.8,3.7, 0.0, 0.0,6.6, -6999.0,2021-03-08 05:00:00, -6999.0, -6999.0,10
0.4,3.3,3.3, 0.0, 0.0,6.6, -6999.0,2021-03-08 06:00:00, -6999.0, -6999.0,10
0.2,3.4,3.2, 0.0, 0.0,3.4, -6999.0,2021-03-08 07:00:00, -6999.0, -6999.0,10
0.2,4.2,3.2, 0.0, 0.0,4.3, -6999.0,2021-03-08 08:00:00, -6999.0, -6999.0,10
0.2,6.1,3.2, 0.0, 0.0,6.1, -6999.0,2021-03-08 09:00:00, -6999.0, -6999.0,10
0.2,7.1,3.2, 0.0, 0.0,7.6, -6999.0,2021-03-08 10:00:00, -6999.0, -6999.0,10
0.2,8.6,3.2, 0.0, 0.0,9.0, -6999.0,2021-03-08 11:00:00, -6999.0, -6999.0,10
0.2,10.1,3.2, 0.0, 0.0,10.0, -6999.0,2021-03-08 12:00:00, -6999.0, -6999.0,10
0.2,11.7,3.2, 0.0, 0.0,11.7, -6999.0,2021-03-08 13:00:00, -6999.0, -6999.0,10
0.2,12.4,3.2, 0.0, 0.0,12.4, -6999.0,2021-03-08 14:00:00, -6999.0, -6999.0,10
0.2,12.7,3.2, 0.0, 0.0,12.9, -6999.0,2021-03-08 15:00:00, -6999.0, -6999.0,10
0.2,13.0,3.2, 0.0, 0.0,13.2, -6999.0,2021-03-08 16:00:00, -6999.0, -6999.0,10
