wind_speed,temperature,wind_direction,relative_humidity,time,week_of_year
18.7,-16.3,18.0,81.0,2022-01-08 00:00:00,2
12.2,-16.2,10.0,82.0,2022-01-08 01:00:00,2
20.2,-16.0,4.0,78.0,2022-01-08 02:00:00,2
25.6,-15.7,1.0,79.0,2022-01-08 03:00:00,2
28.1,-15.6,9.0,79.0,2022-01-08 04:00:00,2
25.9,-15.3,1.0,79.0,2022-01-08 05:00:00,2
31.0,-14.9,2.0,79.0,2022-01-08 06:00:00,2
27.7,-14.8,6.0,80.0,2022-01-08 07:00:00,2
38.2,-14.5,3.0,79.0,2022-01-08 08:00:00,2
30.2,-14.3,3.0,80.0,2022-01-08 09:00:00,2
31.0,-13.8,8.0,80.0,2022-01-08 10:00:00,2
27.0,-13.3,14.0,81.0,2022-01-08 11:00:00,2
31.0,-13.4,12.0,82.0,2022-01-08 12:00:00,2
36.4,-13.2,6.0,84.0,2022-01-08 13:00:00,2
32.4,-13.2,15.0,85.0,2022-01-08 14:00:00,2
18.0,-13.1,31.0,86.0,2022-01-08 15:00:00,2
23.0,-12.9,18.0,86.0,2022-01-08 16:00:00,2
18.7,-12.7,22.0,86.0,2022-01-08 17:00:00,2
16.6,-12.7,34.0,87.0,2022-01-08 18:00:00,2
25.9,-12.5,10.0,87.0,2022-01-08 19:00:00,2
2.5,-12.8,176.0,87.0,2022-01-08 20:00:00,2
7.9,-12.4,10.0,86.0,2022-01-08 21:00:00,2
22.0,-12.1,3.0,87.0,2022-01-08 22:00:00,2
16.9,-11.9,8.0,87.0,2022-01-08 23:00:00,2
29.5,-11.3,1.0,84.0,2022-01-09 00:00:00,2
18.0,-11.2,8.0,84.0,2022-01-09 01:00:00,2
20.2,-11.1,5.0,85.0,2022-01-09 02:00:00,2
23.8,-10.9,350.0,85.0,2022-01-09 03:00:00,2
19.1,-10.9,6.0,87.0,2022-01-09 04:00:00,2
7.9,-11.0,31.0,89.0,2022-01-09 05:00:00,2
7.6,-10.5,32.0,90.0,2022-01-09 06:00:00,2
7.9,-10.2,43.0,91.0,2022-01-09 07:00:00,2
2.5,-10.0,227.0,92.0,2022-01-09 08:00:00,2
2.9,-9.8,180.0,92.0,2022-01-09 09:00:00,2
2.9,-8.9,286.0,93.0,2022-01-09 10:00:00,2
7.2,-7.0,34.0,94.0,2022-01-09 11:00:00,2
13.0,-6.4,17.0,94.0,2022-01-09 12:00:00,2
8.6,-5.7,0.0,96.0,2022-01-09 13:00:00,2
8.3,-4.7,21.0,97.0,2022-01-09 14:00:00,2
6.8,-4.4,22.0,97.0,2022-01-09 15:00:00,2
4.0,-3.9,25.0,97.0,2022-01-09 16:00:00,2
8.3,-4.8,68.0,96.0,2022-01-09 17:00:00,2
1.8,-5.5,59.0,95.0,2022-01-09 18:00:00,2
6.8,-6.1,10.0,95.0,2022-01-09 19:00:00,2
11.5,-5.7,19.0,96.0,2022-01-09 20:00:00,2
5.4,-5.5,57.0,96.0,2022-01-09 21:00:00,2
4.7,-5.1,24.0,97.0,2022-01-09 22:00:00,2
4.7,-5.2,56.0,96.0,2022-01-09 23:00:00,2
2.9,-6.8,88.0,96.0,2022-01-10 00:00:00,2
1.1,-5.8,140.0,94.0,2022-01-10 01:00:00,2
3.6,-5.4,339.0,97.0,2022-01-10 02:00:00,2
6.1,-5.9,237.0,94.0,2022-01-10 03:00:00,2
2.9,-5.6,337.0,96.0,2022-01-10 04:00:00,2
6.5,-5.5,182.0,95.0,2022-01-10 05:00:00,2
5.4,-3.9,108.0,95.0,2022-01-10 06:00:00,2
1.4,-2.7,322.0,96.0,2022-01-10 07:00:00,2
6.8,-3.5,150.0,96.0,2022-01-10 08:00:00,2
1.4,-2.4,4.0,96.0,2022-01-10 09:00:00,2
4.3,-1.9,74.0,96.0,2022-01-10 10:00:00,2
5.4,-1.3,122.0,97.0,2022-01-10 11:00:00,2
19.1,-1.1,19.0,96.0,2022-01-10 12:00:00,2
7.6,-0.6,65.0,99.0,2022-01-10 13:00:00,2
4.3,-0.1,341.0,99.0,2022-01-10 14:00:00,2
