station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, None, None, -10.6, 63.0, None, None, 541.0, 185.0, None, 2016-01-01 00:00:00, None
None, None, None, None, -13.2, 64.0, None, None, 542.0, 185.0, None, 2016-01-01 01:00:00, None
None, None, None, None, -14.4, 65.0, None, None, 543.0, 185.0, None, 2016-01-01 02:00:00, None
None, None, None, None, -14.3, 65.0, None, None, 543.0, 185.0, None, 2016-01-01 03:00:00, None
None, None, None, None, -14.4, 64.0, None, None, 543.0, 185.0, None, 2016-01-01 04:00:00, None
None, None, None, None, -14.7, 64.0, None, None, 544.0, 185.0, None, 2016-01-01 05:00:00, None
None, None, None, None, -14.8, 64.0, None, None, 544.0, 185.0, None, 2016-01-01 06:00:00, None
None, None, None, None, -15.1, 64.0, None, None, 544.0, 185.0, None, 2016-01-01 07:00:00, None
None, None, None, None, -15.8, 65.0, None, None, 545.0, 185.0, None, 2016-01-01 08:00:00, None
None, None, None, None, -14.4, 65.0, None, None, 544.0, 185.0, None, 2016-01-01 09:00:00, None
None, None, None, None, -15.2, 64.0, None, None, 544.0, 185.0, None, 2016-01-01 10:00:00, None
None, None, None, None, -15.6, 65.0, None, None, 544.0, 185.0, None, 2016-01-01 11:00:00, None
None, None, None, None, -15.6, 65.0, None, None, 545.0, 185.0, None, 2016-01-01 12:00:00, None
None, None, None, None, -15.5, 65.0, None, None, 545.0, 185.0, None, 2016-01-01 13:00:00, None
None, None, None, None, -16.0, 65.0, None, None, 545.0, 185.0, None, 2016-01-01 14:00:00, None
None, None, None, None, -16.1, 63.0, None, None, 546.0, 184.0, None, 2016-01-01 15:00:00, None
None, 321.0, None, None, -15.6, 64.0, None, None, 545.0, 184.0, None, 2016-01-01 16:00:00, None
None, None, None, None, -15.0, 62.0, None, None, 545.0, 184.0, None, 2016-01-01 17:00:00, None
None, None, None, None, -13.9, 61.0, None, None, 544.0, 184.0, None, 2016-01-01 18:00:00, None
None, None, None, None, -11.6, 62.0, None, None, 543.0, 185.0, None, 2016-01-01 19:00:00, None
None, None, None, None, -9.7, 56.0, None, None, 541.0, 185.0, None, 2016-01-01 20:00:00, None
None, None, None, None, -8.1, 61.0, None, None, 538.0, 186.0, None, 2016-01-01 21:00:00, None
None, None, None, None, -7.7, 63.0, None, None, 538.0, 187.0, None, 2016-01-01 22:00:00, None
None, None, None, None, -5.9, 63.0, None, None, 540.0, 188.0, None, 2016-01-01 23:00:00, None
None, None, None, None, -7.6, 64.0, None, None, 541.0, 188.0, None, 2016-01-02 00:00:00, None
None, None, None, None, -10.0, 66.0, None, None, 541.0, 188.0, None, 2016-01-02 01:00:00, None
None, None, None, None, -9.7, 66.0, None, None, 541.0, 188.0, None, 2016-01-02 02:00:00, None
None, None, None, None, -9.7, 65.0, None, None, 541.0, 188.0, None, 2016-01-02 03:00:00, None
None, None, None, None, -9.4, 66.0, None, None, 540.0, 188.0, None, 2016-01-02 04:00:00, None
None, None, None, None, -9.1, 66.0, None, None, 540.0, 188.0, None, 2016-01-02 05:00:00, None
None, None, None, None, -8.4, 66.0, None, None, 539.0, 188.0, None, 2016-01-02 06:00:00, None
None, None, None, None, -8.3, 66.0, None, None, 539.0, 188.0, None, 2016-01-02 07:00:00, None
None, None, None, None, -9.2, 66.0, None, None, 540.0, 188.0, None, 2016-01-02 08:00:00, None
None, None, None, None, -8.4, 66.0, None, None, 539.0, 188.0, None, 2016-01-02 09:00:00, None
None, None, None, None, -8.8, 67.0, None, None, 539.0, 188.0, None, 2016-01-02 10:00:00, None
None, None, None, None, -7.8, 66.0, None, None, 538.0, 188.0, None, 2016-01-02 11:00:00, None
None, None, None, None, -7.9, 66.0, None, None, 538.0, 188.0, None, 2016-01-02 12:00:00, None
None, None, None, None, -7.4, 66.0, None, None, 538.0, 188.0, None, 2016-01-02 13:00:00, None
None, None, None, None, -7.4, 66.0, None, None, 538.0, 188.0, None, 2016-01-02 14:00:00, None
None, None, None, None, -6.4, 65.0, None, None, 537.0, 188.0, None, 2016-01-02 15:00:00, None
None, 323.0, None, None, -6.0, 66.0, None, None, 536.0, 188.0, None, 2016-01-02 16:00:00, None
None, None, None, None, -5.8, 65.0, None, None, 536.0, 188.0, None, 2016-01-02 17:00:00, None
None, None, None, None, -6.2, 65.0, None, None, 537.0, 188.0, None, 2016-01-02 18:00:00, None
None, None, None, None, -4.4, 65.0, None, None, 536.0, 188.0, None, 2016-01-02 19:00:00, None
None, None, None, None, -3.0, 64.0, None, None, 534.0, 189.0, None, 2016-01-02 20:00:00, None
None, None, None, None, -2.4, 65.0, None, None, 532.0, 189.0, None, 2016-01-02 21:00:00, None
None, None, None, None, -0.7, 63.0, None, None, 534.0, 190.0, None, 2016-01-02 22:00:00, None
None, None, None, None, -2.0, 63.0, None, None, 536.0, 190.0, None, 2016-01-02 23:00:00, None
None, None, None, None, -3.5, 63.0, None, None, 537.0, 190.0, None, 2016-01-03 00:00:00, None
None, None, None, None, -5.4, 62.0, None, None, 538.0, 190.0, None, 2016-01-03 01:00:00, None
None, None, None, None, -6.1, 62.0, None, None, 539.0, 190.0, None, 2016-01-03 02:00:00, None
None, None, None, None, -6.9, 62.0, None, None, 540.0, 189.0, None, 2016-01-03 03:00:00, None
None, None, None, None, -7.0, 62.0, None, None, 540.0, 189.0, None, 2016-01-03 04:00:00, None
None, None, None, None, -7.5, 63.0, None, None, 540.0, 189.0, None, 2016-01-03 05:00:00, None
None, None, None, None, -8.0, 65.0, None, None, 541.0, 189.0, None, 2016-01-03 06:00:00, None
None, None, None, None, -7.6, 67.0, None, None, 541.0, 189.0, None, 2016-01-03 07:00:00, None
None, None, None, None, -7.6, 65.0, None, None, 541.0, 189.0, None, 2016-01-03 08:00:00, None
None, None, None, None, -7.7, 65.0, None, None, 541.0, 189.0, None, 2016-01-03 09:00:00, None
None, None, None, None, -7.6, 64.0, None, None, 541.0, 189.0, None, 2016-01-03 10:00:00, None
None, None, None, None, -7.8, 64.0, None, None, 541.0, 189.0, None, 2016-01-03 11:00:00, None
None, None, None, None, -8.6, 65.0, None, None, 541.0, 189.0, None, 2016-01-03 12:00:00, None
None, None, None, None, -8.5, 64.0, None, None, 542.0, 189.0, None, 2016-01-03 13:00:00, None
None, None, None, None, -9.0, 65.0, None, None, 542.0, 189.0, None, 2016-01-03 14:00:00, None
None, None, None, None, -9.8, 64.0, None, None, 543.0, 189.0, None, 2016-01-03 15:00:00, None
None, 324.0, None, None, -9.3, 64.0, None, None, 543.0, 188.0, None, 2016-01-03 16:00:00, None
None, None, None, None, -9.2, 64.0, None, None, 543.0, 188.0, None, 2016-01-03 17:00:00, None
None, None, None, None, -8.3, 64.0, None, None, 542.0, 188.0, None, 2016-01-03 18:00:00, None
None, None, None, None, -5.6, 63.0, None, None, 540.0, 189.0, None, 2016-01-03 19:00:00, None
None, None, None, None, -5.8, 63.0, None, None, 539.0, 189.0, None, 2016-01-03 20:00:00, None
None, None, None, None, -6.6, 64.0, None, None, 539.0, 190.0, None, 2016-01-03 21:00:00, None
None, None, None, None, -7.1, 64.0, None, None, 539.0, 190.0, None, 2016-01-03 22:00:00, None
None, None, None, None, -6.7, 64.0, None, None, 539.0, 190.0, None, 2016-01-03 23:00:00, None
None, None, None, None, -7.3, 64.0, None, None, 540.0, 190.0, None, 2016-01-04 00:00:00, None
None, None, None, None, -7.6, 64.0, None, None, 540.0, 190.0, None, 2016-01-04 01:00:00, None
None, None, None, None, -7.3, 64.0, None, None, 540.0, 191.0, None, 2016-01-04 02:00:00, None
None, None, None, None, -7.2, 64.0, None, None, 540.0, 191.0, None, 2016-01-04 03:00:00, None
None, None, None, None, -6.9, 64.0, None, None, 540.0, 191.0, None, 2016-01-04 04:00:00, None
None, None, None, None, -6.7, 65.0, None, None, 540.0, 191.0, None, 2016-01-04 05:00:00, None
None, None, None, None, -6.5, 66.0, None, None, 540.0, 192.0, None, 2016-01-04 06:00:00, None
None, None, None, None, -5.6, 64.0, None, None, 539.0, 192.0, None, 2016-01-04 07:00:00, None
None, None, None, None, -6.6, 65.0, None, None, 540.0, 192.0, None, 2016-01-04 08:00:00, None
None, None, None, None, -6.4, 66.0, None, None, 540.0, 193.0, None, 2016-01-04 09:00:00, None
None, None, None, None, -6.2, 66.0, None, None, 541.0, 193.0, None, 2016-01-04 10:00:00, None
None, None, None, None, -5.5, 66.0, None, None, 540.0, 193.0, None, 2016-01-04 11:00:00, None
None, None, None, None, -5.2, 66.0, None, None, 539.0, 194.0, None, 2016-01-04 12:00:00, None
None, None, None, None, -5.5, 65.0, None, None, 540.0, 194.0, None, 2016-01-04 13:00:00, None
None, None, None, None, -5.5, 64.0, None, None, 540.0, 194.0, None, 2016-01-04 14:00:00, None
None, None, None, None, -5.8, 66.0, None, None, 541.0, 195.0, None, 2016-01-04 15:00:00, None
None, 328.0, None, None, -6.2, 65.0, None, None, 541.0, 195.0, None, 2016-01-04 16:00:00, None
None, None, None, None, -5.4, 65.0, None, None, 541.0, 195.0, None, 2016-01-04 17:00:00, None
None, None, None, None, -4.3, 67.0, None, None, 541.0, 194.0, None, 2016-01-04 18:00:00, None
None, None, None, None, -4.1, 68.0, None, None, 539.0, 195.0, None, 2016-01-04 19:00:00, None
None, None, None, None, -3.9, 66.0, None, None, 539.0, 196.0, None, 2016-01-04 20:00:00, None
None, None, None, None, -3.5, 65.0, None, None, 538.0, 196.0, None, 2016-01-04 21:00:00, None
None, None, None, None, -4.4, 66.0, None, None, 539.0, 196.0, None, 2016-01-04 22:00:00, None
None, None, None, None, -4.8, 67.0, None, None, 539.0, 196.0, None, 2016-01-04 23:00:00, None
None, None, None, None, -4.4, 66.0, None, None, 539.0, 196.0, None, 2016-01-05 00:00:00, None
None, None, None, None, -4.7, 67.0, None, None, 539.0, 196.0, None, 2016-01-05 01:00:00, None
None, None, None, None, -3.5, 67.0, None, None, 539.0, 196.0, None, 2016-01-05 02:00:00, None
None, None, None, None, -3.7, 67.0, None, None, 538.0, 196.0, None, 2016-01-05 03:00:00, None
None, None, None, None, -2.8, 66.0, None, None, 538.0, 197.0, None, 2016-01-05 04:00:00, None
None, None, None, None, -2.9, 66.0, None, None, 538.0, 197.0, None, 2016-01-05 05:00:00, None
None, None, None, None, -4.4, 66.0, None, None, 538.0, 197.0, None, 2016-01-05 06:00:00, None
None, None, None, None, -3.5, 66.0, None, None, 539.0, 196.0, None, 2016-01-05 07:00:00, None
None, None, None, None, -2.3, 66.0, None, None, 537.0, 197.0, None, 2016-01-05 08:00:00, None
None, None, None, None, -2.3, 66.0, None, None, 537.0, 197.0, None, 2016-01-05 09:00:00, None
None, None, None, None, -1.9, 60.0, None, None, 537.0, 197.0, None, 2016-01-05 10:00:00, None
None, None, None, None, -2.2, 66.0, None, None, 538.0, 198.0, None, 2016-01-05 11:00:00, None
None, None, None, None, -1.7, 66.0, None, None, 537.0, 198.0, None, 2016-01-05 12:00:00, None
None, None, None, None, -2.2, 66.0, None, None, 538.0, 198.0, None, 2016-01-05 13:00:00, None
None, None, None, None, -2.0, 60.0, None, None, 538.0, 198.0, None, 2016-01-05 14:00:00, None
None, None, None, None, -1.9, 62.0, None, None, 538.0, 199.0, None, 2016-01-05 15:00:00, None
None, 337.0, None, None, -2.2, 68.0, None, None, 538.0, 199.0, None, 2016-01-05 16:00:00, None
None, None, None, None, -2.0, 68.0, None, None, 538.0, 199.0, None, 2016-01-05 17:00:00, None
None, None, None, None, -2.0, 68.0, None, None, 538.0, 199.0, None, 2016-01-05 18:00:00, None
None, None, None, None, -1.8, None, None, None, 539.0, 200.0, None, 2016-01-05 19:00:00, None
None, None, None, None, -2.2, 67.0, None, None, 539.0, 200.0, None, 2016-01-05 20:00:00, None
None, None, None, None, -2.1, 68.0, None, None, 539.0, 200.0, None, 2016-01-05 21:00:00, None
None, None, None, None, -1.3, 68.0, None, None, 539.0, 201.0, None, 2016-01-05 22:00:00, None
None, None, None, None, -1.5, 68.0, None, None, 539.0, 201.0, None, 2016-01-05 23:00:00, None
None, None, None, None, -1.6, 68.0, None, None, 539.0, 201.0, None, 2016-01-06 00:00:00, None
None, None, None, None, -1.8, 68.0, None, None, 539.0, 201.0, None, 2016-01-06 01:00:00, None
None, None, None, None, -1.8, 68.0, None, None, 539.0, 201.0, None, 2016-01-06 02:00:00, None
None, None, None, None, -1.7, 67.0, None, None, 539.0, 201.0, None, 2016-01-06 03:00:00, None
None, None, None, None, -1.6, 67.0, None, None, 539.0, 201.0, None, 2016-01-06 04:00:00, None
None, None, None, None, -1.8, 67.0, None, None, 539.0, 201.0, None, 2016-01-06 05:00:00, None
None, None, None, None, -1.7, 67.0, None, None, 539.0, 201.0, None, 2016-01-06 06:00:00, None
None, None, None, None, -2.0, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 07:00:00, None
None, None, None, None, -1.9, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 08:00:00, None
None, None, None, None, -2.4, 66.0, None, None, 540.0, 201.0, None, 2016-01-06 09:00:00, None
None, None, None, None, -2.7, 67.0, None, None, 540.0, 200.0, None, 2016-01-06 10:00:00, None
None, None, None, None, -2.1, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 11:00:00, None
None, None, None, None, -1.8, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 12:00:00, None
None, None, None, None, -1.5, 67.0, None, None, 539.0, 201.0, None, 2016-01-06 13:00:00, None
None, None, None, None, -2.9, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 14:00:00, None
None, None, None, None, -2.3, 67.0, None, None, 540.0, 201.0, None, 2016-01-06 15:00:00, None
None, 337.0, None, None, -2.1, 67.0, None, None, 540.0, 200.0, None, 2016-01-06 16:00:00, None
None, None, None, None, -2.0, 67.0, None, None, 540.0, 200.0, None, 2016-01-06 17:00:00, None
None, None, None, None, -1.7, 67.0, None, None, 540.0, 200.0, None, 2016-01-06 18:00:00, None
None, None, None, None, -0.2, 66.0, None, None, 538.0, 201.0, None, 2016-01-06 19:00:00, None
None, None, None, None, -0.9, 67.0, None, None, 538.0, 201.0, None, 2016-01-06 20:00:00, None
None, None, None, None, -0.1, 66.0, None, None, 538.0, 202.0, None, 2016-01-06 21:00:00, None
None, None, None, None, -1.0, 67.0, None, None, 538.0, 202.0, None, 2016-01-06 22:00:00, None
None, None, None, None, -0.7, 66.0, None, None, 538.0, 202.0, None, 2016-01-06 23:00:00, None
None, None, None, None, -1.2, 67.0, None, None, 539.0, 202.0, None, 2016-01-07 00:00:00, None
None, None, None, None, -1.6, 67.0, None, None, 539.0, 202.0, None, 2016-01-07 01:00:00, None
None, None, None, None, -1.7, 67.0, None, None, 540.0, 202.0, None, 2016-01-07 02:00:00, None
None, None, None, None, -1.7, 67.0, None, None, 540.0, 202.0, None, 2016-01-07 03:00:00, None
None, None, None, None, -1.7, 66.0, None, None, 540.0, 202.0, None, 2016-01-07 04:00:00, None
None, None, None, None, -2.2, 67.0, None, None, 540.0, 202.0, None, 2016-01-07 05:00:00, None
None, None, None, None, -2.2, 67.0, None, None, 541.0, 202.0, None, 2016-01-07 06:00:00, None
None, None, None, None, -2.2, 68.0, None, None, 541.0, 202.0, None, 2016-01-07 07:00:00, None
None, None, None, None, -2.2, 65.0, None, None, 541.0, 202.0, None, 2016-01-07 08:00:00, None
None, None, None, None, -2.4, 66.0, None, None, 542.0, 203.0, None, 2016-01-07 09:00:00, None
None, None, None, None, -2.6, 69.0, None, None, 543.0, 203.0, None, 2016-01-07 10:00:00, None
None, None, None, None, -2.6, 68.0, None, None, 543.0, 203.0, None, 2016-01-07 11:00:00, None
None, None, None, None, -2.5, 67.0, None, None, 543.0, 203.0, None, 2016-01-07 12:00:00, None
None, None, None, None, -2.5, 67.0, None, None, 543.0, 203.0, None, 2016-01-07 13:00:00, None
None, None, None, None, -2.5, 64.0, None, None, 543.0, 203.0, None, 2016-01-07 14:00:00, None
None, None, None, None, -2.5, 71.0, None, None, 543.0, 203.0, None, 2016-01-07 15:00:00, None
None, 333.0, None, None, -2.7, 71.0, None, None, 544.0, 203.0, None, 2016-01-07 16:00:00, None
None, None, None, None, -2.2, 71.0, None, None, 543.0, 203.0, None, 2016-01-07 17:00:00, None
None, None, None, None, -2.3, 67.0, None, None, 543.0, 203.0, None, 2016-01-07 18:00:00, None
None, None, None, None, -1.6, 66.0, None, None, 543.0, 203.0, None, 2016-01-07 19:00:00, None
None, None, None, None, -2.1, 70.0, None, None, 543.0, 203.0, None, 2016-01-07 20:00:00, None
None, None, None, None, -2.6, 69.0, None, None, 543.0, 203.0, None, 2016-01-07 21:00:00, None
None, None, None, None, -4.7, 70.0, None, None, 545.0, 203.0, None, 2016-01-07 22:00:00, None
None, None, None, None, -6.1, 70.0, None, None, 547.0, 203.0, None, 2016-01-07 23:00:00, None
None, None, None, None, -7.7, 70.0, None, None, 549.0, 203.0, None, 2016-01-08 00:00:00, None
None, None, None, None, -8.2, 71.0, None, None, 550.0, 203.0, None, 2016-01-08 01:00:00, None
None, None, None, None, -8.4, 71.0, None, None, 550.0, 203.0, None, 2016-01-08 02:00:00, None
None, None, None, None, -8.4, 71.0, None, None, 550.0, 203.0, None, 2016-01-08 03:00:00, None
None, None, None, None, -9.0, 71.0, None, None, 551.0, 203.0, None, 2016-01-08 04:00:00, None
None, None, None, None, -8.9, 71.0, None, None, 551.0, 203.0, None, 2016-01-08 05:00:00, None
None, None, None, None, -9.5, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 06:00:00, None
None, None, None, None, -8.9, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 07:00:00, None
None, None, None, None, -8.9, 69.0, None, None, 552.0, 203.0, None, 2016-01-08 08:00:00, None
None, None, None, None, -8.8, 67.0, None, None, 552.0, 203.0, None, 2016-01-08 09:00:00, None
None, None, None, None, -8.8, 71.0, None, None, 551.0, 203.0, None, 2016-01-08 10:00:00, None
None, None, None, None, -8.8, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 11:00:00, None
None, None, None, None, -8.7, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 12:00:00, None
None, None, None, None, -8.9, 72.0, None, None, 552.0, 203.0, None, 2016-01-08 13:00:00, None
None, None, None, None, -9.1, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 14:00:00, None
None, None, None, None, -9.2, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 15:00:00, None
None, 334.0, None, None, -9.1, 71.0, None, None, 552.0, 203.0, None, 2016-01-08 16:00:00, None
None, None, None, None, -8.8, 70.0, None, None, 552.0, 203.0, None, 2016-01-08 17:00:00, None
None, None, None, None, -8.6, 69.0, None, None, 552.0, 203.0, None, 2016-01-08 18:00:00, None
None, None, None, None, -8.1, 70.0, None, None, 551.0, 203.0, None, 2016-01-08 19:00:00, None
None, None, None, None, -7.8, 70.0, None, None, 551.0, 203.0, None, 2016-01-08 20:00:00, None
None, None, None, None, -7.9, 69.0, None, None, 550.0, 203.0, None, 2016-01-08 21:00:00, None
None, None, None, None, -7.6, 70.0, None, None, 551.0, 203.0, None, 2016-01-08 22:00:00, None
None, None, None, None, -7.6, 70.0, None, None, 550.0, 203.0, None, 2016-01-08 23:00:00, None
None, None, None, None, -7.9, 70.0, None, None, 551.0, 203.0, None, 2016-01-09 00:00:00, None
None, None, None, None, -8.2, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 01:00:00, None
None, None, None, None, -8.4, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 02:00:00, None
None, None, None, None, -8.3, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 03:00:00, None
None, None, None, None, -8.1, 70.0, None, None, 551.0, 203.0, None, 2016-01-09 04:00:00, None
None, None, None, None, -8.0, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 05:00:00, None
None, None, None, None, -7.7, 68.0, None, None, 551.0, 203.0, None, 2016-01-09 06:00:00, None
None, None, None, None, -7.5, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 07:00:00, None
None, None, None, None, -8.0, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 08:00:00, None
None, None, None, None, -8.1, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 09:00:00, None
None, None, None, None, -8.3, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 10:00:00, None
None, None, None, None, -8.7, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 11:00:00, None
None, None, None, None, -8.8, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 12:00:00, None
None, None, None, None, -9.1, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 13:00:00, None
None, None, None, None, -9.3, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 14:00:00, None
None, None, None, None, -9.3, 69.0, None, None, 553.0, 203.0, None, 2016-01-09 15:00:00, None
None, 350.0, None, None, -9.3, 69.0, None, None, 553.0, 203.0, None, 2016-01-09 16:00:00, None
None, None, None, None, -9.1, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 17:00:00, None
None, None, None, None, -8.8, 69.0, None, None, 552.0, 203.0, None, 2016-01-09 18:00:00, None
None, None, None, None, -8.6, 68.0, None, None, 551.0, 203.0, None, 2016-01-09 19:00:00, None
None, None, None, None, -8.5, 69.0, None, None, 551.0, 203.0, None, 2016-01-09 20:00:00, None
None, None, None, None, -8.3, 68.0, None, None, 551.0, 203.0, None, 2016-01-09 21:00:00, None
None, None, None, None, -8.2, 67.0, None, None, 551.0, 203.0, None, 2016-01-09 22:00:00, None
None, None, None, None, -8.8, 68.0, None, None, 552.0, 203.0, None, 2016-01-09 23:00:00, None
None, None, None, None, -9.3, 68.0, None, None, 552.0, 203.0, None, 2016-01-10 00:00:00, None
None, None, None, None, -9.6, 68.0, None, None, 553.0, 203.0, None, 2016-01-10 01:00:00, None
